Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Курганская область, все устройства
декабрь 2017;850;0,0029;
январь 2018;771;0,0028;
февраль 2018;932;0,0030;
март 2018;781;0,0027;
апрель 2018;777;0,0027;
май 2018;1 184;0,0046;
июнь 2018;989;0,0040;
июль 2018;852;0,0033;
август 2018;808;0,0028;
сентябрь 2018;896;0,0027;
октябрь 2018;974;0,0032;
ноябрь 2018;1 107;0,0035;
декабрь 2018;962;0,0030;
январь 2019;907;0,0029;
февраль 2019;794;0,0025;
март 2019;798;0,0026;
апрель 2019;750;0,0026;
май 2019;717;0,0027;
июнь 2019;732;0,0029;
июль 2019;767;0,0029;
август 2019;737;0,0027;
сентябрь 2019;793;0,0025;
октябрь 2019;852;0,0027;
ноябрь 2019;855;0,0025;
декабрь 2019;867;0,0025;
январь 2020;837;0,0024;
февраль 2020;972;0,0026;
март 2020;1 046;0,0022;
апрель 2020;1 097;0,0027;
май 2020;972;0,0029;
июнь 2020;813;0,0027;
июль 2020;813;0,0026;
август 2020;765;0,0022;
сентябрь 2020;910;0,0023;
октябрь 2020;1 054;0,0021;
ноябрь 2020;1 143;0,0026;
декабрь 2020;1 025;0,0026;
январь 2021;861;0,0023;
февраль 2021;1 030;0,0027;
март 2021;841;0,0021;
апрель 2021;781;0,0020;
май 2021;985;0,0026;
июнь 2021;1 021;0,0029;
июль 2021;1 139;0,0027;
август 2021;1 040;0,0025;
сентябрь 2021;920;0,0021;
октябрь 2021;1 079;0,0021;
ноябрь 2021;1 109;0,0023;
декабрь 2021;1 052;0,0022;
январь 2022;1 114;0,0022;
февраль 2022;1 343;0,0027;
март 2022;1 000;0,0022;
апрель 2022;948;0,0021;
май 2022;1 077;0,0026;
июнь 2022;935;0,0023;
июль 2022;975;0,0024;
август 2022;882;0,0020;
сентябрь 2022;1 005;0,0021;
октябрь 2022;1 039;0,0021;
ноябрь 2022;1 150;0,0023;
декабрь 2022;906;0,0018;
январь 2023;828;0,0018;
февраль 2023;1 080;0,0022;
март 2023;915;0,0020;
апрель 2023;752;0,0017;
май 2023;867;0,0021;
июнь 2023;861;0,0022;
июль 2023;842;0,0021;
август 2023;782;0,0019;
сентябрь 2023;704;0,0015;
октябрь 2023;962;0,0021;
ноябрь 2023;845;0,0017;
декабрь 2023;821;0,0017;
январь 2024;734;0,0016;
февраль 2024;818;0,0018;
март 2024;734;0,0016;
апрель 2024;801;0,0019;
май 2024;700;0,0019;
июнь 2024;651;0,0018;
июль 2024;656;0,0018;
август 2024;645;0,0017;
сентябрь 2024;815;0,0019;
октябрь 2024;804;0,0018;
ноябрь 2024;857;0,0019;
декабрь 2024;827;0,0018;
