Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Вологодская область, все устройства
декабрь 2017;1 731;0,0031;
январь 2018;1 747;0,0033;
февраль 2018;1 844;0,0032;
март 2018;1 726;0,0033;
апрель 2018;1 474;0,0030;
май 2018;1 975;0,0044;
июнь 2018;1 901;0,0042;
июль 2018;1 639;0,0035;
август 2018;1 727;0,0032;
сентябрь 2018;1 921;0,0031;
октябрь 2018;1 682;0,0030;
ноябрь 2018;1 958;0,0035;
декабрь 2018;1 733;0,0030;
январь 2019;1 813;0,0033;
февраль 2019;1 723;0,0029;
март 2019;1 579;0,0029;
апрель 2019;1 423;0,0028;
май 2019;1 367;0,0030;
июнь 2019;1 504;0,0032;
июль 2019;1 439;0,0031;
август 2019;1 371;0,0027;
сентябрь 2019;1 471;0,0025;
октябрь 2019;1 575;0,0027;
ноябрь 2019;1 665;0,0028;
декабрь 2019;1 696;0,0028;
январь 2020;1 635;0,0028;
февраль 2020;1 797;0,0028;
март 2020;2 036;0,0024;
апрель 2020;1 943;0,0026;
май 2020;1 909;0,0033;
июнь 2020;1 669;0,0031;
июль 2020;1 550;0,0029;
август 2020;1 548;0,0025;
сентябрь 2020;1 682;0,0025;
октябрь 2020;1 773;0,0024;
ноябрь 2020;1 863;0,0027;
декабрь 2020;1 621;0,0024;
январь 2021;1 508;0,0023;
февраль 2021;1 740;0,0025;
март 2021;1 833;0,0025;
апрель 2021;1 917;0,0026;
май 2021;1 917;0,0028;
июнь 2021;1 639;0,0028;
июль 2021;1 560;0,0025;
август 2021;1 706;0,0023;
сентябрь 2021;1 885;0,0023;
октябрь 2021;1 895;0,0023;
ноябрь 2021;2 060;0,0024;
декабрь 2021;1 934;0,0022;
январь 2022;1 932;0,0023;
февраль 2022;2 643;0,0029;
март 2022;1 953;0,0022;
апрель 2022;1 892;0,0022;
май 2022;2 005;0,0027;
июнь 2022;1 753;0,0024;
июль 2022;1 896;0,0026;
август 2022;1 886;0,0022;
сентябрь 2022;1 833;0,0020;
октябрь 2022;1 847;0,0020;
ноябрь 2022;1 951;0,0021;
декабрь 2022;1 742;0,0019;
январь 2023;1 653;0,0020;
февраль 2023;1 954;0,0021;
март 2023;1 783;0,0021;
апрель 2023;1 630;0,0020;
май 2023;1 537;0,0021;
июнь 2023;1 656;0,0022;
июль 2023;1 663;0,0023;
август 2023;1 395;0,0018;
сентябрь 2023;1 589;0,0018;
октябрь 2023;1 778;0,0021;
ноябрь 2023;1 737;0,0020;
декабрь 2023;1 535;0,0017;
январь 2024;1 544;0,0018;
февраль 2024;1 758;0,0020;
март 2024;1 624;0,0020;
апрель 2024;1 517;0,0019;
май 2024;1 535;0,0023;
июнь 2024;1 490;0,0022;
июль 2024;1 381;0,0021;
август 2024;1 321;0,0018;
сентябрь 2024;1 517;0,0018;
октябрь 2024;1 502;0,0018;
ноябрь 2024;1 673;0,0019;
декабрь 2024;1 619;0,0019;
