Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Москва, все устройства
декабрь 2017;44 972;0,0035;
январь 2018;47 727;0,0036;
февраль 2018;54 076;0,0038;
март 2018;47 081;0,0036;
апрель 2018;45 757;0,0036;
май 2018;66 644;0,0057;
июнь 2018;62 121;0,0051;
июль 2018;51 299;0,0043;
август 2018;50 185;0,0036;
сентябрь 2018;62 892;0,0039;
октябрь 2018;56 112;0,0037;
ноябрь 2018;63 981;0,0043;
декабрь 2018;52 380;0,0034;
январь 2019;46 570;0,0033;
февраль 2019;46 921;0,0032;
март 2019;43 454;0,0032;
апрель 2019;40 899;0,0031;
май 2019;40 679;0,0034;
июнь 2019;42 802;0,0034;
июль 2019;37 446;0,0031;
август 2019;38 264;0,0028;
сентябрь 2019;42 365;0,0028;
октябрь 2019;39 772;0,0027;
ноябрь 2019;51 572;0,0034;
декабрь 2019;44 557;0,0029;
январь 2020;44 248;0,0029;
февраль 2020;47 319;0,0030;
март 2020;50 937;0,0029;
апрель 2020;47 658;0,0030;
май 2020;54 254;0,0038;
июнь 2020;48 179;0,0035;
июль 2020;44 679;0,0033;
август 2020;45 095;0,0029;
сентябрь 2020;47 309;0,0027;
октябрь 2020;47 960;0,0026;
ноябрь 2020;51 359;0,0028;
декабрь 2020;42 024;0,0026;
январь 2021;39 969;0,0025;
февраль 2021;46 477;0,0026;
март 2021;43 871;0,0025;
апрель 2021;40 070;0,0026;
май 2021;40 683;0,0027;
июнь 2021;45 629;0,0028;
июль 2021;46 297;0,0027;
август 2021;42 475;0,0024;
сентябрь 2021;40 921;0,0023;
октябрь 2021;38 197;0,0023;
ноябрь 2021;42 509;0,0025;
декабрь 2021;37 616;0,0021;
январь 2022;46 047;0,0026;
февраль 2022;79 364;0,0043;
март 2022;59 193;0,0035;
апрель 2022;60 148;0,0033;
май 2022;57 253;0,0037;
июнь 2022;49 773;0,0034;
июль 2022;52 669;0,0034;
август 2022;50 083;0,0029;
сентябрь 2022;46 746;0,0028;
октябрь 2022;42 157;0,0025;
ноябрь 2022;40 318;0,0024;
декабрь 2022;33 136;0,0021;
январь 2023;33 530;0,0023;
февраль 2023;41 171;0,0025;
март 2023;33 647;0,0023;
апрель 2023;32 475;0,0022;
май 2023;33 005;0,0025;
июнь 2023;30 031;0,0024;
июль 2023;32 184;0,0026;
август 2023;32 755;0,0024;
сентябрь 2023;34 737;0,0022;
октябрь 2023;32 535;0,0021;
ноябрь 2023;32 787;0,0021;
декабрь 2023;30 430;0,0019;
январь 2024;31 632;0,0022;
февраль 2024;32 991;0,0022;
март 2024;33 305;0,0024;
апрель 2024;37 531;0,0027;
май 2024;28 279;0,0024;
июнь 2024;26 732;0,0023;
июль 2024;27 023;0,0023;
август 2024;25 244;0,0020;
сентябрь 2024;28 745;0,0020;
октябрь 2024;32 246;0,0021;
ноябрь 2024;33 666;0,0022;
декабрь 2024;31 459;0,0021;
