Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Рязанская область, все устройства
декабрь 2017;1 341;0,0026;
январь 2018;1 507;0,0030;
февраль 2018;1 667;0,0030;
март 2018;1 274;0,0026;
апрель 2018;1 273;0,0027;
май 2018;2 129;0,0048;
июнь 2018;2 052;0,0046;
июль 2018;1 644;0,0036;
август 2018;1 638;0,0031;
сентябрь 2018;1 880;0,0031;
октябрь 2018;1 838;0,0033;
ноябрь 2018;2 141;0,0039;
декабрь 2018;1 642;0,0029;
январь 2019;1 542;0,0029;
февраль 2019;1 500;0,0026;
март 2019;1 460;0,0027;
апрель 2019;1 286;0,0026;
май 2019;1 398;0,0030;
июнь 2019;1 445;0,0031;
июль 2019;1 331;0,0028;
август 2019;1 223;0,0024;
сентябрь 2019;1 452;0,0025;
октябрь 2019;1 383;0,0023;
ноябрь 2019;1 674;0,0027;
декабрь 2019;1 707;0,0027;
январь 2020;1 438;0,0023;
февраль 2020;1 776;0,0026;
март 2020;2 027;0,0022;
апрель 2020;2 010;0,0025;
май 2020;2 068;0,0033;
июнь 2020;1 703;0,0029;
июль 2020;1 707;0,0029;
август 2020;1 558;0,0024;
сентябрь 2020;1 675;0,0023;
октябрь 2020;1 719;0,0022;
ноябрь 2020;1 939;0,0025;
декабрь 2020;1 693;0,0022;
январь 2021;1 645;0,0022;
февраль 2021;2 036;0,0025;
март 2021;1 820;0,0021;
апрель 2021;1 907;0,0023;
май 2021;1 898;0,0024;
июнь 2021;1 883;0,0027;
июль 2021;1 948;0,0027;
август 2021;1 787;0,0021;
сентябрь 2021;1 876;0,0022;
октябрь 2021;1 862;0,0021;
ноябрь 2021;2 075;0,0023;
декабрь 2021;1 872;0,0021;
январь 2022;2 033;0,0022;
февраль 2022;2 882;0,0030;
март 2022;2 417;0,0026;
апрель 2022;1 806;0,0020;
май 2022;2 053;0,0026;
июнь 2022;2 062;0,0026;
июль 2022;2 061;0,0026;
август 2022;1 915;0,0022;
сентябрь 2022;1 829;0,0020;
октябрь 2022;1 950;0,0021;
ноябрь 2022;2 054;0,0022;
декабрь 2022;1 887;0,0020;
январь 2023;1 742;0,0020;
февраль 2023;2 033;0,0022;
март 2023;1 611;0,0019;
апрель 2023;1 609;0,0019;
май 2023;1 892;0,0023;
июнь 2023;1 786;0,0022;
июль 2023;1 636;0,0021;
август 2023;1 626;0,0020;
сентябрь 2023;1 849;0,0020;
октябрь 2023;1 811;0,0020;
ноябрь 2023;1 781;0,0019;
декабрь 2023;1 604;0,0017;
январь 2024;1 734;0,0019;
февраль 2024;1 645;0,0018;
март 2024;1 610;0,0019;
апрель 2024;1 682;0,0020;
май 2024;1 488;0,0020;
июнь 2024;1 357;0,0018;
июль 2024;1 484;0,0019;
август 2024;1 482;0,0019;
сентябрь 2024;1 931;0,0022;
октябрь 2024;1 716;0,0018;
ноябрь 2024;1 792;0,0019;
декабрь 2024;1 776;0,0018;
