Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Воронежская область, все устройства
декабрь 2017;3 608;0,0032;
январь 2018;3 552;0,0032;
февраль 2018;4 289;0,0035;
март 2018;3 453;0,0033;
апрель 2018;3 408;0,0033;
май 2018;4 427;0,0046;
июнь 2018;4 425;0,0045;
июль 2018;3 820;0,0039;
август 2018;3 606;0,0032;
сентябрь 2018;4 416;0,0034;
октябрь 2018;4 211;0,0035;
ноябрь 2018;4 942;0,0041;
декабрь 2018;3 972;0,0033;
январь 2019;3 713;0,0031;
февраль 2019;3 715;0,0030;
март 2019;3 436;0,0031;
апрель 2019;3 129;0,0029;
май 2019;3 069;0,0031;
июнь 2019;3 237;0,0032;
июль 2019;2 921;0,0029;
август 2019;3 005;0,0027;
сентябрь 2019;3 522;0,0027;
октябрь 2019;3 565;0,0027;
ноябрь 2019;3 959;0,0029;
декабрь 2019;4 246;0,0031;
январь 2020;3 802;0,0028;
февраль 2020;4 213;0,0030;
март 2020;4 302;0,0025;
апрель 2020;4 555;0,0030;
май 2020;4 379;0,0034;
июнь 2020;3 961;0,0033;
июль 2020;3 881;0,0033;
август 2020;3 751;0,0027;
сентябрь 2020;4 080;0,0026;
октябрь 2020;4 265;0,0024;
ноябрь 2020;4 598;0,0028;
декабрь 2020;3 980;0,0026;
январь 2021;3 497;0,0023;
февраль 2021;4 198;0,0025;
март 2021;4 055;0,0025;
апрель 2021;3 757;0,0024;
май 2021;3 863;0,0025;
июнь 2021;3 962;0,0027;
июль 2021;4 338;0,0030;
август 2021;3 932;0,0024;
сентябрь 2021;4 297;0,0023;
октябрь 2021;4 310;0,0023;
ноябрь 2021;4 690;0,0025;
декабрь 2021;4 005;0,0022;
январь 2022;4 359;0,0023;
февраль 2022;6 343;0,0032;
март 2022;4 491;0,0024;
апрель 2022;4 315;0,0023;
май 2022;4 460;0,0027;
июнь 2022;4 218;0,0026;
июль 2022;4 598;0,0028;
август 2022;4 175;0,0023;
сентябрь 2022;4 453;0,0022;
октябрь 2022;4 351;0,0022;
ноябрь 2022;4 470;0,0023;
декабрь 2022;3 904;0,0020;
январь 2023;3 720;0,0020;
февраль 2023;4 355;0,0022;
март 2023;3 953;0,0021;
апрель 2023;3 388;0,0019;
май 2023;3 454;0,0021;
июнь 2023;3 635;0,0023;
июль 2023;3 734;0,0024;
август 2023;3 387;0,0020;
сентябрь 2023;3 956;0,0021;
октябрь 2023;4 046;0,0022;
ноябрь 2023;4 036;0,0021;
декабрь 2023;3 394;0,0018;
январь 2024;3 511;0,0020;
февраль 2024;3 725;0,0020;
март 2024;4 579;0,0027;
апрель 2024;3 534;0,0021;
май 2024;3 012;0,0020;
июнь 2024;3 002;0,0021;
июль 2024;3 037;0,0021;
август 2024;2 945;0,0018;
сентябрь 2024;3 373;0,0019;
октябрь 2024;3 249;0,0017;
ноябрь 2024;3 757;0,0020;
декабрь 2024;3 542;0,0019;
