Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Тульская область, все устройства
декабрь 2017;1 914;0,0028;
январь 2018;1 880;0,0028;
февраль 2018;2 118;0,0029;
март 2018;1 964;0,0030;
апрель 2018;1 915;0,0030;
май 2018;2 607;0,0044;
июнь 2018;2 521;0,0041;
июль 2018;2 072;0,0035;
август 2018;1 929;0,0028;
сентябрь 2018;2 581;0,0032;
октябрь 2018;2 443;0,0033;
ноябрь 2018;2 724;0,0037;
декабрь 2018;2 526;0,0033;
январь 2019;2 127;0,0029;
февраль 2019;1 973;0,0025;
март 2019;1 860;0,0026;
апрель 2019;1 742;0,0026;
май 2019;1 757;0,0029;
июнь 2019;1 808;0,0029;
июль 2019;1 666;0,0027;
август 2019;1 713;0,0026;
сентябрь 2019;1 661;0,0022;
октябрь 2019;1 780;0,0023;
ноябрь 2019;2 318;0,0029;
декабрь 2019;2 081;0,0026;
январь 2020;1 994;0,0025;
февраль 2020;2 217;0,0026;
март 2020;2 718;0,0026;
апрель 2020;2 312;0,0024;
май 2020;2 528;0,0032;
июнь 2020;2 271;0,0031;
июль 2020;2 105;0,0029;
август 2020;2 073;0,0026;
сентябрь 2020;2 203;0,0024;
октябрь 2020;2 241;0,0023;
ноябрь 2020;2 370;0,0026;
декабрь 2020;2 010;0,0022;
январь 2021;2 172;0,0025;
февраль 2021;2 585;0,0026;
март 2021;2 427;0,0024;
апрель 2021;2 190;0,0022;
май 2021;2 348;0,0025;
июнь 2021;2 509;0,0028;
июль 2021;2 590;0,0028;
август 2021;2 386;0,0024;
сентябрь 2021;2 433;0,0023;
октябрь 2021;2 495;0,0022;
ноябрь 2021;2 708;0,0024;
декабрь 2021;2 462;0,0022;
январь 2022;2 518;0,0023;
февраль 2022;3 452;0,0029;
март 2022;2 802;0,0024;
апрель 2022;2 517;0,0022;
май 2022;2 655;0,0026;
июнь 2022;2 566;0,0025;
июль 2022;2 773;0,0027;
август 2022;2 433;0,0022;
сентябрь 2022;2 625;0,0022;
октябрь 2022;2 530;0,0021;
ноябрь 2022;2 535;0,0021;
декабрь 2022;2 178;0,0018;
январь 2023;2 224;0,0020;
февраль 2023;2 458;0,0021;
март 2023;2 138;0,0020;
апрель 2023;2 105;0,0019;
май 2023;2 127;0,0021;
июнь 2023;2 146;0,0021;
июль 2023;2 379;0,0024;
август 2023;2 040;0,0020;
сентябрь 2023;2 185;0,0019;
октябрь 2023;2 428;0,0022;
ноябрь 2023;2 232;0,0020;
декабрь 2023;1 907;0,0017;
январь 2024;2 060;0,0019;
февраль 2024;2 046;0,0018;
март 2024;1 958;0,0019;
апрель 2024;2 063;0,0020;
май 2024;1 970;0,0022;
июнь 2024;1 831;0,0020;
июль 2024;1 820;0,0020;
август 2024;1 737;0,0018;
сентябрь 2024;2 011;0,0019;
октябрь 2024;2 061;0,0019;
ноябрь 2024;2 073;0,0018;
декабрь 2024;2 192;0,0019;
