Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Липецкая область, все устройства
декабрь 2017;1 441;0,0027;
январь 2018;1 560;0,0030;
февраль 2018;1 731;0,0030;
март 2018;1 446;0,0029;
апрель 2018;1 424;0,0030;
май 2018;1 930;0,0043;
июнь 2018;1 831;0,0039;
июль 2018;1 603;0,0035;
август 2018;1 665;0,0032;
сентябрь 2018;1 770;0,0029;
октябрь 2018;1 730;0,0032;
ноябрь 2018;2 084;0,0039;
декабрь 2018;1 847;0,0033;
январь 2019;1 849;0,0034;
февраль 2019;1 720;0,0030;
март 2019;1 424;0,0027;
апрель 2019;1 496;0,0030;
май 2019;1 446;0,0032;
июнь 2019;1 364;0,0029;
июль 2019;1 323;0,0028;
август 2019;1 292;0,0026;
сентябрь 2019;1 322;0,0024;
октябрь 2019;1 425;0,0025;
ноябрь 2019;1 402;0,0024;
декабрь 2019;1 595;0,0026;
январь 2020;1 370;0,0023;
февраль 2020;1 706;0,0026;
март 2020;1 802;0,0022;
апрель 2020;1 868;0,0025;
май 2020;1 761;0,0030;
июнь 2020;1 678;0,0030;
июль 2020;1 563;0,0029;
август 2020;1 494;0,0025;
сентябрь 2020;1 680;0,0025;
октябрь 2020;1 636;0,0022;
ноябрь 2020;1 891;0,0027;
декабрь 2020;1 561;0,0023;
январь 2021;1 520;0,0023;
февраль 2021;1 844;0,0025;
март 2021;1 741;0,0024;
апрель 2021;1 493;0,0021;
май 2021;1 664;0,0024;
июнь 2021;1 541;0,0024;
июль 2021;1 842;0,0027;
август 2021;1 711;0,0024;
сентябрь 2021;1 868;0,0024;
октябрь 2021;1 800;0,0022;
ноябрь 2021;2 089;0,0025;
декабрь 2021;1 755;0,0021;
январь 2022;1 828;0,0022;
февраль 2022;2 495;0,0027;
март 2022;1 864;0,0022;
апрель 2022;1 704;0,0021;
май 2022;1 876;0,0026;
июнь 2022;1 779;0,0024;
июль 2022;1 870;0,0025;
август 2022;1 786;0,0022;
сентябрь 2022;1 722;0,0020;
октябрь 2022;1 742;0,0020;
ноябрь 2022;1 925;0,0021;
декабрь 2022;1 604;0,0018;
январь 2023;1 580;0,0019;
февраль 2023;1 850;0,0021;
март 2023;1 515;0,0018;
апрель 2023;1 462;0,0018;
май 2023;1 525;0,0020;
июнь 2023;1 669;0,0022;
июль 2023;1 729;0,0024;
август 2023;1 564;0,0021;
сентябрь 2023;1 679;0,0020;
октябрь 2023;1 580;0,0018;
ноябрь 2023;1 523;0,0018;
декабрь 2023;1 401;0,0016;
январь 2024;1 602;0,0020;
февраль 2024;1 600;0,0019;
март 2024;1 931;0,0025;
апрель 2024;1 478;0,0020;
май 2024;1 346;0,0020;
июнь 2024;1 349;0,0020;
июль 2024;1 295;0,0019;
август 2024;1 283;0,0019;
сентябрь 2024;1 643;0,0021;
октябрь 2024;1 456;0,0018;
ноябрь 2024;1 598;0,0019;
декабрь 2024;1 465;0,0017;
