Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Томская область, все устройства
декабрь 2017;1 372;0,0034;
январь 2018;1 304;0,0033;
февраль 2018;1 402;0,0033;
март 2018;1 210;0,0030;
апрель 2018;1 327;0,0031;
май 2018;1 699;0,0049;
июнь 2018;1 519;0,0045;
июль 2018;1 243;0,0036;
август 2018;1 217;0,0030;
сентябрь 2018;1 521;0,0032;
октябрь 2018;1 470;0,0034;
ноябрь 2018;1 785;0,0040;
декабрь 2018;1 363;0,0032;
январь 2019;1 339;0,0031;
февраль 2019;1 413;0,0032;
март 2019;1 260;0,0029;
апрель 2019;1 085;0,0026;
май 2019;1 059;0,0029;
июнь 2019;1 081;0,0033;
июль 2019;979;0,0030;
август 2019;1 024;0,0027;
сентябрь 2019;1 050;0,0024;
октябрь 2019;1 269;0,0029;
ноябрь 2019;1 341;0,0029;
декабрь 2019;1 198;0,0025;
январь 2020;1 150;0,0025;
февраль 2020;1 300;0,0026;
март 2020;1 535;0,0024;
апрель 2020;1 430;0,0026;
май 2020;1 382;0,0030;
июнь 2020;1 375;0,0034;
июль 2020;1 104;0,0028;
август 2020;1 230;0,0026;
сентябрь 2020;1 274;0,0023;
октябрь 2020;1 375;0,0024;
ноябрь 2020;1 422;0,0025;
декабрь 2020;1 260;0,0024;
январь 2021;1 162;0,0023;
февраль 2021;1 313;0,0024;
март 2021;1 361;0,0024;
апрель 2021;1 395;0,0025;
май 2021;1 437;0,0027;
июнь 2021;1 366;0,0029;
июль 2021;1 354;0,0028;
август 2021;1 211;0,0022;
сентябрь 2021;1 278;0,0021;
октябрь 2021;1 361;0,0023;
ноябрь 2021;1 525;0,0024;
декабрь 2021;1 190;0,0019;
январь 2022;1 260;0,0020;
февраль 2022;1 996;0,0029;
март 2022;1 499;0,0023;
апрель 2022;1 220;0,0020;
май 2022;1 447;0,0025;
июнь 2022;1 324;0,0025;
июль 2022;1 251;0,0024;
август 2022;1 210;0,0020;
сентябрь 2022;1 428;0,0021;
октябрь 2022;1 412;0,0020;
ноябрь 2022;1 417;0,0020;
декабрь 2022;1 165;0,0017;
январь 2023;1 229;0,0020;
февраль 2023;1 522;0,0022;
март 2023;1 322;0,0019;
апрель 2023;1 112;0,0017;
май 2023;1 095;0,0019;
июнь 2023;1 127;0,0022;
июль 2023;1 228;0,0024;
август 2023;1 096;0,0019;
сентябрь 2023;1 128;0,0017;
октябрь 2023;1 302;0,0020;
ноябрь 2023;1 222;0,0018;
декабрь 2023;1 075;0,0017;
январь 2024;1 082;0,0018;
февраль 2024;1 189;0,0019;
март 2024;1 104;0,0018;
апрель 2024;1 207;0,0020;
май 2024;1 041;0,0020;
июнь 2024;1 114;0,0023;
июль 2024;914;0,0019;
август 2024;913;0,0017;
сентябрь 2024;1 180;0,0019;
октябрь 2024;1 249;0,0020;
ноябрь 2024;1 142;0,0017;
декабрь 2024;1 056;0,0017;
