Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Калужская область, все устройства
декабрь 2017;1 458;0,0030;
январь 2018;1 437;0,0031;
февраль 2018;1 788;0,0034;
март 2018;1 540;0,0034;
апрель 2018;1 429;0,0032;
май 2018;2 182;0,0051;
июнь 2018;2 055;0,0047;
июль 2018;1 668;0,0038;
август 2018;1 515;0,0030;
сентябрь 2018;2 026;0,0036;
октябрь 2018;2 051;0,0040;
ноябрь 2018;2 263;0,0044;
декабрь 2018;1 918;0,0036;
январь 2019;1 705;0,0033;
февраль 2019;1 674;0,0031;
март 2019;1 538;0,0031;
апрель 2019;1 442;0,0030;
май 2019;1 484;0,0033;
июнь 2019;1 486;0,0032;
июль 2019;1 306;0,0028;
август 2019;1 418;0,0029;
сентябрь 2019;1 506;0,0027;
октябрь 2019;1 476;0,0027;
ноябрь 2019;1 775;0,0031;
декабрь 2019;1 695;0,0029;
январь 2020;1 637;0,0029;
февраль 2020;1 772;0,0028;
март 2020;2 355;0,0030;
апрель 2020;2 075;0,0028;
май 2020;2 226;0,0037;
июнь 2020;1 958;0,0035;
июль 2020;1 717;0,0031;
август 2020;1 614;0,0027;
сентябрь 2020;1 766;0,0026;
октябрь 2020;1 784;0,0026;
ноябрь 2020;1 987;0,0030;
декабрь 2020;1 781;0,0027;
январь 2021;1 603;0,0025;
февраль 2021;1 834;0,0026;
март 2021;1 882;0,0026;
апрель 2021;1 731;0,0023;
май 2021;1 969;0,0028;
июнь 2021;1 835;0,0027;
июль 2021;1 971;0,0028;
август 2021;1 950;0,0026;
сентябрь 2021;1 952;0,0024;
октябрь 2021;1 970;0,0024;
ноябрь 2021;2 135;0,0026;
декабрь 2021;1 920;0,0023;
январь 2022;1 937;0,0024;
февраль 2022;3 020;0,0033;
март 2022;2 237;0,0025;
апрель 2022;2 210;0,0026;
май 2022;2 396;0,0031;
июнь 2022;2 240;0,0029;
июль 2022;2 326;0,0030;
август 2022;2 162;0,0026;
сентябрь 2022;2 107;0,0023;
октябрь 2022;1 893;0,0021;
ноябрь 2022;2 108;0,0024;
декабрь 2022;1 796;0,0020;
январь 2023;1 691;0,0021;
февраль 2023;2 034;0,0023;
март 2023;1 746;0,0021;
апрель 2023;1 759;0,0022;
май 2023;1 785;0,0023;
июнь 2023;1 784;0,0023;
июль 2023;1 915;0,0025;
август 2023;1 631;0,0021;
сентябрь 2023;1 767;0,0021;
октябрь 2023;1 820;0,0022;
ноябрь 2023;1 952;0,0024;
декабрь 2023;1 791;0,0021;
январь 2024;1 653;0,0021;
февраль 2024;1 678;0,0021;
март 2024;1 589;0,0021;
апрель 2024;1 684;0,0022;
май 2024;1 585;0,0023;
июнь 2024;1 671;0,0024;
июль 2024;1 577;0,0023;
август 2024;1 355;0,0019;
сентябрь 2024;1 521;0,0019;
октябрь 2024;1 550;0,0018;
ноябрь 2024;1 733;0,0020;
декабрь 2024;1 835;0,0020;
