Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Республика Ингушетия, все устройства
декабрь 2017;129;0,0032;
январь 2018;117;0,0029;
февраль 2018;118;0,0027;
март 2018;88;0,0023;
апрель 2018;103;0,0027;
май 2018;143;0,0042;
июнь 2018;128;0,0033;
июль 2018;137;0,0035;
август 2018;99;0,0024;
сентябрь 2018;146;0,0032;
октябрь 2018;118;0,0025;
ноябрь 2018;181;0,0037;
декабрь 2018;156;0,0031;
январь 2019;133;0,0027;
февраль 2019;132;0,0026;
март 2019;122;0,0025;
апрель 2019;113;0,0025;
май 2019;134;0,0032;
июнь 2019;145;0,0033;
июль 2019;148;0,0034;
август 2019;130;0,0029;
сентябрь 2019;148;0,0029;
октябрь 2019;142;0,0027;
ноябрь 2019;136;0,0023;
декабрь 2019;167;0,0027;
январь 2020;178;0,0031;
февраль 2020;150;0,0024;
март 2020;213;0,0027;
апрель 2020;212;0,0030;
май 2020;175;0,0029;
июнь 2020;135;0,0024;
июль 2020;136;0,0025;
август 2020;163;0,0028;
сентябрь 2020;165;0,0024;
октябрь 2020;155;0,0021;
ноябрь 2020;183;0,0027;
декабрь 2020;113;0,0017;
январь 2021;117;0,0019;
февраль 2021;136;0,0021;
март 2021;158;0,0024;
апрель 2021;172;0,0026;
май 2021;244;0,0034;
июнь 2021;170;0,0027;
июль 2021;237;0,0038;
август 2021;183;0,0025;
сентябрь 2021;231;0,0028;
октябрь 2021;199;0,0023;
ноябрь 2021;268;0,0029;
декабрь 2021;209;0,0022;
январь 2022;182;0,0020;
февраль 2022;314;0,0032;
март 2022;166;0,0019;
апрель 2022;231;0,0026;
май 2022;247;0,0030;
июнь 2022;212;0,0026;
июль 2022;191;0,0024;
август 2022;211;0,0025;
сентябрь 2022;210;0,0023;
октябрь 2022;191;0,0020;
ноябрь 2022;236;0,0024;
декабрь 2022;197;0,0020;
январь 2023;169;0,0019;
февраль 2023;235;0,0025;
март 2023;211;0,0025;
апрель 2023;183;0,0021;
май 2023;164;0,0021;
июнь 2023;181;0,0023;
июль 2023;227;0,0028;
август 2023;206;0,0025;
сентябрь 2023;265;0,0029;
октябрь 2023;223;0,0024;
ноябрь 2023;235;0,0024;
декабрь 2023;211;0,0021;
январь 2024;181;0,0020;
февраль 2024;194;0,0023;
март 2024;172;0,0023;
апрель 2024;166;0,0020;
май 2024;134;0,0018;
июнь 2024;149;0,0020;
июль 2024;185;0,0024;
август 2024;150;0,0020;
сентябрь 2024;163;0,0019;
октябрь 2024;173;0,0020;
ноябрь 2024;231;0,0024;
декабрь 2024;150;0,0016;
