Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Краснодарский край, все устройства
декабрь 2017;8 705;0,0036;
январь 2018;8 507;0,0035;
февраль 2018;9 376;0,0037;
март 2018;7 566;0,0034;
апрель 2018;7 939;0,0034;
май 2018;13 093;0,0057;
июнь 2018;12 370;0,0048;
июль 2018;10 452;0,0041;
август 2018;8 915;0,0034;
сентябрь 2018;9 868;0,0034;
октябрь 2018;9 402;0,0036;
ноябрь 2018;12 081;0,0045;
декабрь 2018;9 735;0,0035;
январь 2019;8 962;0,0034;
февраль 2019;9 430;0,0034;
март 2019;8 433;0,0032;
апрель 2019;8 416;0,0033;
май 2019;8 659;0,0035;
июнь 2019;9 256;0,0034;
июль 2019;8 979;0,0032;
август 2019;8 257;0,0030;
сентябрь 2019;8 236;0,0029;
октябрь 2019;7 988;0,0028;
ноябрь 2019;9 890;0,0033;
декабрь 2019;9 787;0,0031;
январь 2020;8 760;0,0029;
февраль 2020;9 709;0,0030;
март 2020;11 004;0,0028;
апрель 2020;11 233;0,0031;
май 2020;11 168;0,0036;
июнь 2020;10 510;0,0033;
июль 2020;10 558;0,0032;
август 2020;10 070;0,0029;
сентябрь 2020;10 195;0,0028;
октябрь 2020;10 063;0,0027;
ноябрь 2020;10 465;0,0029;
декабрь 2020;9 333;0,0026;
январь 2021;9 234;0,0027;
февраль 2021;10 443;0,0028;
март 2021;9 966;0,0028;
апрель 2021;8 834;0,0027;
май 2021;10 016;0,0028;
июнь 2021;11 569;0,0029;
июль 2021;12 128;0,0029;
август 2021;9 372;0,0026;
сентябрь 2021;8 993;0,0025;
октябрь 2021;8 447;0,0023;
ноябрь 2021;9 983;0,0027;
декабрь 2021;9 207;0,0024;
январь 2022;8 832;0,0024;
февраль 2022;14 491;0,0035;
март 2022;10 429;0,0027;
апрель 2022;10 360;0,0027;
май 2022;11 179;0,0030;
июнь 2022;11 004;0,0027;
июль 2022;11 524;0,0028;
август 2022;9 889;0,0024;
сентябрь 2022;9 325;0,0022;
октябрь 2022;9 576;0,0023;
ноябрь 2022;9 759;0,0023;
декабрь 2022;8 603;0,0020;
январь 2023;8 854;0,0022;
февраль 2023;9 727;0,0023;
март 2023;9 255;0,0023;
апрель 2023;8 818;0,0022;
май 2023;8 653;0,0023;
июнь 2023;9 813;0,0024;
июль 2023;10 382;0,0025;
август 2023;8 703;0,0022;
сентябрь 2023;8 812;0,0021;
октябрь 2023;8 908;0,0022;
ноябрь 2023;8 808;0,0021;
декабрь 2023;7 866;0,0019;
январь 2024;8 160;0,0021;
февраль 2024;8 370;0,0021;
март 2024;7 926;0,0021;
апрель 2024;8 323;0,0022;
май 2024;7 750;0,0022;
июнь 2024;8 655;0,0022;
июль 2024;8 479;0,0021;
август 2024;7 681;0,0020;
сентябрь 2024;7 893;0,0020;
октябрь 2024;8 040;0,0020;
ноябрь 2024;8 665;0,0020;
декабрь 2024;8 810;0,0021;
