Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Пензенская область, все устройства
декабрь 2017;1 504;0,0029;
январь 2018;1 566;0,0031;
февраль 2018;1 667;0,0030;
март 2018;1 429;0,0029;
апрель 2018;1 381;0,0029;
май 2018;2 034;0,0046;
июнь 2018;2 008;0,0045;
июль 2018;1 640;0,0037;
август 2018;1 531;0,0030;
сентябрь 2018;1 735;0,0029;
октябрь 2018;1 663;0,0031;
ноябрь 2018;2 011;0,0037;
декабрь 2018;1 702;0,0030;
январь 2019;1 437;0,0027;
февраль 2019;1 616;0,0028;
март 2019;1 328;0,0026;
апрель 2019;1 400;0,0029;
май 2019;1 281;0,0028;
июнь 2019;1 237;0,0027;
июль 2019;1 307;0,0028;
август 2019;1 124;0,0023;
сентябрь 2019;1 403;0,0024;
октябрь 2019;1 402;0,0024;
ноябрь 2019;1 612;0,0026;
декабрь 2019;1 778;0,0027;
январь 2020;1 536;0,0024;
февраль 2020;1 648;0,0025;
март 2020;1 954;0,0023;
апрель 2020;2 024;0,0026;
май 2020;1 982;0,0031;
июнь 2020;1 801;0,0032;
июль 2020;1 811;0,0032;
август 2020;1 670;0,0026;
сентябрь 2020;1 635;0,0021;
октябрь 2020;1 782;0,0023;
ноябрь 2020;1 901;0,0025;
декабрь 2020;1 839;0,0025;
январь 2021;1 754;0,0025;
февраль 2021;1 851;0,0024;
март 2021;1 783;0,0024;
апрель 2021;1 714;0,0024;
май 2021;1 673;0,0024;
июнь 2021;1 545;0,0024;
июль 2021;1 841;0,0028;
август 2021;1 646;0,0022;
сентябрь 2021;1 765;0,0022;
октябрь 2021;1 868;0,0022;
ноябрь 2021;2 102;0,0024;
декабрь 2021;1 719;0,0020;
январь 2022;1 860;0,0022;
февраль 2022;2 541;0,0027;
март 2022;1 914;0,0022;
апрель 2022;1 684;0,0019;
май 2022;1 843;0,0024;
июнь 2022;1 827;0,0024;
июль 2022;1 849;0,0025;
август 2022;1 872;0,0022;
сентябрь 2022;1 777;0,0019;
октябрь 2022;1 818;0,0020;
ноябрь 2022;1 976;0,0021;
декабрь 2022;1 660;0,0018;
январь 2023;1 694;0,0020;
февраль 2023;1 741;0,0019;
март 2023;1 509;0,0018;
апрель 2023;1 454;0,0017;
май 2023;1 623;0,0021;
июнь 2023;1 628;0,0021;
июль 2023;1 702;0,0023;
август 2023;1 500;0,0019;
сентябрь 2023;1 621;0,0018;
октябрь 2023;1 764;0,0020;
ноябрь 2023;1 620;0,0018;
декабрь 2023;1 506;0,0016;
январь 2024;1 513;0,0018;
февраль 2024;1 608;0,0018;
март 2024;1 515;0,0018;
апрель 2024;1 671;0,0020;
май 2024;1 501;0,0020;
июнь 2024;1 510;0,0021;
июль 2024;1 402;0,0019;
август 2024;1 275;0,0017;
сентябрь 2024;1 557;0,0018;
октябрь 2024;1 545;0,0018;
ноябрь 2024;1 778;0,0020;
декабрь 2024;1 669;0,0019;
