Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Белгородская область, все устройства
декабрь 2017;2 009;0,0029;
январь 2018;2 123;0,0031;
февраль 2018;2 243;0,0030;
март 2018;1 868;0,0029;
апрель 2018;1 967;0,0031;
май 2018;2 810;0,0048;
июнь 2018;2 793;0,0046;
июль 2018;2 236;0,0037;
август 2018;2 159;0,0032;
сентябрь 2018;2 525;0,0032;
октябрь 2018;2 467;0,0034;
ноябрь 2018;2 975;0,0041;
декабрь 2018;2 577;0,0035;
январь 2019;2 256;0,0032;
февраль 2019;2 225;0,0030;
март 2019;1 997;0,0030;
апрель 2019;1 927;0,0029;
май 2019;1 779;0,0030;
июнь 2019;1 863;0,0030;
июль 2019;1 808;0,0030;
август 2019;1 779;0,0028;
сентябрь 2019;1 859;0,0025;
октябрь 2019;2 087;0,0028;
ноябрь 2019;2 313;0,0030;
декабрь 2019;2 167;0,0027;
январь 2020;2 027;0,0027;
февраль 2020;2 200;0,0027;
март 2020;2 658;0,0024;
апрель 2020;2 760;0,0026;
май 2020;2 445;0,0032;
июнь 2020;2 381;0,0034;
июль 2020;2 407;0,0035;
август 2020;2 113;0,0027;
сентябрь 2020;2 331;0,0026;
октябрь 2020;2 298;0,0024;
ноябрь 2020;2 560;0,0028;
декабрь 2020;2 352;0,0026;
январь 2021;2 208;0,0025;
февраль 2021;2 575;0,0026;
март 2021;2 528;0,0025;
апрель 2021;2 247;0,0023;
май 2021;2 312;0,0024;
июнь 2021;2 580;0,0029;
июль 2021;2 584;0,0029;
август 2021;2 299;0,0023;
сентябрь 2021;2 527;0,0024;
октябрь 2021;2 585;0,0023;
ноябрь 2021;2 862;0,0025;
декабрь 2021;2 478;0,0022;
январь 2022;2 440;0,0022;
февраль 2022;3 649;0,0030;
март 2022;2 558;0,0022;
апрель 2022;2 566;0,0022;
май 2022;2 781;0,0028;
июнь 2022;2 668;0,0027;
июль 2022;2 654;0,0027;
август 2022;2 412;0,0022;
сентябрь 2022;2 328;0,0019;
октябрь 2022;2 434;0,0018;
ноябрь 2022;2 718;0,0020;
декабрь 2022;2 436;0,0019;
январь 2023;2 281;0,0019;
февраль 2023;2 694;0,0021;
март 2023;2 276;0,0018;
апрель 2023;2 235;0,0019;
май 2023;1 830;0,0019;
июнь 2023;1 999;0,0021;
июль 2023;2 125;0,0022;
август 2023;1 953;0,0019;
сентябрь 2023;2 115;0,0018;
октябрь 2023;2 443;0,0021;
ноябрь 2023;2 234;0,0019;
декабрь 2023;2 004;0,0017;
январь 2024;1 975;0,0017;
февраль 2024;1 947;0,0018;
март 2024;2 662;0,0025;
апрель 2024;1 973;0,0019;
май 2024;1 904;0,0022;
июнь 2024;1 751;0,0021;
июль 2024;1 687;0,0020;
август 2024;1 610;0,0017;
сентябрь 2024;2 036;0,0019;
октябрь 2024;1 908;0,0017;
ноябрь 2024;2 165;0,0018;
декабрь 2024;2 210;0,0019;
