Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Красноярский край, все устройства
декабрь 2017;3 715;0,0029;
январь 2018;3 698;0,0030;
февраль 2018;3 831;0,0030;
март 2018;3 704;0,0031;
апрель 2018;3 777;0,0030;
май 2018;4 567;0,0045;
июнь 2018;4 513;0,0043;
июль 2018;3 768;0,0035;
август 2018;3 655;0,0029;
сентябрь 2018;4 224;0,0029;
октябрь 2018;4 361;0,0032;
ноябрь 2018;5 369;0,0040;
декабрь 2018;4 197;0,0031;
январь 2019;3 828;0,0029;
февраль 2019;3 927;0,0029;
март 2019;3 727;0,0028;
апрель 2019;3 436;0,0027;
май 2019;3 117;0,0029;
июнь 2019;3 261;0,0031;
июль 2019;3 085;0,0028;
август 2019;3 096;0,0025;
сентябрь 2019;3 427;0,0024;
октябрь 2019;3 516;0,0025;
ноябрь 2019;4 261;0,0029;
декабрь 2019;4 265;0,0028;
январь 2020;3 771;0,0026;
февраль 2020;3 946;0,0025;
март 2020;4 475;0,0023;
апрель 2020;4 633;0,0026;
май 2020;4 452;0,0030;
июнь 2020;3 898;0,0029;
июль 2020;3 615;0,0027;
август 2020;3 740;0,0024;
сентябрь 2020;4 326;0,0023;
октябрь 2020;4 580;0,0022;
ноябрь 2020;4 511;0,0023;
декабрь 2020;4 041;0,0023;
январь 2021;3 711;0,0023;
февраль 2021;4 235;0,0023;
март 2021;4 323;0,0024;
апрель 2021;4 031;0,0023;
май 2021;4 091;0,0025;
июнь 2021;3 911;0,0026;
июль 2021;4 569;0,0030;
август 2021;4 104;0,0024;
сентябрь 2021;4 265;0,0022;
октябрь 2021;4 364;0,0022;
ноябрь 2021;4 616;0,0022;
декабрь 2021;4 403;0,0022;
январь 2022;4 640;0,0023;
февраль 2022;6 085;0,0028;
март 2022;4 779;0,0023;
апрель 2022;4 124;0,0021;
май 2022;4 473;0,0026;
июнь 2022;4 234;0,0025;
июль 2022;4 570;0,0025;
август 2022;3 860;0,0020;
сентябрь 2022;4 210;0,0020;
октябрь 2022;4 298;0,0020;
ноябрь 2022;4 209;0,0019;
декабрь 2022;3 604;0,0017;
январь 2023;3 617;0,0018;
февраль 2023;4 347;0,0020;
март 2023;4 324;0,0020;
апрель 2023;4 314;0,0021;
май 2023;3 734;0,0021;
июнь 2023;3 643;0,0022;
июль 2023;3 719;0,0021;
август 2023;3 766;0,0020;
сентябрь 2023;3 858;0,0018;
октябрь 2023;4 119;0,0019;
ноябрь 2023;3 931;0,0018;
декабрь 2023;3 663;0,0017;
январь 2024;3 749;0,0019;
февраль 2024;4 140;0,0020;
март 2024;3 551;0,0017;
апрель 2024;3 833;0,0020;
май 2024;3 120;0,0020;
июнь 2024;2 941;0,0020;
июль 2024;3 069;0,0020;
август 2024;3 141;0,0019;
сентябрь 2024;3 355;0,0017;
октябрь 2024;3 515;0,0018;
ноябрь 2024;3 715;0,0018;
декабрь 2024;3 567;0,0018;
