Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Республика Бурятия, все устройства
декабрь 2017;651;0,0025;
январь 2018;650;0,0026;
февраль 2018;675;0,0025;
март 2018;642;0,0026;
апрель 2018;701;0,0029;
май 2018;975;0,0045;
июнь 2018;807;0,0036;
июль 2018;636;0,0029;
август 2018;698;0,0027;
сентябрь 2018;808;0,0027;
октябрь 2018;828;0,0030;
ноябрь 2018;875;0,0032;
декабрь 2018;709;0,0025;
январь 2019;709;0,0026;
февраль 2019;650;0,0023;
март 2019;722;0,0026;
апрель 2019;671;0,0026;
май 2019;574;0,0025;
июнь 2019;616;0,0028;
июль 2019;475;0,0022;
август 2019;609;0,0025;
сентябрь 2019;543;0,0019;
октябрь 2019;619;0,0022;
ноябрь 2019;696;0,0023;
декабрь 2019;652;0,0021;
январь 2020;694;0,0023;
февраль 2020;720;0,0022;
март 2020;877;0,0019;
апрель 2020;878;0,0023;
май 2020;878;0,0029;
июнь 2020;749;0,0028;
июль 2020;735;0,0027;
август 2020;631;0,0020;
сентябрь 2020;802;0,0019;
октябрь 2020;774;0,0018;
ноябрь 2020;837;0,0021;
декабрь 2020;755;0,0021;
январь 2021;649;0,0019;
февраль 2021;778;0,0022;
март 2021;827;0,0021;
апрель 2021;920;0,0023;
май 2021;947;0,0025;
июнь 2021;843;0,0026;
июль 2021;842;0,0027;
август 2021;794;0,0021;
сентябрь 2021;912;0,0021;
октябрь 2021;863;0,0019;
ноябрь 2021;1 047;0,0021;
декабрь 2021;810;0,0017;
январь 2022;1 043;0,0022;
февраль 2022;1 255;0,0025;
март 2022;975;0,0020;
апрель 2022;977;0,0021;
май 2022;1 007;0,0025;
июнь 2022;852;0,0022;
июль 2022;976;0,0025;
август 2022;877;0,0019;
сентябрь 2022;915;0,0018;
октябрь 2022;905;0,0018;
ноябрь 2022;985;0,0019;
декабрь 2022;940;0,0018;
январь 2023;814;0,0017;
февраль 2023;881;0,0017;
март 2023;811;0,0016;
апрель 2023;828;0,0018;
май 2023;766;0,0019;
июнь 2023;823;0,0021;
июль 2023;926;0,0024;
август 2023;783;0,0018;
сентябрь 2023;838;0,0017;
октябрь 2023;852;0,0017;
ноябрь 2023;800;0,0015;
декабрь 2023;725;0,0014;
январь 2024;784;0,0017;
февраль 2024;894;0,0019;
март 2024;808;0,0018;
апрель 2024;788;0,0019;
май 2024;735;0,0020;
июнь 2024;651;0,0018;
июль 2024;626;0,0017;
август 2024;684;0,0017;
сентябрь 2024;935;0,0020;
октябрь 2024;730;0,0015;
ноябрь 2024;756;0,0015;
декабрь 2024;848;0,0017;
