Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Республика Башкортостан, все устройства
декабрь 2017;5 221;0,0032;
январь 2018;5 233;0,0034;
февраль 2018;5 652;0,0033;
март 2018;5 027;0,0032;
апрель 2018;4 764;0,0032;
май 2018;6 098;0,0045;
июнь 2018;5 641;0,0044;
июль 2018;5 099;0,0037;
август 2018;4 914;0,0032;
сентябрь 2018;6 178;0,0034;
октябрь 2018;5 665;0,0033;
ноябрь 2018;6 572;0,0039;
декабрь 2018;5 603;0,0033;
январь 2019;5 191;0,0031;
февраль 2019;5 416;0,0031;
март 2019;4 788;0,0029;
апрель 2019;4 356;0,0028;
май 2019;4 220;0,0030;
июнь 2019;4 321;0,0031;
июль 2019;4 249;0,0029;
август 2019;4 032;0,0025;
сентябрь 2019;4 521;0,0025;
октябрь 2019;4 743;0,0025;
ноябрь 2019;5 396;0,0028;
декабрь 2019;5 601;0,0029;
январь 2020;4 947;0,0026;
февраль 2020;5 355;0,0027;
март 2020;6 189;0,0022;
апрель 2020;6 184;0,0027;
май 2020;5 644;0,0031;
июнь 2020;5 154;0,0031;
июль 2020;5 246;0,0030;
август 2020;5 071;0,0025;
сентябрь 2020;5 398;0,0024;
октябрь 2020;5 494;0,0021;
ноябрь 2020;5 857;0,0024;
декабрь 2020;5 238;0,0024;
январь 2021;4 905;0,0022;
февраль 2021;5 927;0,0024;
март 2021;5 515;0,0024;
апрель 2021;5 128;0,0024;
май 2021;5 175;0,0025;
июнь 2021;5 693;0,0028;
июль 2021;6 025;0,0028;
август 2021;5 270;0,0023;
сентябрь 2021;5 520;0,0022;
октябрь 2021;5 693;0,0022;
ноябрь 2021;6 080;0,0023;
декабрь 2021;5 269;0,0021;
январь 2022;5 607;0,0022;
февраль 2022;7 886;0,0028;
март 2022;5 845;0,0022;
апрель 2022;5 379;0,0021;
май 2022;5 782;0,0025;
июнь 2022;5 155;0,0024;
июль 2022;5 427;0,0025;
август 2022;5 007;0,0020;
сентябрь 2022;5 210;0,0019;
октябрь 2022;5 575;0,0020;
ноябрь 2022;5 500;0,0019;
декабрь 2022;4 713;0,0017;
январь 2023;4 712;0,0018;
февраль 2023;5 339;0,0019;
март 2023;4 982;0,0020;
апрель 2023;4 634;0,0019;
май 2023;4 658;0,0021;
июнь 2023;4 715;0,0022;
июль 2023;4 801;0,0022;
август 2023;4 688;0,0020;
сентябрь 2023;4 753;0,0018;
октябрь 2023;5 111;0,0019;
ноябрь 2023;5 157;0,0019;
декабрь 2023;4 518;0,0017;
январь 2024;4 780;0,0019;
февраль 2024;4 810;0,0019;
март 2024;4 534;0,0019;
апрель 2024;4 596;0,0020;
май 2024;4 258;0,0021;
июнь 2024;4 235;0,0021;
июль 2024;4 124;0,0021;
август 2024;3 759;0,0018;
сентябрь 2024;4 366;0,0018;
октябрь 2024;4 466;0,0017;
ноябрь 2024;4 706;0,0018;
декабрь 2024;4 714;0,0018;
