Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Республика Адыгея, все устройства
декабрь 2017;304;0,0040;
январь 2018;266;0,0035;
февраль 2018;330;0,0040;
март 2018;250;0,0034;
апрель 2018;311;0,0039;
май 2018;439;0,0059;
июнь 2018;413;0,0053;
июль 2018;325;0,0042;
август 2018;241;0,0029;
сентябрь 2018;362;0,0038;
октябрь 2018;383;0,0041;
ноябрь 2018;392;0,0042;
декабрь 2018;338;0,0034;
январь 2019;372;0,0038;
февраль 2019;378;0,0035;
март 2019;371;0,0037;
апрель 2019;305;0,0031;
май 2019;308;0,0033;
июнь 2019;295;0,0030;
июль 2019;337;0,0035;
август 2019;346;0,0035;
сентябрь 2019;289;0,0026;
октябрь 2019;289;0,0026;
ноябрь 2019;387;0,0031;
декабрь 2019;413;0,0032;
январь 2020;395;0,0032;
февраль 2020;401;0,0030;
март 2020;427;0,0024;
апрель 2020;495;0,0029;
май 2020;434;0,0032;
июнь 2020;494;0,0040;
июль 2020;369;0,0031;
август 2020;367;0,0029;
сентябрь 2020;350;0,0024;
октябрь 2020;414;0,0026;
ноябрь 2020;382;0,0024;
декабрь 2020;374;0,0024;
январь 2021;391;0,0027;
февраль 2021;375;0,0024;
март 2021;488;0,0029;
апрель 2021;458;0,0026;
май 2021;412;0,0024;
июнь 2021;454;0,0030;
июль 2021;528;0,0035;
август 2021;462;0,0026;
сентябрь 2021;468;0,0024;
октябрь 2021;480;0,0024;
ноябрь 2021;535;0,0025;
декабрь 2021;535;0,0024;
январь 2022;507;0,0023;
февраль 2022;770;0,0033;
март 2022;560;0,0026;
апрель 2022;573;0,0026;
май 2022;548;0,0028;
июнь 2022;519;0,0026;
июль 2022;599;0,0030;
август 2022;480;0,0022;
сентябрь 2022;498;0,0021;
октябрь 2022;464;0,0020;
ноябрь 2022;504;0,0021;
декабрь 2022;532;0,0022;
январь 2023;535;0,0024;
февраль 2023;638;0,0026;
март 2023;527;0,0023;
апрель 2023;539;0,0024;
май 2023;541;0,0027;
июнь 2023;483;0,0024;
июль 2023;545;0,0027;
август 2023;623;0,0030;
сентябрь 2023;541;0,0024;
октябрь 2023;593;0,0025;
ноябрь 2023;534;0,0022;
декабрь 2023;541;0,0022;
январь 2024;526;0,0024;
февраль 2024;561;0,0025;
март 2024;490;0,0023;
апрель 2024;497;0,0023;
май 2024;572;0,0030;
июнь 2024;505;0,0026;
июль 2024;420;0,0022;
август 2024;424;0,0021;
сентябрь 2024;414;0,0019;
октябрь 2024;456;0,0020;
ноябрь 2024;519;0,0022;
декабрь 2024;495;0,0021;
