Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Тверская область, все устройства
декабрь 2017;1 515;0,0028;
январь 2018;1 658;0,0032;
февраль 2018;1 874;0,0033;
март 2018;1 615;0,0032;
апрель 2018;1 653;0,0034;
май 2018;2 381;0,0050;
июнь 2018;2 375;0,0049;
июль 2018;1 940;0,0040;
август 2018;1 825;0,0033;
сентябрь 2018;2 135;0,0034;
октябрь 2018;2 067;0,0036;
ноябрь 2018;2 445;0,0044;
декабрь 2018;1 949;0,0033;
январь 2019;1 815;0,0033;
февраль 2019;1 916;0,0032;
март 2019;1 803;0,0033;
апрель 2019;1 674;0,0032;
май 2019;1 665;0,0034;
июнь 2019;1 569;0,0031;
июль 2019;1 492;0,0030;
август 2019;1 498;0,0029;
сентябрь 2019;1 655;0,0028;
октябрь 2019;1 667;0,0028;
ноябрь 2019;2 130;0,0034;
декабрь 2019;1 882;0,0029;
январь 2020;1 727;0,0028;
февраль 2020;1 966;0,0030;
март 2020;2 183;0,0025;
апрель 2020;2 250;0,0028;
май 2020;2 255;0,0036;
июнь 2020;2 140;0,0035;
июль 2020;1 903;0,0032;
август 2020;1 712;0,0027;
сентябрь 2020;2 145;0,0030;
октябрь 2020;2 033;0,0027;
ноябрь 2020;2 274;0,0031;
декабрь 2020;1 898;0,0026;
январь 2021;1 913;0,0027;
февраль 2021;2 295;0,0030;
март 2021;1 950;0,0025;
апрель 2021;1 921;0,0024;
май 2021;2 067;0,0027;
июнь 2021;1 975;0,0027;
июль 2021;2 212;0,0029;
август 2021;2 028;0,0025;
сентябрь 2021;2 184;0,0025;
октябрь 2021;2 227;0,0025;
ноябрь 2021;2 314;0,0026;
декабрь 2021;2 032;0,0022;
январь 2022;2 338;0,0026;
февраль 2022;3 186;0,0033;
март 2022;2 540;0,0027;
апрель 2022;2 203;0,0024;
май 2022;2 310;0,0028;
июнь 2022;2 270;0,0027;
июль 2022;2 367;0,0028;
август 2022;2 152;0,0024;
сентябрь 2022;2 201;0,0023;
октябрь 2022;2 308;0,0024;
ноябрь 2022;2 448;0,0026;
декабрь 2022;2 054;0,0021;
январь 2023;2 166;0,0024;
февраль 2023;2 281;0,0023;
март 2023;2 044;0,0023;
апрель 2023;1 887;0,0021;
май 2023;1 831;0,0022;
июнь 2023;2 153;0,0025;
июль 2023;2 086;0,0025;
август 2023;1 585;0,0019;
сентябрь 2023;1 966;0,0021;
октябрь 2023;2 095;0,0023;
ноябрь 2023;1 875;0,0020;
декабрь 2023;1 832;0,0019;
январь 2024;1 896;0,0021;
февраль 2024;1 883;0,0021;
март 2024;1 782;0,0021;
апрель 2024;1 913;0,0023;
май 2024;1 713;0,0023;
июнь 2024;1 893;0,0024;
июль 2024;1 557;0,0020;
август 2024;1 564;0,0020;
сентябрь 2024;1 690;0,0019;
октябрь 2024;1 712;0,0019;
ноябрь 2024;1 935;0,0021;
декабрь 2024;1 889;0,0020;
