Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Республика Карелия, все устройства
декабрь 2017;1 008;0,0037;
январь 2018;1 027;0,0038;
февраль 2018;1 031;0,0036;
март 2018;806;0,0031;
апрель 2018;822;0,0035;
май 2018;1 261;0,0058;
июнь 2018;1 060;0,0050;
июль 2018;979;0,0043;
август 2018;913;0,0034;
сентябрь 2018;1 045;0,0033;
октябрь 2018;986;0,0035;
ноябрь 2018;1 188;0,0041;
декабрь 2018;966;0,0031;
январь 2019;1 028;0,0035;
февраль 2019;1 036;0,0033;
март 2019;1 051;0,0035;
апрель 2019;898;0,0032;
май 2019;766;0,0033;
июнь 2019;830;0,0036;
июль 2019;793;0,0035;
август 2019;737;0,0030;
сентябрь 2019;866;0,0030;
октябрь 2019;1 399;0,0049;
ноябрь 2019;1 038;0,0035;
декабрь 2019;1 012;0,0033;
январь 2020;891;0,0031;
февраль 2020;1 072;0,0034;
март 2020;1 366;0,0033;
апрель 2020;1 132;0,0033;
май 2020;990;0,0036;
июнь 2020;945;0,0035;
июль 2020;911;0,0035;
август 2020;902;0,0030;
сентябрь 2020;946;0,0028;
октябрь 2020;1 138;0,0029;
ноябрь 2020;1 193;0,0031;
декабрь 2020;938;0,0026;
январь 2021;883;0,0028;
февраль 2021;1 095;0,0032;
март 2021;1 032;0,0028;
апрель 2021;1 090;0,0028;
май 2021;1 017;0,0030;
июнь 2021;860;0,0029;
июль 2021;828;0,0027;
август 2021;962;0,0026;
сентябрь 2021;1 085;0,0026;
октябрь 2021;1 076;0,0026;
ноябрь 2021;1 251;0,0030;
декабрь 2021;1 008;0,0024;
январь 2022;1 078;0,0026;
февраль 2022;1 605;0,0036;
март 2022;1 098;0,0025;
апрель 2022;999;0,0023;
май 2022;1 209;0,0032;
июнь 2022;968;0,0026;
июль 2022;993;0,0027;
август 2022;978;0,0023;
сентябрь 2022;1 089;0,0025;
октябрь 2022;1 041;0,0023;
ноябрь 2022;1 092;0,0025;
декабрь 2022;931;0,0021;
январь 2023;906;0,0022;
февраль 2023;1 088;0,0024;
март 2023;926;0,0022;
апрель 2023;824;0,0020;
май 2023;855;0,0023;
июнь 2023;870;0,0023;
июль 2023;871;0,0024;
август 2023;763;0,0020;
сентябрь 2023;860;0,0020;
октябрь 2023;951;0,0023;
ноябрь 2023;932;0,0022;
декабрь 2023;704;0,0016;
январь 2024;845;0,0021;
февраль 2024;891;0,0021;
март 2024;827;0,0020;
апрель 2024;785;0,0021;
май 2024;685;0,0021;
июнь 2024;644;0,0019;
июль 2024;735;0,0022;
август 2024;683;0,0019;
сентябрь 2024;751;0,0019;
октябрь 2024;782;0,0019;
ноябрь 2024;938;0,0022;
декабрь 2024;816;0,0019;
