Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Еврейская автономная область, все устройства
декабрь 2017;93;0,0034;
январь 2018;90;0,0034;
февраль 2018;94;0,0032;
март 2018;113;0,0041;
апрель 2018;80;0,0029;
май 2018;150;0,0058;
июнь 2018;105;0,0039;
июль 2018;88;0,0034;
август 2018;71;0,0025;
сентябрь 2018;109;0,0033;
октябрь 2018;114;0,0036;
ноябрь 2018;226;0,0071;
декабрь 2018;144;0,0044;
январь 2019;127;0,0038;
февраль 2019;174;0,0049;
март 2019;158;0,0047;
апрель 2019;122;0,0040;
май 2019;86;0,0029;
июнь 2019;114;0,0040;
июль 2019;88;0,0030;
август 2019;110;0,0036;
сентябрь 2019;173;0,0048;
октябрь 2019;124;0,0033;
ноябрь 2019;126;0,0031;
декабрь 2019;106;0,0025;
январь 2020;82;0,0020;
февраль 2020;128;0,0029;
март 2020;201;0,0034;
апрель 2020;134;0,0025;
май 2020;160;0,0036;
июнь 2020;98;0,0024;
июль 2020;133;0,0034;
август 2020;127;0,0030;
сентябрь 2020;104;0,0021;
октябрь 2020;134;0,0024;
ноябрь 2020;135;0,0027;
декабрь 2020;116;0,0024;
январь 2021;108;0,0023;
февраль 2021;185;0,0038;
март 2021;149;0,0027;
апрель 2021;160;0,0028;
май 2021;169;0,0031;
июнь 2021;135;0,0029;
июль 2021;124;0,0027;
август 2021;158;0,0029;
сентябрь 2021;123;0,0020;
октябрь 2021;173;0,0027;
ноябрь 2021;206;0,0030;
декабрь 2021;196;0,0029;
январь 2022;198;0,0030;
февраль 2022;228;0,0031;
март 2022;183;0,0025;
апрель 2022;178;0,0026;
май 2022;166;0,0026;
июнь 2022;133;0,0021;
июль 2022;162;0,0027;
август 2022;144;0,0021;
сентябрь 2022;111;0,0015;
октябрь 2022;171;0,0022;
ноябрь 2022;145;0,0019;
декабрь 2022;137;0,0017;
январь 2023;141;0,0020;
февраль 2023;150;0,0020;
март 2023;151;0,0020;
апрель 2023;133;0,0019;
май 2023;170;0,0028;
июнь 2023;158;0,0026;
июль 2023;166;0,0028;
август 2023;105;0,0017;
сентябрь 2023;126;0,0018;
октябрь 2023;119;0,0017;
ноябрь 2023;141;0,0020;
декабрь 2023;146;0,0020;
январь 2024;136;0,0020;
февраль 2024;157;0,0023;
март 2024;145;0,0022;
апрель 2024;164;0,0027;
май 2024;121;0,0022;
июнь 2024;112;0,0021;
июль 2024;137;0,0026;
август 2024;126;0,0022;
сентябрь 2024;130;0,0020;
октябрь 2024;127;0,0019;
ноябрь 2024;116;0,0016;
декабрь 2024;126;0,0018;
