Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «переводы денег», по месяцам, 31.12.2017 — 30.01.2025, Республика Калмыкия, все устройства
декабрь 2017;175;0,0027;
январь 2018;203;0,0031;
февраль 2018;211;0,0030;
март 2018;144;0,0023;
апрель 2018;175;0,0028;
май 2018;228;0,0038;
июнь 2018;256;0,0041;
июль 2018;209;0,0036;
август 2018;174;0,0028;
сентябрь 2018;167;0,0023;
октябрь 2018;188;0,0028;
ноябрь 2018;273;0,0039;
декабрь 2018;241;0,0033;
январь 2019;182;0,0027;
февраль 2019;170;0,0023;
март 2019;202;0,0030;
апрель 2019;203;0,0030;
май 2019;203;0,0033;
июнь 2019;191;0,0031;
июль 2019;151;0,0025;
август 2019;167;0,0026;
сентябрь 2019;130;0,0019;
октябрь 2019;143;0,0020;
ноябрь 2019;194;0,0026;
декабрь 2019;156;0,0019;
январь 2020;163;0,0021;
февраль 2020;204;0,0025;
март 2020;224;0,0020;
апрель 2020;273;0,0025;
май 2020;200;0,0023;
июнь 2020;221;0,0028;
июль 2020;198;0,0025;
август 2020;209;0,0024;
сентябрь 2020;184;0,0018;
октябрь 2020;213;0,0020;
ноябрь 2020;194;0,0019;
декабрь 2020;210;0,0021;
январь 2021;186;0,0021;
февраль 2021;218;0,0022;
март 2021;216;0,0022;
апрель 2021;223;0,0022;
май 2021;272;0,0028;
июнь 2021;187;0,0021;
июль 2021;232;0,0026;
август 2021;233;0,0024;
сентябрь 2021;231;0,0021;
октябрь 2021;198;0,0017;
ноябрь 2021;269;0,0022;
декабрь 2021;209;0,0017;
январь 2022;200;0,0016;
февраль 2022;262;0,0021;
март 2022;259;0,0022;
апрель 2022;228;0,0019;
май 2022;230;0,0022;
июнь 2022;231;0,0022;
июль 2022;243;0,0023;
август 2022;214;0,0019;
сентябрь 2022;216;0,0018;
октябрь 2022;205;0,0016;
ноябрь 2022;258;0,0019;
декабрь 2022;228;0,0018;
январь 2023;198;0,0017;
февраль 2023;240;0,0020;
март 2023;219;0,0019;
апрель 2023;170;0,0014;
май 2023;176;0,0017;
июнь 2023;207;0,0020;
июль 2023;239;0,0023;
август 2023;208;0,0019;
сентябрь 2023;218;0,0018;
октябрь 2023;231;0,0019;
ноябрь 2023;220;0,0018;
декабрь 2023;208;0,0017;
январь 2024;191;0,0017;
февраль 2024;192;0,0017;
март 2024;188;0,0017;
апрель 2024;228;0,0021;
май 2024;172;0,0018;
июнь 2024;188;0,0019;
июль 2024;186;0,0020;
август 2024;157;0,0016;
сентябрь 2024;219;0,0020;
октябрь 2024;192;0,0017;
ноябрь 2024;201;0,0017;
декабрь 2024;200;0,0016;
