"","Estimate","Std. Error","t value","Pr(>|t|)"
"Month01",4.54927346355969,0.0808354437901657,56.2782023609444,9.3691342475655e-103
"Month02",4.63599417629739,0.0590024438973974,78.5729178330167,8.95976302384586e-124
"Month03",4.81208361205607,0.0512668863314278,93.8633873909785,3.97477008552337e-135
"Month04",4.84946813658635,0.0770103108565028,62.9716733077809,8.84738824268916e-110
"Month05",5.0100161963818,0.0458384528160189,109.297236023441,6.6813309328702e-145
"Month06",5.06459593477769,0.052323679424573,96.7935739702431,4.25679426743286e-137
"Month07",5.07613731980592,0.0435547599326604,116.546098007522,4.89754626885167e-149
"Month08",5.06808790715934,0.0614489426433994,82.4764054374454,7.3245575286064e-127
"Month09",5.07647957846754,0.0515068067633881,98.5593923884248,2.94761751169066e-138
"Month10",5.09444037050787,0.0547233121397654,93.0945180638275,1.3370450000237e-134
"Month11",4.94487082855629,0.0461687574995783,107.104264796415,1.34471209957584e-143
"Month12",4.91480836708979,0.0500903884970773,98.1187911404712,5.71368893819224e-138
"time_trend",0.00388826406080377,0.000317815487799541,12.2343441715976,2.62241715734206e-24
"covid",-0.135509257362673,0.0931073211322328,-1.45540926013992,0.147645648876891
"log_mediazona_lag8",-0.0171617921987974,0.00756774425169192,-2.26775530832197,0.0247721962959604
