Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Republic of Bashkortostan, all devices
December 2017;1 343 610;0,84;
January 2018;1 288 115;0,83;
February 2018;1 357 800;0,80;
March 2018;1 235 147;0,80;
April 2018;1 232 906;0,83;
May 2018;883 745;0,65;
June 2018;770 991;0,60;
July 2018;847 116;0,62;
August 2018;1 207 090;0,79;
September 2018;1 535 534;0,85;
October 2018;1 409 338;0,83;
November 2018;1 359 213;0,81;
December 2018;1 409 020;0,83;
January 2019;1 382 011;0,83;
February 2019;1 428 182;0,82;
March 2019;1 340 722;0,82;
April 2019;1 289 809;0,83;
May 2019;942 395;0,68;
June 2019;852 873;0,62;
July 2019;874 658;0,61;
August 2019;1 239 764;0,79;
September 2019;1 528 122;0,84;
October 2019;1 549 243;0,84;
November 2019;1 608 366;0,85;
December 2019;1 647 511;0,86;
January 2020;1 514 724;0,82;
February 2020;1 570 033;0,79;
March 2020;2 280 377;0,84;
April 2020;2 138 360;0,94;
May 2020;1 380 971;0,77;
June 2020;1 162 679;0,70;
July 2020;1 146 437;0,66;
August 2020;1 656 608;0,83;
September 2020;1 791 828;0,80;
October 2020;2 087 684;0,82;
November 2020;2 068 328;0,87;
December 2020;1 964 919;0,90;
January 2021;1 974 005;0,92;
February 2021;2 132 101;0,89;
March 2021;2 025 100;0,89;
April 2021;1 857 460;0,89;
May 2021;1 479 284;0,73;
June 2021;1 236 296;0,61;
July 2021;1 291 644;0,61;
August 2021;1 772 500;0,78;
September 2021;2 037 181;0,82;
October 2021;2 074 697;0,83;
November 2021;2 321 959;0,89;
December 2021;2 063 380;0,82;
January 2022;2 129 068;0,84;
February 2022;2 345 692;0,84;
March 2022;2 142 989;0,83;
April 2022;2 124 346;0,84;
May 2022;1 494 547;0,66;
June 2022;1 240 564;0,59;
July 2022;1 291 624;0,61;
August 2022;1 713 828;0,70;
September 2022;1 971 850;0,74;
October 2022;2 027 395;0,74;
November 2022;2 039 154;0,73;
December 2022;1 839 676;0,68;
January 2023;1 765 338;0,70;
February 2023;1 972 216;0,71;
March 2023;1 707 154;0,68;
April 2023;1 827 724;0,75;
May 2023;1 269 358;0,58;
June 2023;1 132 879;0,53;
July 2023;1 169 549;0,55;
August 2023;1 593 904;0,68;
September 2023;1 960 928;0,74;
October 2023;1 907 032;0,72;
November 2023;1 959 078;0,73;
December 2023;1 802 347;0,68;
January 2024;1 730 535;0,70;
February 2024;1 723 640;0,68;
March 2024;1 638 571;0,71;
April 2024;1 707 820;0,75;
May 2024;1 157 060;0,59;
June 2024;1 082 063;0,55;
July 2024;1 060 820;0,54;
August 2024;1 461 925;0,70;
September 2024;1 777 784;0,73;
October 2024;1 873 971;0,74;
November 2024;2 029 446;0,77;
