Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Saint Petersburg, all devices
December 2017;3 594 596;0,77;
January 2018;3 426 378;0,71;
February 2018;3 607 871;0,70;
March 2018;3 302 675;0,70;
April 2018;3 254 565;0,71;
May 2018;2 849 702;0,65;
June 2018;2 705 505;0,63;
July 2018;2 821 046;0,65;
August 2018;3 336 919;0,67;
September 2018;4 036 798;0,70;
October 2018;3 608 527;0,69;
November 2018;3 561 820;0,69;
December 2018;3 812 470;0,74;
January 2019;3 548 325;0,70;
February 2019;3 661 657;0,68;
March 2019;3 520 114;0,69;
April 2019;3 526 314;0,72;
May 2019;2 955 142;0,67;
June 2019;2 790 007;0,63;
July 2019;2 730 428;0,62;
August 2019;3 264 336;0,67;
September 2019;3 792 415;0,69;
October 2019;3 693 625;0,67;
November 2019;3 865 132;0,69;
December 2019;4 194 154;0,75;
January 2020;3 927 536;0,71;
February 2020;3 986 059;0,69;
March 2020;4 664 396;0,73;
April 2020;4 063 993;0,69;
May 2020;3 711 236;0,72;
June 2020;3 404 137;0,67;
July 2020;3 121 243;0,61;
August 2020;3 709 257;0,65;
September 2020;4 178 226;0,65;
October 2020;4 235 490;0,63;
November 2020;4 349 066;0,67;
December 2020;4 469 391;0,71;
January 2021;4 258 856;0,72;
February 2021;4 571 546;0,68;
March 2021;4 565 088;0,70;
April 2021;3 933 389;0,68;
May 2021;3 665 408;0,65;
June 2021;3 515 341;0,60;
July 2021;3 633 634;0,57;
August 2021;3 858 705;0,62;
September 2021;4 067 427;0,66;
October 2021;4 201 205;0,66;
November 2021;4 294 175;0,66;
December 2021;4 366 973;0,65;
January 2022;4 317 610;0,63;
February 2022;4 714 754;0,65;
March 2022;4 254 525;0,63;
April 2022;4 351 838;0,61;
May 2022;3 688 618;0,58;
June 2022;3 160 230;0,55;
July 2022;3 139 387;0,53;
August 2022;3 322 174;0,54;
September 2022;3 581 848;0,55;
October 2022;3 620 915;0,52;
November 2022;3 436 546;0,53;
December 2022;3 287 656;0,54;
January 2023;2 985 410;0,52;
February 2023;3 374 219;0,52;
March 2023;3 165 795;0,53;
April 2023;3 222 513;0,55;
May 2023;2 609 719;0,49;
June 2023;2 314 426;0,46;
July 2023;2 349 990;0,47;
August 2023;2 823 565;0,51;
September 2023;3 233 042;0,53;
October 2023;3 165 207;0,52;
November 2023;3 215 917;0,53;
December 2023;3 135 840;0,52;
January 2024;2 943 635;0,51;
February 2024;2 979 658;0,50;
March 2024;3 072 539;0,53;
April 2024;3 016 855;0,55;
May 2024;2 410 882;0,50;
June 2024;2 272 809;0,48;
July 2024;2 171 403;0,46;
August 2024;2 668 656;0,52;
September 2024;3 171 593;0,54;
October 2024;3 246 338;0,53;
November 2024;3 517 428;0,56;
