Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Republic of Karelia, all devices
December 2017;176 139;0,66;
January 2018;171 466;0,64;
February 2018;178 887;0,63;
March 2018;167 366;0,64;
April 2018;156 835;0,67;
May 2018;119 813;0,56;
June 2018;105 896;0,50;
July 2018;116 627;0,51;
August 2018;158 677;0,60;
September 2018;203 808;0,66;
October 2018;179 659;0,64;
November 2018;187 191;0,65;
December 2018;202 742;0,66;
January 2019;192 087;0,66;
February 2019;199 048;0,63;
March 2019;197 257;0,67;
April 2019;193 652;0,69;
May 2019;135 334;0,58;
June 2019;121 049;0,53;
July 2019;121 537;0,54;
August 2019;156 819;0,64;
September 2019;192 782;0,68;
October 2019;187 865;0,67;
November 2019;203 383;0,70;
December 2019;209 809;0,70;
January 2020;194 561;0,67;
February 2020;204 210;0,65;
March 2020;289 208;0,71;
April 2020;233 885;0,69;
May 2020;175 545;0,64;
June 2020;144 614;0,54;
July 2020;134 467;0,51;
August 2020;185 057;0,63;
September 2020;256 937;0,76;
October 2020;243 082;0,63;
November 2020;265 159;0,69;
December 2020;242 999;0,69;
January 2021;222 153;0,70;
February 2021;237 300;0,69;
March 2021;268 026;0,74;
April 2021;279 605;0,74;
May 2021;214 753;0,64;
June 2021;158 135;0,54;
July 2021;161 896;0,52;
August 2021;240 143;0,66;
September 2021;279 681;0,69;
October 2021;284 650;0,70;
November 2021;302 431;0,72;
December 2021;298 958;0,71;
January 2022;284 348;0,69;
February 2022;308 636;0,69;
March 2022;300 762;0,70;
April 2022;294 397;0,70;
May 2022;223 163;0,60;
June 2022;191 830;0,52;
July 2022;192 140;0,52;
August 2022;242 930;0,59;
September 2022;278 870;0,64;
October 2022;278 777;0,63;
November 2022;276 132;0,63;
December 2022;268 908;0,62;
January 2023;244 889;0,61;
February 2023;271 827;0,62;
March 2023;258 983;0,62;
April 2023;263 580;0,66;
May 2023;199 022;0,55;
June 2023;178 822;0,48;
July 2023;175 426;0,49;
August 2023;222 768;0,59;
September 2023;273 826;0,66;
October 2023;265 883;0,64;
November 2023;269 681;0,65;
December 2023;265 946;0,63;
January 2024;250 430;0,63;
February 2024;250 552;0,61;
March 2024;260 076;0,65;
April 2024;256 000;0,69;
May 2024;185 660;0,57;
June 2024;168 181;0,50;
July 2024;163 834;0,49;
August 2024;213 800;0,62;
September 2024;261 986;0,67;
October 2024;264 010;0,65;
November 2024;284 361;0,68;
