Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Republic of Adygea, all devices
December 2017;60 469;0,80;
January 2018;60 744;0,81;
February 2018;66 623;0,80;
March 2018;55 819;0,77;
April 2018;65 803;0,84;
May 2018;50 486;0,68;
June 2018;50 228;0,64;
July 2018;50 508;0,66;
August 2018;66 669;0,81;
September 2018;76 996;0,80;
October 2018;73 051;0,79;
November 2018;73 748;0,79;
December 2018;80 156;0,82;
January 2019;81 076;0,83;
February 2019;86 806;0,82;
March 2019;84 064;0,84;
April 2019;84 343;0,86;
May 2019;69 164;0,74;
June 2019;64 892;0,67;
July 2019;63 871;0,67;
August 2019;79 185;0,81;
September 2019;91 607;0,85;
October 2019;90 676;0,82;
November 2019;102 876;0,84;
December 2019;105 456;0,83;
January 2020;103 019;0,84;
February 2020;102 482;0,77;
March 2020;133 585;0,77;
April 2020;138 959;0,82;
May 2020;101 721;0,76;
June 2020;84 389;0,69;
July 2020;79 610;0,68;
August 2020;98 905;0,78;
September 2020;110 535;0,76;
October 2020;114 929;0,74;
November 2020;132 649;0,83;
December 2020;122 314;0,80;
January 2021;120 983;0,83;
February 2021;129 829;0,85;
March 2021;143 707;0,85;
April 2021;149 504;0,85;
May 2021;121 309;0,71;
June 2021;93 778;0,62;
July 2021;91 308;0,60;
August 2021;133 176;0,76;
September 2021;144 585;0,75;
October 2021;157 111;0,78;
November 2021;170 936;0,82;
December 2021;165 675;0,76;
January 2022;166 372;0,78;
February 2022;175 908;0,77;
March 2022;170 925;0,81;
April 2022;171 950;0,80;
May 2022;126 515;0,64;
June 2022;110 758;0,57;
July 2022;113 855;0,58;
August 2022;141 379;0,66;
September 2022;159 387;0,70;
October 2022;161 234;0,69;
November 2022;163 412;0,68;
December 2022;152 930;0,64;
January 2023;142 143;0,63;
February 2023;157 089;0,66;
March 2023;141 932;0,63;
April 2023;160 753;0,72;
May 2023;109 669;0,55;
June 2023;101 006;0,50;
July 2023;104 756;0,52;
August 2023;135 282;0,65;
September 2023;152 721;0,69;
October 2023;150 684;0,65;
November 2023;162 494;0,69;
December 2023;147 276;0,61;
January 2024;140 859;0,64;
February 2024;139 566;0,62;
March 2024;139 613;0,67;
April 2024;144 720;0,68;
May 2024;101 208;0,54;
June 2024;97 352;0,51;
July 2024;95 689;0,50;
August 2024;129 451;0,65;
September 2024;146 624;0,67;
October 2024;153 602;0,68;
November 2024;168 735;0,72;
