Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Khabarovsk Krai, all devices
December 2017;466 855;0,82;
January 2018;454 416;0,80;
February 2018;496 831;0,80;
March 2018;431 229;0,77;
April 2018;436 931;0,79;
May 2018;356 849;0,67;
June 2018;307 210;0,61;
July 2018;314 816;0,60;
August 2018;395 204;0,68;
September 2018;506 526;0,75;
October 2018;464 525;0,76;
November 2018;434 890;0,74;
December 2018;420 597;0,78;
January 2019;406 664;0,81;
February 2019;411 334;0,79;
March 2019;394 026;0,79;
April 2019;371 611;0,79;
May 2019;298 610;0,71;
June 2019;257 598;0,66;
July 2019;239 824;0,62;
August 2019;321 079;0,73;
September 2019;407 921;0,79;
October 2019;414 110;0,78;
November 2019;428 942;0,79;
December 2019;467 982;0,84;
January 2020;441 645;0,83;
February 2020;453 751;0,79;
March 2020;566 313;0,76;
April 2020;509 235;0,80;
May 2020;421 535;0,76;
June 2020;324 032;0,64;
July 2020;301 710;0,61;
August 2020;384 282;0,72;
September 2020;466 228;0,75;
October 2020;509 012;0,76;
November 2020;512 137;0,80;
December 2020;535 272;0,85;
January 2021;532 627;0,90;
February 2021;524 646;0,82;
March 2021;535 853;0,83;
April 2021;499 600;0,81;
May 2021;438 337;0,75;
June 2021;360 761;0,64;
July 2021;339 153;0,62;
August 2021;479 417;0,81;
September 2021;494 731;0,77;
October 2021;525 857;0,79;
November 2021;556 308;0,80;
December 2021;559 809;0,81;
January 2022;535 701;0,80;
February 2022;592 477;0,80;
March 2022;569 441;0,79;
April 2022;565 971;0,80;
May 2022;453 419;0,70;
June 2022;376 839;0,61;
July 2022;360 548;0,59;
August 2022;450 184;0,65;
September 2022;524 413;0,70;
October 2022;576 116;0,72;
November 2022;515 325;0,67;
December 2022;503 493;0,65;
January 2023;473 182;0,66;
February 2023;543 056;0,70;
March 2023;501 584;0,67;
April 2023;518 925;0,73;
May 2023;399 861;0,63;
June 2023;357 544;0,59;
July 2023;337 717;0,56;
August 2023;417 695;0,64;
September 2023;499 826;0,69;
October 2023;495 213;0,68;
November 2023;493 297;0,67;
December 2023;489 067;0,66;
January 2024;488 424;0,70;
February 2024;470 281;0,66;
March 2024;471 353;0,70;
April 2024;464 242;0,71;
May 2024;358 264;0,61;
June 2024;313 865;0,55;
July 2024;311 661;0,56;
August 2024;379 104;0,64;
September 2024;477 809;0,69;
October 2024;484 618;0,69;
November 2024;523 106;0,70;
