Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Magadan District, all devices
December 2017;22 922;0,68;
January 2018;22 795;0,69;
February 2018;25 535;0,67;
March 2018;24 967;0,70;
April 2018;24 405;0,67;
May 2018;17 426;0,56;
June 2018;16 337;0,55;
July 2018;16 216;0,55;
August 2018;22 445;0,65;
September 2018;31 129;0,74;
October 2018;28 133;0,67;
November 2018;26 797;0,67;
December 2018;27 575;0,67;
January 2019;28 544;0,70;
February 2019;30 190;0,70;
March 2019;30 001;0,73;
April 2019;26 239;0,71;
May 2019;20 072;0,62;
June 2019;17 828;0,59;
July 2019;17 128;0,59;
August 2019;24 038;0,69;
September 2019;32 760;0,74;
October 2019;31 336;0,70;
November 2019;33 703;0,71;
December 2019;34 993;0,72;
January 2020;33 630;0,72;
February 2020;36 035;0,69;
March 2020;47 354;0,72;
April 2020;41 458;0,70;
May 2020;30 828;0,64;
June 2020;25 855;0,60;
July 2020;25 188;0,60;
August 2020;32 103;0,68;
September 2020;42 053;0,72;
October 2020;43 396;0,70;
November 2020;43 677;0,74;
December 2020;44 547;0,75;
January 2021;45 660;0,83;
February 2021;48 021;0,80;
March 2021;48 528;0,79;
April 2021;46 546;0,78;
May 2021;38 708;0,72;
June 2021;30 361;0,62;
July 2021;31 044;0,64;
August 2021;39 907;0,72;
September 2021;49 040;0,76;
October 2021;49 416;0,75;
November 2021;50 909;0,76;
December 2021;50 856;0,76;
January 2022;50 424;0,77;
February 2022;55 011;0,76;
March 2022;52 140;0,73;
April 2022;52 033;0,72;
May 2022;39 905;0,63;
June 2022;34 276;0,58;
July 2022;35 669;0,59;
August 2022;44 331;0,65;
September 2022;52 060;0,70;
October 2022;57 406;0,71;
November 2022;51 582;0,68;
December 2022;49 078;0,65;
January 2023;47 829;0,68;
February 2023;53 028;0,69;
March 2023;48 513;0,66;
April 2023;50 834;0,71;
May 2023;37 432;0,62;
June 2023;32 767;0,56;
July 2023;32 747;0,57;
August 2023;42 609;0,66;
September 2023;52 527;0,74;
October 2023;49 884;0,71;
November 2023;49 129;0,70;
December 2023;48 732;0,70;
January 2024;49 521;0,73;
February 2024;47 251;0,67;
March 2024;49 962;0,74;
April 2024;45 635;0,72;
May 2024;35 254;0,63;
June 2024;31 078;0,60;
July 2024;30 092;0,58;
August 2024;38 936;0,68;
September 2024;50 038;0,75;
October 2024;51 147;0,74;
November 2024;55 055;0,78;
