Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Kursk Oblast, all devices
December 2017;365 445;0,77;
January 2018;361 067;0,76;
February 2018;385 226;0,75;
March 2018;357 365;0,80;
April 2018;360 435;0,81;
May 2018;274 905;0,66;
June 2018;263 472;0,62;
July 2018;257 710;0,63;
August 2018;363 105;0,75;
September 2018;446 507;0,79;
October 2018;390 991;0,77;
November 2018;389 409;0,77;
December 2018;410 273;0,78;
January 2019;413 244;0,82;
February 2019;414 038;0,78;
March 2019;388 999;0,80;
April 2019;376 403;0,80;
May 2019;290 200;0,69;
June 2019;279 498;0,65;
July 2019;266 604;0,63;
August 2019;356 121;0,77;
September 2019;422 829;0,81;
October 2019;409 152;0,77;
November 2019;442 518;0,78;
December 2019;466 476;0,81;
January 2020;447 717;0,81;
February 2020;451 729;0,76;
March 2020;560 749;0,75;
April 2020;581 368;0,81;
May 2020;412 215;0,75;
June 2020;352 752;0,68;
July 2020;324 386;0,64;
August 2020;433 696;0,76;
September 2020;499 916;0,75;
October 2020;570 709;0,73;
November 2020;620 980;0,82;
December 2020;545 226;0,81;
January 2021;556 805;0,85;
February 2021;605 547;0,83;
March 2021;630 557;0,86;
April 2021;613 403;0,85;
May 2021;483 382;0,72;
June 2021;399 732;0,64;
July 2021;412 468;0,65;
August 2021;544 052;0,75;
September 2021;580 241;0,74;
October 2021;667 486;0,77;
November 2021;659 814;0,79;
December 2021;643 653;0,77;
January 2022;647 504;0,75;
February 2022;672 726;0,75;
March 2022;639 197;0,75;
April 2022;654 760;0,80;
May 2022;477 505;0,66;
June 2022;415 804;0,59;
July 2022;410 284;0,58;
August 2022;530 380;0,65;
September 2022;609 351;0,69;
October 2022;602 973;0,69;
November 2022;593 344;0,68;
December 2022;583 159;0,67;
January 2023;544 503;0,67;
February 2023;604 632;0,68;
March 2023;545 123;0,66;
April 2023;572 891;0,72;
May 2023;401 612;0,55;
June 2023;348 717;0,49;
July 2023;357 935;0,52;
August 2023;483 814;0,65;
September 2023;588 100;0,70;
October 2023;556 794;0,67;
November 2023;588 993;0,70;
December 2023;549 226;0,65;
January 2024;537 101;0,67;
February 2024;510 643;0,63;
March 2024;520 567;0,69;
April 2024;528 890;0,72;
May 2024;374 295;0,58;
June 2024;337 451;0,53;
July 2024;304 718;0,50;
August 2024;495 190;0,66;
September 2024;577 295;0,71;
October 2024;576 136;0,69;
November 2024;636 754;0,73;
