Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Perm Krai, all devices
December 2017;866 207;0,79;
January 2018;839 157;0,75;
February 2018;886 093;0,74;
March 2018;821 289;0,75;
April 2018;815 729;0,75;
May 2018;638 209;0,65;
June 2018;567 155;0,62;
July 2018;595 707;0,62;
August 2018;773 884;0,70;
September 2018;978 976;0,75;
October 2018;843 061;0,73;
November 2018;810 053;0,71;
December 2018;880 347;0,76;
January 2019;849 730;0,73;
February 2019;863 440;0,73;
March 2019;863 384;0,76;
April 2019;782 168;0,76;
May 2019;649 046;0,68;
June 2019;592 107;0,63;
July 2019;581 374;0,59;
August 2019;727 330;0,71;
September 2019;891 884;0,75;
October 2019;843 346;0,71;
November 2019;884 779;0,73;
December 2019;942 045;0,77;
January 2020;874 218;0,73;
February 2020;935 198;0,72;
March 2020;1 302 612;0,75;
April 2020;1 023 247;0,73;
May 2020;880 502;0,72;
June 2020;698 341;0,64;
July 2020;684 760;0,62;
August 2020;852 296;0,69;
September 2020;1 006 892;0,71;
October 2020;1 098 147;0,71;
November 2020;1 153 357;0,75;
December 2020;1 085 147;0,79;
January 2021;1 109 961;0,81;
February 2021;1 140 171;0,78;
March 2021;1 217 037;0,81;
April 2021;1 140 291;0,78;
May 2021;955 475;0,69;
June 2021;742 087;0,58;
July 2021;733 470;0,59;
August 2021;1 040 294;0,69;
September 2021;1 189 269;0,72;
October 2021;1 260 755;0,75;
November 2021;1 328 590;0,76;
December 2021;1 299 212;0,76;
January 2022;1 266 160;0,73;
February 2022;1 382 155;0,74;
March 2022;1 334 367;0,75;
April 2022;1 269 667;0,74;
May 2022;982 833;0,63;
June 2022;806 272;0,56;
July 2022;831 720;0,57;
August 2022;1 030 382;0,62;
September 2022;1 192 146;0,66;
October 2022;1 187 115;0,65;
November 2022;1 202 812;0,65;
December 2022;1 126 533;0,62;
January 2023;1 082 069;0,64;
February 2023;1 194 154;0,65;
March 2023;1 107 446;0,64;
April 2023;1 121 997;0,68;
May 2023;855 116;0,56;
June 2023;713 402;0,50;
July 2023;735 242;0,51;
August 2023;943 832;0,60;
September 2023;1 181 181;0,67;
October 2023;1 105 949;0,64;
November 2023;1 165 823;0,65;
December 2023;1 091 651;0,63;
January 2024;1 095 009;0,66;
February 2024;1 082 010;0,64;
March 2024;1 085 680;0,67;
April 2024;1 073 901;0,68;
May 2024;748 079;0,56;
June 2024;691 817;0,52;
July 2024;664 141;0,50;
August 2024;898 750;0,62;
September 2024;1 148 570;0,69;
October 2024;1 132 920;0,67;
November 2024;1 245 008;0,70;
