Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Udmurt Republic, all devices
December 2017;527 641;0,88;
January 2018;497 772;0,85;
February 2018;526 865;0,84;
March 2018;497 312;0,84;
April 2018;503 535;0,87;
May 2018;388 056;0,73;
June 2018;355 183;0,69;
July 2018;357 578;0,69;
August 2018;490 560;0,79;
September 2018;603 505;0,84;
October 2018;534 315;0,83;
November 2018;525 958;0,82;
December 2018;559 250;0,88;
January 2019;520 666;0,84;
February 2019;534 987;0,82;
March 2019;536 601;0,85;
April 2019;517 887;0,89;
May 2019;401 956;0,75;
June 2019;375 030;0,70;
July 2019;373 648;0,68;
August 2019;484 971;0,81;
September 2019;586 812;0,85;
October 2019;561 989;0,83;
November 2019;594 584;0,85;
December 2019;654 841;0,90;
January 2020;602 873;0,87;
February 2020;631 275;0,84;
March 2020;850 003;0,84;
April 2020;728 247;0,88;
May 2020;570 827;0,83;
June 2020;430 450;0,69;
July 2020;419 447;0,67;
August 2020;567 621;0,77;
September 2020;654 193;0,78;
October 2020;699 886;0,81;
November 2020;734 277;0,85;
December 2020;745 619;0,90;
January 2021;743 424;0,90;
February 2021;775 911;0,89;
March 2021;807 135;0,89;
April 2021;762 224;0,91;
May 2021;614 778;0,77;
June 2021;515 571;0,67;
July 2021;525 540;0,67;
August 2021;687 106;0,78;
September 2021;785 350;0,83;
October 2021;811 234;0,84;
November 2021;853 171;0,84;
December 2021;861 025;0,85;
January 2022;805 306;0,81;
February 2022;876 480;0,82;
March 2022;847 884;0,83;
April 2022;836 025;0,85;
May 2022;604 316;0,69;
June 2022;508 987;0,62;
July 2022;522 358;0,63;
August 2022;648 521;0,69;
September 2022;737 039;0,73;
October 2022;729 757;0,72;
November 2022;756 442;0,73;
December 2022;727 542;0,71;
January 2023;670 845;0,71;
February 2023;737 617;0,71;
March 2023;682 532;0,71;
April 2023;716 690;0,77;
May 2023;517 146;0,61;
June 2023;454 919;0,55;
July 2023;481 887;0,59;
August 2023;613 574;0,68;
September 2023;724 280;0,73;
October 2023;700 473;0,71;
November 2023;728 438;0,71;
December 2023;691 824;0,70;
January 2024;646 676;0,70;
February 2024;646 341;0,68;
March 2024;656 432;0,72;
April 2024;684 457;0,76;
May 2024;468 238;0,62;
June 2024;429 858;0,57;
July 2024;413 302;0,55;
August 2024;555 951;0,69;
September 2024;680 492;0,71;
October 2024;709 671;0,72;
November 2024;764 972;0,74;
