Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Chelyabinsk Oblast, all devices
December 2017;1 132 324;0,73;
January 2018;1 116 993;0,73;
February 2018;1 165 801;0,71;
March 2018;1 076 441;0,71;
April 2018;1 119 869;0,75;
May 2018;855 578;0,63;
June 2018;759 554;0,59;
July 2018;813 303;0,59;
August 2018;1 050 112;0,68;
September 2018;1 311 567;0,73;
October 2018;1 165 257;0,71;
November 2018;1 103 124;0,67;
December 2018;1 174 196;0,71;
January 2019;1 174 116;0,71;
February 2019;1 206 195;0,72;
March 2019;1 221 431;0,76;
April 2019;1 125 245;0,76;
May 2019;900 659;0,67;
June 2019;790 490;0,61;
July 2019;806 017;0,59;
August 2019;1 054 313;0,69;
September 2019;1 292 654;0,74;
October 2019;1 276 941;0,71;
November 2019;1 358 249;0,74;
December 2019;1 413 257;0,76;
January 2020;1 307 148;0,72;
February 2020;1 365 437;0,71;
March 2020;1 732 593;0,72;
April 2020;1 570 890;0,77;
May 2020;1 241 253;0,71;
June 2020;983 146;0,62;
July 2020;954 544;0,60;
August 2020;1 263 736;0,69;
September 2020;1 466 603;0,70;
October 2020;1 547 596;0,71;
November 2020;1 703 572;0,76;
December 2020;1 759 226;0,78;
January 2021;1 817 377;0,81;
February 2021;1 989 695;0,80;
March 2021;1 875 995;0,82;
April 2021;1 565 555;0,79;
May 2021;1 337 656;0,69;
June 2021;1 113 560;0,59;
July 2021;1 079 847;0,58;
August 2021;1 417 647;0,68;
September 2021;1 622 920;0,71;
October 2021;1 741 358;0,72;
November 2021;1 799 199;0,75;
December 2021;1 782 067;0,75;
January 2022;1 727 589;0,73;
February 2022;1 872 942;0,72;
March 2022;1 774 530;0,73;
April 2022;1 695 715;0,73;
May 2022;1 316 749;0,63;
June 2022;1 108 159;0,56;
July 2022;1 139 552;0,56;
August 2022;1 395 347;0,62;
September 2022;1 578 280;0,64;
October 2022;1 609 697;0,64;
November 2022;1 596 319;0,62;
December 2022;1 538 028;0,61;
January 2023;1 441 429;0,61;
February 2023;1 586 374;0,63;
March 2023;1 458 966;0,62;
April 2023;1 494 506;0,66;
May 2023;1 140 897;0,55;
June 2023;1 000 529;0,50;
July 2023;1 034 867;0,50;
August 2023;1 327 043;0,58;
September 2023;1 598 083;0,64;
October 2023;1 557 105;0,64;
November 2023;1 549 199;0,61;
December 2023;1 523 654;0,61;
January 2024;1 450 928;0,61;
February 2024;1 423 506;0,59;
March 2024;1 406 338;0,63;
April 2024;1 413 169;0,65;
May 2024;1 023 125;0,55;
June 2024;941 746;0,51;
July 2024;918 328;0,49;
August 2024;1 193 687;0,60;
September 2024;1 487 114;0,64;
October 2024;1 507 060;0,64;
November 2024;1 598 687;0,66;
