Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Altai Krai, all devices
December 2017;668 866;0,79;
January 2018;679 687;0,83;
February 2018;696 187;0,79;
March 2018;625 229;0,79;
April 2018;681 478;0,82;
May 2018;443 664;0,63;
June 2018;410 203;0,58;
July 2018;437 884;0,60;
August 2018;589 177;0,72;
September 2018;797 523;0,83;
October 2018;744 722;0,83;
November 2018;683 244;0,76;
December 2018;724 699;0,81;
January 2019;730 666;0,83;
February 2019;734 490;0,81;
March 2019;704 178;0,80;
April 2019;671 114;0,82;
May 2019;481 378;0,65;
June 2019;427 821;0,60;
July 2019;431 904;0,60;
August 2019;580 167;0,74;
September 2019;779 910;0,86;
October 2019;791 260;0,85;
November 2019;831 517;0,84;
December 2019;843 654;0,83;
January 2020;839 529;0,86;
February 2020;873 502;0,81;
March 2020;1 033 484;0,82;
April 2020;1 041 512;0,91;
May 2020;671 962;0,69;
June 2020;550 638;0,61;
July 2020;533 871;0,59;
August 2020;775 016;0,74;
September 2020;978 439;0,80;
October 2020;998 916;0,80;
November 2020;1 074 321;0,88;
December 2020;1 061 687;0,91;
January 2021;1 064 846;0,95;
February 2021;1 083 412;0,89;
March 2021;1 077 886;0,90;
April 2021;982 376;0,88;
May 2021;758 715;0,68;
June 2021;605 590;0,57;
July 2021;630 895;0,58;
August 2021;872 371;0,76;
September 2021;1 126 654;0,88;
October 2021;1 111 597;0,85;
November 2021;1 155 478;0,85;
December 2021;1 097 589;0,82;
January 2022;1 076 979;0,81;
February 2022;1 192 968;0,82;
March 2022;1 065 072;0,80;
April 2022;1 044 718;0,82;
May 2022;738 913;0,62;
June 2022;611 174;0,53;
July 2022;620 678;0,54;
August 2022;829 161;0,65;
September 2022;1 077 397;0,76;
October 2022;1 103 198;0,74;
November 2022;1 034 727;0,70;
December 2022;987 784;0,67;
January 2023;922 014;0,68;
February 2023;1 007 395;0,68;
March 2023;939 959;0,67;
April 2023;955 644;0,72;
May 2023;630 765;0,54;
June 2023;540 298;0,47;
July 2023;574 395;0,49;
August 2023;781 439;0,63;
September 2023;1 005 254;0,73;
October 2023;976 993;0,71;
November 2023;991 973;0,70;
December 2023;933 175;0,67;
January 2024;890 919;0,67;
February 2024;874 967;0,65;
March 2024;876 628;0,70;
April 2024;867 714;0,71;
May 2024;564 353;0,53;
June 2024;517 779;0,50;
July 2024;499 828;0,48;
August 2024;714 127;0,63;
September 2024;943 990;0,73;
October 2024;969 999;0,73;
November 2024;1 016 829;0,74;
