Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Yaroslavl Oblast, all devices
December 2017;483 608;0,80;
January 2018;462 508;0,77;
February 2018;505 515;0,76;
March 2018;448 722;0,75;
April 2018;450 334;0,78;
May 2018;365 479;0,67;
June 2018;346 747;0,63;
July 2018;350 585;0,63;
August 2018;463 024;0,71;
September 2018;578 686;0,78;
October 2018;490 722;0,73;
November 2018;499 048;0,75;
December 2018;526 780;0,76;
January 2019;504 375;0,76;
February 2019;525 142;0,74;
March 2019;503 777;0,77;
April 2019;504 775;0,78;
May 2019;401 527;0,67;
June 2019;381 713;0,62;
July 2019;376 001;0,61;
August 2019;470 524;0,72;
September 2019;565 727;0,77;
October 2019;529 941;0,73;
November 2019;571 170;0,77;
December 2019;593 611;0,79;
January 2020;554 447;0,77;
February 2020;571 134;0,73;
March 2020;765 527;0,76;
April 2020;684 663;0,76;
May 2020;516 849;0,72;
June 2020;450 996;0,64;
July 2020;415 288;0,61;
August 2020;516 958;0,70;
September 2020;617 858;0,73;
October 2020;598 163;0,69;
November 2020;630 586;0,75;
December 2020;626 629;0,76;
January 2021;639 689;0,79;
February 2021;697 486;0,78;
March 2021;722 985;0,79;
April 2021;696 313;0,77;
May 2021;576 938;0,68;
June 2021;474 979;0,60;
July 2021;496 374;0,60;
August 2021;621 846;0,68;
September 2021;711 855;0,72;
October 2021;733 007;0,72;
November 2021;784 194;0,76;
December 2021;756 830;0,73;
January 2022;714 065;0,71;
February 2022;807 719;0,72;
March 2022;763 704;0,72;
April 2022;765 118;0,73;
May 2022;580 264;0,62;
June 2022;499 174;0,55;
July 2022;502 591;0,55;
August 2022;611 306;0,60;
September 2022;681 914;0,63;
October 2022;678 782;0,62;
November 2022;689 826;0,64;
December 2022;656 865;0,61;
January 2023;598 223;0,60;
February 2023;682 905;0,62;
March 2023;608 336;0,61;
April 2023;654 598;0,66;
May 2023;498 258;0,54;
June 2023;435 071;0,48;
July 2023;439 109;0,50;
August 2023;542 904;0,58;
September 2023;666 920;0,64;
October 2023;636 030;0,62;
November 2023;657 518;0,64;
December 2023;640 590;0,61;
January 2024;601 161;0,61;
February 2024;599 188;0,58;
March 2024;607 847;0,63;
April 2024;583 246;0,64;
May 2024;450 479;0,55;
June 2024;402 532;0,50;
July 2024;388 510;0,48;
August 2024;508 270;0,60;
September 2024;623 756;0,64;
October 2024;641 006;0,64;
November 2024;701 583;0,67;
