Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Kemerovo Oblast, all devices
December 2017;728 104;0,70;
January 2018;728 208;0,73;
February 2018;745 916;0,70;
March 2018;739 278;0,73;
April 2018;777 782;0,74;
May 2018;524 515;0,62;
June 2018;493 981;0,56;
July 2018;515 259;0,58;
August 2018;688 029;0,68;
September 2018;884 229;0,75;
October 2018;756 634;0,69;
November 2018;736 356;0,67;
December 2018;780 650;0,70;
January 2019;781 441;0,71;
February 2019;816 764;0,73;
March 2019;813 407;0,75;
April 2019;773 360;0,76;
May 2019;595 731;0,65;
June 2019;527 578;0,60;
July 2019;529 153;0,59;
August 2019;707 260;0,72;
September 2019;875 257;0,78;
October 2019;840 463;0,74;
November 2019;917 540;0,76;
December 2019;972 870;0,78;
January 2020;952 024;0,79;
February 2020;1 000 873;0,74;
March 2020;1 236 526;0,75;
April 2020;1 211 597;0,80;
May 2020;898 033;0,74;
June 2020;711 054;0,65;
July 2020;694 942;0,64;
August 2020;931 680;0,74;
September 2020;1 148 269;0,76;
October 2020;1 248 045;0,74;
November 2020;1 166 899;0,79;
December 2020;1 123 785;0,79;
January 2021;1 135 390;0,85;
February 2021;1 187 504;0,83;
March 2021;1 202 638;0,83;
April 2021;1 109 439;0,81;
May 2021;921 281;0,71;
June 2021;734 510;0,61;
July 2021;755 945;0,61;
August 2021;1 008 878;0,74;
September 2021;1 185 764;0,78;
October 2021;1 158 821;0,76;
November 2021;1 247 962;0,78;
December 2021;1 197 945;0,75;
January 2022;1 204 256;0,75;
February 2022;1 288 444;0,76;
March 2022;1 206 220;0,75;
April 2022;1 146 761;0,75;
May 2022;907 861;0,65;
June 2022;759 239;0,57;
July 2022;771 197;0,57;
August 2022;974 289;0,64;
September 2022;1 149 357;0,68;
October 2022;1 164 701;0,67;
November 2022;1 141 507;0,65;
December 2022;1 064 228;0,62;
January 2023;1 012 897;0,63;
February 2023;1 171 005;0,67;
March 2023;1 085 950;0,65;
April 2023;1 096 266;0,69;
May 2023;790 682;0,58;
June 2023;686 034;0,51;
July 2023;713 281;0,53;
August 2023;909 328;0,62;
September 2023;1 126 375;0,69;
October 2023;1 073 661;0,67;
November 2023;1 108 788;0,65;
December 2023;1 043 532;0,63;
January 2024;1 010 333;0,64;
February 2024;1 011 433;0,64;
March 2024;1 018 067;0,67;
April 2024;979 499;0,68;
May 2024;711 828;0,58;
June 2024;642 017;0,54;
July 2024;627 157;0,52;
August 2024;838 149;0,63;
September 2024;1 077 906;0,69;
October 2024;1 066 842;0,69;
November 2024;1 150 456;0,70;
