Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, The Kabardino-Balkar Republic, all devices
December 2017;88 552;0,66;
January 2018;98 317;0,66;
February 2018;105 418;0,61;
March 2018;95 555;0,64;
April 2018;105 719;0,69;
May 2018;75 856;0,52;
June 2018;69 059;0,45;
July 2018;68 178;0,45;
August 2018;97 699;0,62;
September 2018;125 080;0,69;
October 2018;115 432;0,67;
November 2018;124 128;0,70;
December 2018;115 996;0,63;
January 2019;117 222;0,66;
February 2019;117 259;0,63;
March 2019;116 735;0,66;
April 2019;118 208;0,70;
May 2019;85 904;0,56;
June 2019;77 844;0,49;
July 2019;72 856;0,47;
August 2019;102 654;0,64;
September 2019;132 332;0,74;
October 2019;136 634;0,73;
November 2019;148 725;0,74;
December 2019;143 333;0,68;
January 2020;135 004;0,67;
February 2020;129 961;0,59;
March 2020;231 374;0,75;
April 2020;147 949;0,61;
May 2020;131 629;0,63;
June 2020;105 607;0,55;
July 2020;96 777;0,52;
August 2020;131 885;0,66;
September 2020;148 423;0,65;
October 2020;167 682;0,63;
November 2020;192 939;0,75;
December 2020;159 848;0,69;
January 2021;162 517;0,75;
February 2021;167 543;0,72;
March 2021;178 793;0,76;
April 2021;174 041;0,73;
May 2021;141 901;0,61;
June 2021;108 395;0,50;
July 2021;108 072;0,50;
August 2021;170 977;0,71;
September 2021;193 166;0,71;
October 2021;206 518;0,73;
November 2021;250 676;0,85;
December 2021;196 933;0,66;
January 2022;184 607;0,65;
February 2022;231 719;0,72;
March 2022;219 582;0,74;
April 2022;226 086;0,75;
May 2022;148 656;0,55;
June 2022;122 485;0,46;
July 2022;122 502;0,47;
August 2022;177 401;0,62;
September 2022;215 929;0,68;
October 2022;212 017;0,66;
November 2022;217 847;0,68;
December 2022;192 418;0,59;
January 2023;178 351;0,60;
February 2023;194 924;0,59;
March 2023;183 548;0,59;
April 2023;207 652;0,69;
May 2023;127 746;0,48;
June 2023;110 632;0,42;
July 2023;111 846;0,43;
August 2023;172 859;0,63;
September 2023;208 936;0,68;
October 2023;203 586;0,65;
November 2023;231 245;0,72;
December 2023;190 654;0,59;
January 2024;197 432;0,65;
February 2024;186 814;0,61;
March 2024;181 072;0,66;
April 2024;198 258;0,70;
May 2024;129 732;0,53;
June 2024;114 252;0,46;
July 2024;106 497;0,43;
August 2024;163 341;0,64;
September 2024;199 978;0,70;
October 2024;205 274;0,68;
November 2024;243 904;0,77;
