Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Mari El Republic, all devices
December 2017;168 507;0,83;
January 2018;157 287;0,80;
February 2018;164 700;0,77;
March 2018;152 303;0,77;
April 2018;153 919;0,81;
May 2018;116 852;0,65;
June 2018;96 441;0,56;
July 2018;97 818;0,56;
August 2018;146 386;0,73;
September 2018;191 129;0,81;
October 2018;166 180;0,77;
November 2018;173 477;0,78;
December 2018;174 868;0,79;
January 2019;169 540;0,81;
February 2019;176 679;0,78;
March 2019;168 708;0,80;
April 2019;165 648;0,85;
May 2019;120 514;0,67;
June 2019;104 858;0,59;
July 2019;104 280;0,58;
August 2019;144 909;0,76;
September 2019;187 866;0,82;
October 2019;180 551;0,79;
November 2019;197 408;0,80;
December 2019;217 802;0,84;
January 2020;199 327;0,80;
February 2020;209 771;0,78;
March 2020;282 610;0,77;
April 2020;247 722;0,80;
May 2020;188 524;0,73;
June 2020;135 800;0,60;
July 2020;129 270;0,57;
August 2020;193 124;0,74;
September 2020;239 184;0,78;
October 2020;259 381;0,75;
November 2020;259 164;0,79;
December 2020;239 168;0,79;
January 2021;240 146;0,83;
February 2021;257 450;0,83;
March 2021;259 594;0,82;
April 2021;246 311;0,83;
May 2021;197 350;0,71;
June 2021;152 624;0,59;
July 2021;158 327;0,58;
August 2021;227 293;0,75;
September 2021;269 299;0,81;
October 2021;277 836;0,81;
November 2021;293 037;0,83;
December 2021;284 113;0,80;
January 2022;273 643;0,79;
February 2022;305 987;0,80;
March 2022;287 037;0,79;
April 2022;286 670;0,81;
May 2022;203 586;0,65;
June 2022;168 881;0,56;
July 2022;172 134;0,58;
August 2022;224 517;0,65;
September 2022;260 982;0,70;
October 2022;264 252;0,70;
November 2022;268 485;0,70;
December 2022;256 836;0,67;
January 2023;238 184;0,68;
February 2023;266 855;0,69;
March 2023;237 124;0,67;
April 2023;259 029;0,74;
May 2023;177 698;0,57;
June 2023;148 908;0,49;
July 2023;153 087;0,51;
August 2023;208 263;0,64;
September 2023;260 155;0,71;
October 2023;253 816;0,69;
November 2023;254 817;0,68;
December 2023;243 294;0,66;
January 2024;227 070;0,66;
February 2024;232 485;0,65;
March 2024;231 364;0,69;
April 2024;236 627;0,72;
May 2024;160 863;0,58;
June 2024;140 861;0,51;
July 2024;135 096;0,49;
August 2024;192 335;0,65;
September 2024;242 834;0,70;
October 2024;251 956;0,70;
November 2024;275 148;0,73;
