Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Tomsk District, all devices
December 2017;245 082;0,60;
January 2018;252 968;0,64;
February 2018;258 488;0,61;
March 2018;254 453;0,64;
April 2018;269 287;0,64;
May 2018;194 308;0,57;
June 2018;160 687;0,48;
July 2018;169 447;0,49;
August 2018;236 836;0,58;
September 2018;307 989;0,65;
October 2018;271 779;0,63;
November 2018;264 553;0,60;
December 2018;263 896;0,62;
January 2019;256 755;0,60;
February 2019;266 089;0,61;
March 2019;284 411;0,65;
April 2019;271 001;0,66;
May 2019;199 565;0,55;
June 2019;160 409;0,49;
July 2019;156 791;0,48;
August 2019;212 720;0,57;
September 2019;271 088;0,63;
October 2019;269 490;0,62;
November 2019;295 454;0,64;
December 2019;296 329;0,63;
January 2020;282 400;0,63;
February 2020;300 838;0,61;
March 2020;450 016;0,73;
April 2020;362 462;0,68;
May 2020;281 119;0,62;
June 2020;210 583;0,52;
July 2020;206 234;0,52;
August 2020;288 281;0,61;
September 2020;348 815;0,63;
October 2020;389 935;0,68;
November 2020;362 612;0,66;
December 2020;338 300;0,64;
January 2021;350 236;0,71;
February 2021;370 075;0,68;
March 2021;403 402;0,71;
April 2021;370 414;0,68;
May 2021;312 813;0,59;
June 2021;226 807;0,49;
July 2021;226 458;0,48;
August 2021;323 635;0,60;
September 2021;382 346;0,64;
October 2021;370 907;0,62;
November 2021;430 484;0,67;
December 2021;398 700;0,65;
January 2022;391 973;0,63;
February 2022;424 338;0,63;
March 2022;418 792;0,65;
April 2022;392 879;0,64;
May 2022;317 370;0,55;
June 2022;240 881;0,46;
July 2022;242 191;0,46;
August 2022;317 421;0,53;
September 2022;377 956;0,57;
October 2022;389 246;0,57;
November 2022;389 991;0,56;
December 2022;354 985;0,53;
January 2023;331 075;0,53;
February 2023;365 307;0,54;
March 2023;379 458;0,56;
April 2023;377 825;0,60;
May 2023;282 509;0,50;
June 2023;216 834;0,42;
July 2023;222 812;0,43;
August 2023;306 178;0,53;
September 2023;383 045;0,59;
October 2023;359 466;0,56;
November 2023;378 532;0,57;
December 2023;344 766;0,54;
January 2024;337 148;0,56;
February 2024;336 478;0,54;
March 2024;356 975;0,58;
April 2024;345 418;0,59;
May 2024;254 600;0,51;
June 2024;212 703;0,45;
July 2024;200 530;0,43;
August 2024;282 872;0,54;
September 2024;367 267;0,60;
October 2024;373 227;0,60;
November 2024;402 635;0,62;
