Period;Number of queries;Percentage of total queries, %;Frequency dynamics for «работа», by month, 31.12.2017 — 30.12.2024, Omsk Oblast, all devices
December 2017;651 355;0,84;
January 2018;629 096;0,84;
February 2018;643 699;0,81;
March 2018;592 614;0,81;
April 2018;643 722;0,85;
May 2018;455 422;0,70;
June 2018;415 245;0,66;
July 2018;443 346;0,65;
August 2018;554 976;0,74;
September 2018;709 751;0,81;
October 2018;635 515;0,79;
November 2018;616 672;0,75;
December 2018;655 110;0,80;
January 2019;632 807;0,76;
February 2019;657 005;0,78;
March 2019;637 680;0,80;
April 2019;614 559;0,82;
May 2019;491 907;0,70;
June 2019;423 834;0,66;
July 2019;424 599;0,62;
August 2019;564 052;0,74;
September 2019;709 970;0,80;
October 2019;686 015;0,76;
November 2019;717 618;0,78;
December 2019;729 469;0,79;
January 2020;695 873;0,78;
February 2020;739 195;0,76;
March 2020;950 945;0,78;
April 2020;865 500;0,80;
May 2020;682 704;0,75;
June 2020;530 404;0,64;
July 2020;496 197;0,61;
August 2020;673 360;0,72;
September 2020;819 215;0,75;
October 2020;833 140;0,74;
November 2020;856 735;0,77;
December 2020;843 183;0,81;
January 2021;866 334;0,85;
February 2021;894 932;0,81;
March 2021;894 074;0,83;
April 2021;823 194;0,81;
May 2021;710 702;0,70;
June 2021;578 489;0,60;
July 2021;563 295;0,59;
August 2021;749 407;0,71;
September 2021;862 096;0,76;
October 2021;891 141;0,76;
November 2021;939 654;0,76;
December 2021;913 402;0,75;
January 2022;944 903;0,76;
February 2022;997 068;0,76;
March 2022;946 792;0,79;
April 2022;919 821;0,79;
May 2022;706 025;0,65;
June 2022;580 181;0,57;
July 2022;563 130;0,56;
August 2022;720 395;0,63;
September 2022;825 463;0,66;
October 2022;848 444;0,66;
November 2022;829 132;0,63;
December 2022;770 764;0,61;
January 2023;729 476;0,62;
February 2023;833 390;0,64;
March 2023;774 665;0,64;
April 2023;794 180;0,69;
May 2023;577 974;0,55;
June 2023;498 131;0,50;
July 2023;508 261;0,49;
August 2023;655 879;0,60;
September 2023;799 044;0,66;
October 2023;780 350;0,64;
November 2023;783 936;0,63;
December 2023;751 703;0,61;
January 2024;722 455;0,62;
February 2024;751 579;0,61;
March 2024;749 173;0,67;
April 2024;740 515;0,68;
May 2024;505 285;0,54;
June 2024;458 403;0,51;
July 2024;435 051;0,48;
August 2024;608 470;0,62;
September 2024;757 995;0,67;
October 2024;773 014;0,67;
November 2024;824 723;0,68;
