Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Тульская область, все устройства
декабрь 2017;1 709;0,0025;
январь 2018;1 622;0,0024;
февраль 2018;1 357;0,0018;
март 2018;1 341;0,0020;
апрель 2018;1 210;0,0019;
май 2018;1 147;0,0019;
июнь 2018;1 232;0,0020;
июль 2018;1 121;0,0019;
август 2018;1 553;0,0022;
сентябрь 2018;1 696;0,0021;
октябрь 2018;1 558;0,0021;
ноябрь 2018;1 371;0,0019;
декабрь 2018;1 411;0,0018;
январь 2019;1 477;0,0020;
февраль 2019;1 431;0,0018;
март 2019;1 412;0,0019;
апрель 2019;1 266;0,0019;
май 2019;1 277;0,0021;
июнь 2019;1 088;0,0017;
июль 2019;1 096;0,0017;
август 2019;1 160;0,0017;
сентябрь 2019;1 614;0,0021;
октябрь 2019;1 201;0,0015;
ноябрь 2019;1 397;0,0018;
декабрь 2019;1 789;0,0022;
январь 2020;1 436;0,0018;
февраль 2020;1 247;0,0014;
март 2020;2 290;0,0021;
апрель 2020;1 855;0,0019;
май 2020;1 809;0,0023;
июнь 2020;1 416;0,0019;
июль 2020;1 272;0,0017;
август 2020;1 422;0,0018;
сентябрь 2020;1 538;0,0017;
октябрь 2020;1 948;0,0020;
ноябрь 2020;2 048;0,0022;
декабрь 2020;2 146;0,0024;
январь 2021;2 188;0,0025;
февраль 2021;2 201;0,0022;
март 2021;2 087;0,0021;
апрель 2021;1 755;0,0018;
май 2021;1 719;0,0018;
июнь 2021;1 473;0,0016;
июль 2021;1 636;0,0017;
август 2021;1 908;0,0019;
сентябрь 2021;1 893;0,0018;
октябрь 2021;2 108;0,0019;
ноябрь 2021;2 025;0,0018;
декабрь 2021;2 223;0,0020;
январь 2022;2 149;0,0020;
февраль 2022;2 542;0,0021;
март 2022;2 375;0,0020;
апрель 2022;1 982;0,0018;
май 2022;1 754;0,0017;
июнь 2022;1 776;0,0017;
июль 2022;2 060;0,0020;
август 2022;1 725;0,0015;
сентябрь 2022;1 755;0,0015;
октябрь 2022;2 727;0,0023;
ноябрь 2022;2 532;0,0021;
декабрь 2022;2 170;0,0018;
январь 2023;2 034;0,0019;
февраль 2023;2 174;0,0018;
март 2023;1 947;0,0018;
апрель 2023;1 827;0,0017;
май 2023;1 688;0,0017;
июнь 2023;1 748;0,0017;
июль 2023;1 798;0,0018;
август 2023;1 927;0,0019;
сентябрь 2023;2 065;0,0018;
октябрь 2023;2 041;0,0018;
ноябрь 2023;1 669;0,0015;
декабрь 2023;1 858;0,0016;
январь 2024;1 978;0,0018;
февраль 2024;1 748;0,0016;
март 2024;1 920;0,0018;
апрель 2024;1 982;0,0019;
май 2024;1 496;0,0016;
июнь 2024;1 578;0,0017;
июль 2024;1 376;0,0015;
август 2024;1 818;0,0019;
сентябрь 2024;2 288;0,0021;
октябрь 2024;2 468;0,0023;
ноябрь 2024;2 197;0,0019;
декабрь 2024;2 184;0,0019;
