Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Астраханская область, все устройства
декабрь 2017;744;0,0023;
январь 2018;663;0,0021;
февраль 2018;618;0,0019;
март 2018;561;0,0020;
апрель 2018;609;0,0021;
май 2018;478;0,0017;
июнь 2018;484;0,0018;
июль 2018;540;0,0020;
август 2018;541;0,0018;
сентябрь 2018;645;0,0018;
октябрь 2018;529;0,0016;
ноябрь 2018;596;0,0018;
декабрь 2018;655;0,0019;
январь 2019;695;0,0021;
февраль 2019;626;0,0018;
март 2019;541;0,0016;
апрель 2019;603;0,0019;
май 2019;521;0,0019;
июнь 2019;499;0,0018;
июль 2019;528;0,0019;
август 2019;574;0,0018;
сентябрь 2019;803;0,0023;
октябрь 2019;519;0,0015;
ноябрь 2019;738;0,0019;
декабрь 2019;922;0,0024;
январь 2020;871;0,0023;
февраль 2020;759;0,0019;
март 2020;1 251;0,0024;
апрель 2020;1 371;0,0029;
май 2020;979;0,0026;
июнь 2020;686;0,0020;
июль 2020;608;0,0018;
август 2020;680;0,0017;
сентябрь 2020;700;0,0015;
октябрь 2020;1 062;0,0023;
ноябрь 2020;1 406;0,0031;
декабрь 2020;1 596;0,0038;
январь 2021;1 246;0,0030;
февраль 2021;1 078;0,0024;
март 2021;1 013;0,0023;
апрель 2021;1 108;0,0025;
май 2021;1 099;0,0026;
июнь 2021;868;0,0022;
июль 2021;804;0,0021;
август 2021;951;0,0021;
сентябрь 2021;940;0,0019;
октябрь 2021;1 402;0,0028;
ноябрь 2021;1 307;0,0025;
декабрь 2021;1 320;0,0025;
январь 2022;1 231;0,0024;
февраль 2022;1 263;0,0023;
март 2022;1 067;0,0020;
апрель 2022;1 208;0,0023;
май 2022;1 132;0,0024;
июнь 2022;879;0,0020;
июль 2022;893;0,0020;
август 2022;921;0,0018;
сентябрь 2022;972;0,0017;
октябрь 2022;1 258;0,0022;
ноябрь 2022;1 209;0,0020;
декабрь 2022;975;0,0017;
январь 2023;897;0,0017;
февраль 2023;962;0,0017;
март 2023;987;0,0019;
апрель 2023;1 096;0,0020;
май 2023;1 005;0,0022;
июнь 2023;852;0,0019;
июль 2023;702;0,0016;
август 2023;606;0,0012;
сентябрь 2023;800;0,0015;
октябрь 2023;826;0,0015;
ноябрь 2023;793;0,0014;
декабрь 2023;1 028;0,0019;
январь 2024;1 024;0,0020;
февраль 2024;770;0,0015;
март 2024;732;0,0015;
апрель 2024;844;0,0018;
май 2024;686;0,0017;
июнь 2024;631;0,0016;
июль 2024;537;0,0013;
август 2024;651;0,0015;
сентябрь 2024;1 027;0,0021;
октябрь 2024;990;0,0020;
ноябрь 2024;868;0,0016;
декабрь 2024;886;0,0017;
