Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Оренбургская область, все устройства
декабрь 2017;2 386;0,0033;
январь 2018;2 153;0,0031;
февраль 2018;2 335;0,0031;
март 2018;1 865;0,0028;
апрель 2018;1 553;0,0024;
май 2018;1 378;0,0023;
июнь 2018;1 420;0,0024;
июль 2018;1 376;0,0023;
август 2018;1 674;0,0024;
сентябрь 2018;2 041;0,0025;
октябрь 2018;1 861;0,0025;
ноябрь 2018;1 552;0,0021;
декабрь 2018;1 960;0,0026;
январь 2019;2 059;0,0028;
февраль 2019;2 118;0,0027;
март 2019;1 858;0,0026;
апрель 2019;1 754;0,0026;
май 2019;1 340;0,0022;
июнь 2019;1 515;0,0025;
июль 2019;1 599;0,0026;
август 2019;1 646;0,0025;
сентябрь 2019;2 294;0,0030;
октябрь 2019;1 945;0,0025;
ноябрь 2019;1 799;0,0021;
декабрь 2019;2 333;0,0027;
январь 2020;2 311;0,0027;
февраль 2020;2 197;0,0024;
март 2020;3 458;0,0029;
апрель 2020;3 597;0,0033;
май 2020;3 113;0,0037;
июнь 2020;2 714;0,0035;
июль 2020;2 502;0,0032;
август 2020;2 883;0,0031;
сентябрь 2020;3 302;0,0031;
октябрь 2020;3 545;0,0028;
ноябрь 2020;2 777;0,0025;
декабрь 2020;3 559;0,0035;
январь 2021;3 356;0,0034;
февраль 2021;2 921;0,0028;
март 2021;2 984;0,0029;
апрель 2021;2 379;0,0024;
май 2021;3 100;0,0033;
июнь 2021;2 111;0,0024;
июль 2021;1 819;0,0020;
август 2021;2 232;0,0021;
сентябрь 2021;2 723;0,0022;
октябрь 2021;3 046;0,0025;
ноябрь 2021;2 974;0,0024;
декабрь 2021;3 162;0,0026;
январь 2022;3 000;0,0024;
февраль 2022;3 045;0,0023;
март 2022;2 840;0,0023;
апрель 2022;2 563;0,0021;
май 2022;2 485;0,0023;
июнь 2022;2 275;0,0022;
июль 2022;2 341;0,0023;
август 2022;2 182;0,0019;
сентябрь 2022;2 318;0,0018;
октябрь 2022;2 369;0,0018;
ноябрь 2022;2 324;0,0017;
декабрь 2022;2 274;0,0017;
январь 2023;1 940;0,0016;
февраль 2023;2 210;0,0017;
март 2023;2 024;0,0017;
апрель 2023;2 135;0,0018;
май 2023;1 681;0,0016;
июнь 2023;1 435;0,0014;
июль 2023;1 401;0,0014;
август 2023;1 661;0,0014;
сентябрь 2023;2 280;0,0018;
октябрь 2023;2 020;0,0016;
ноябрь 2023;2 040;0,0016;
декабрь 2023;2 335;0,0018;
январь 2024;2 010;0,0017;
февраль 2024;1 795;0,0015;
март 2024;1 709;0,0015;
апрель 2024;2 067;0,0019;
май 2024;1 405;0,0015;
июнь 2024;1 198;0,0013;
июль 2024;1 102;0,0012;
август 2024;1 619;0,0016;
сентябрь 2024;2 291;0,0020;
октябрь 2024;2 335;0,0020;
ноябрь 2024;2 286;0,0018;
декабрь 2024;2 180;0,0018;
