Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Воронежская область, все устройства
декабрь 2017;4 345;0,0039;
январь 2018;3 622;0,0033;
февраль 2018;4 033;0,0033;
март 2018;3 688;0,0035;
апрель 2018;3 148;0,0030;
май 2018;3 049;0,0031;
июнь 2018;3 435;0,0035;
июль 2018;3 445;0,0035;
август 2018;3 855;0,0034;
сентябрь 2018;4 419;0,0034;
октябрь 2018;4 284;0,0036;
ноябрь 2018;3 602;0,0030;
декабрь 2018;4 541;0,0037;
январь 2019;4 131;0,0034;
февраль 2019;3 830;0,0031;
март 2019;3 474;0,0031;
апрель 2019;3 093;0,0029;
май 2019;2 800;0,0029;
июнь 2019;3 384;0,0033;
июль 2019;3 022;0,0030;
август 2019;3 448;0,0031;
сентябрь 2019;4 116;0,0031;
октябрь 2019;3 902;0,0029;
ноябрь 2019;3 530;0,0026;
декабрь 2019;4 501;0,0033;
январь 2020;4 746;0,0035;
февраль 2020;3 887;0,0027;
март 2020;4 543;0,0026;
апрель 2020;4 265;0,0028;
май 2020;4 421;0,0034;
июнь 2020;3 601;0,0030;
июль 2020;3 154;0,0027;
август 2020;3 709;0,0027;
сентябрь 2020;3 863;0,0024;
октябрь 2020;5 001;0,0028;
ноябрь 2020;4 262;0,0026;
декабрь 2020;5 119;0,0033;
январь 2021;5 573;0,0037;
февраль 2021;5 863;0,0036;
март 2021;4 489;0,0028;
апрель 2021;3 754;0,0024;
май 2021;3 999;0,0026;
июнь 2021;3 746;0,0026;
июль 2021;3 579;0,0025;
август 2021;6 502;0,0040;
сентябрь 2021;6 181;0,0034;
октябрь 2021;4 703;0,0025;
ноябрь 2021;4 578;0,0024;
декабрь 2021;5 873;0,0032;
январь 2022;5 327;0,0028;
февраль 2022;5 523;0,0027;
март 2022;4 490;0,0024;
апрель 2022;4 434;0,0024;
май 2022;4 101;0,0025;
июнь 2022;4 132;0,0026;
июль 2022;3 888;0,0024;
август 2022;4 049;0,0022;
сентябрь 2022;4 193;0,0021;
октябрь 2022;4 130;0,0021;
ноябрь 2022;3 610;0,0018;
декабрь 2022;4 031;0,0021;
январь 2023;3 550;0,0020;
февраль 2023;4 022;0,0020;
март 2023;3 209;0,0017;
апрель 2023;3 073;0,0017;
май 2023;2 620;0,0016;
июнь 2023;2 680;0,0017;
июль 2023;2 657;0,0017;
август 2023;3 126;0,0018;
сентябрь 2023;3 390;0,0018;
октябрь 2023;3 556;0,0019;
ноябрь 2023;3 018;0,0016;
декабрь 2023;3 297;0,0017;
январь 2024;3 335;0,0019;
февраль 2024;3 120;0,0017;
март 2024;3 159;0,0019;
апрель 2024;2 961;0,0018;
май 2024;2 857;0,0019;
июнь 2024;2 772;0,0019;
июль 2024;2 314;0,0016;
август 2024;2 981;0,0019;
сентябрь 2024;4 030;0,0023;
октябрь 2024;4 042;0,0022;
ноябрь 2024;3 516;0,0018;
декабрь 2024;3 909;0,0021;
