Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Москва, все устройства
декабрь 2017;41 629;0,0033;
январь 2018;39 011;0,0029;
февраль 2018;41 862;0,0029;
март 2018;36 100;0,0028;
апрель 2018;32 178;0,0025;
май 2018;28 870;0,0024;
июнь 2018;33 205;0,0027;
июль 2018;35 427;0,0029;
август 2018;42 536;0,0030;
сентябрь 2018;51 959;0,0032;
октябрь 2018;45 333;0,0030;
ноябрь 2018;35 309;0,0023;
декабрь 2018;45 782;0,0030;
январь 2019;42 652;0,0030;
февраль 2019;40 739;0,0028;
март 2019;35 257;0,0026;
апрель 2019;34 408;0,0026;
май 2019;30 643;0,0025;
июнь 2019;32 505;0,0025;
июль 2019;31 832;0,0027;
август 2019;41 446;0,0031;
сентябрь 2019;46 606;0,0031;
октябрь 2019;44 044;0,0030;
ноябрь 2019;44 545;0,0030;
декабрь 2019;46 799;0,0031;
январь 2020;45 343;0,0030;
февраль 2020;40 936;0,0026;
март 2020;40 753;0,0023;
апрель 2020;43 466;0,0027;
май 2020;43 654;0,0031;
июнь 2020;47 376;0,0034;
июль 2020;43 877;0,0032;
август 2020;49 938;0,0032;
сентябрь 2020;54 113;0,0031;
октябрь 2020;70 595;0,0038;
ноябрь 2020;65 232;0,0036;
декабрь 2020;71 139;0,0044;
январь 2021;76 900;0,0048;
февраль 2021;82 201;0,0047;
март 2021;82 943;0,0048;
апрель 2021;60 214;0,0039;
май 2021;56 759;0,0038;
июнь 2021;60 332;0,0037;
июль 2021;69 472;0,0040;
август 2021;88 837;0,0051;
сентябрь 2021;70 751;0,0041;
октябрь 2021;69 710;0,0042;
ноябрь 2021;61 101;0,0036;
декабрь 2021;48 118;0,0027;
январь 2022;61 222;0,0035;
февраль 2022;72 547;0,0040;
март 2022;66 106;0,0039;
апрель 2022;55 909;0,0031;
май 2022;48 001;0,0031;
июнь 2022;43 918;0,0030;
июль 2022;49 490;0,0031;
август 2022;48 726;0,0028;
сентябрь 2022;43 115;0,0025;
октябрь 2022;40 194;0,0023;
ноябрь 2022;31 211;0,0019;
декабрь 2022;32 734;0,0021;
январь 2023;32 231;0,0022;
февраль 2023;35 723;0,0022;
март 2023;27 042;0,0018;
апрель 2023;28 942;0,0020;
май 2023;27 027;0,0020;
июнь 2023;20 702;0,0016;
июль 2023;22 720;0,0018;
август 2023;25 214;0,0018;
сентябрь 2023;30 648;0,0019;
октябрь 2023;27 490;0,0018;
ноябрь 2023;24 070;0,0015;
декабрь 2023;30 027;0,0018;
январь 2024;26 233;0,0018;
февраль 2024;26 436;0,0017;
март 2024;25 775;0,0018;
апрель 2024;25 243;0,0018;
май 2024;20 446;0,0017;
июнь 2024;19 150;0,0017;
июль 2024;18 584;0,0016;
август 2024;23 385;0,0018;
сентябрь 2024;29 531;0,0020;
октябрь 2024;38 498;0,0025;
ноябрь 2024;37 626;0,0024;
декабрь 2024;39 494;0,0027;
