Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Тюменская область, все устройства
декабрь 2017;1 845;0,0025;
январь 2018;1 760;0,0024;
февраль 2018;1 733;0,0022;
март 2018;1 529;0,0021;
апрель 2018;1 665;0,0023;
май 2018;1 390;0,0022;
июнь 2018;1 436;0,0023;
июль 2018;1 533;0,0024;
август 2018;2 057;0,0027;
сентябрь 2018;1 721;0,0020;
октябрь 2018;1 688;0,0021;
ноябрь 2018;1 420;0,0018;
декабрь 2018;1 960;0,0025;
январь 2019;1 818;0,0022;
февраль 2019;1 614;0,0020;
март 2019;1 515;0,0019;
апрель 2019;1 203;0,0017;
май 2019;1 350;0,0020;
июнь 2019;1 507;0,0024;
июль 2019;1 227;0,0019;
август 2019;1 488;0,0020;
сентябрь 2019;1 888;0,0023;
октябрь 2019;1 875;0,0022;
ноябрь 2019;1 641;0,0019;
декабрь 2019;2 359;0,0027;
январь 2020;2 016;0,0023;
февраль 2020;2 038;0,0021;
март 2020;2 719;0,0024;
апрель 2020;2 366;0,0025;
май 2020;2 011;0,0023;
июнь 2020;1 778;0,0023;
июль 2020;1 749;0,0023;
август 2020;1 918;0,0022;
сентябрь 2020;2 416;0,0024;
октябрь 2020;3 350;0,0029;
ноябрь 2020;2 776;0,0025;
декабрь 2020;2 914;0,0028;
январь 2021;2 835;0,0029;
февраль 2021;2 569;0,0025;
март 2021;2 571;0,0025;
апрель 2021;2 055;0,0020;
май 2021;2 601;0,0027;
июнь 2021;1 706;0,0018;
июль 2021;1 728;0,0018;
август 2021;1 948;0,0019;
сентябрь 2021;2 265;0,0020;
октябрь 2021;2 566;0,0021;
ноябрь 2021;2 297;0,0019;
декабрь 2021;2 638;0,0022;
январь 2022;2 699;0,0021;
февраль 2022;2 574;0,0020;
март 2022;2 233;0,0018;
апрель 2022;2 044;0,0017;
май 2022;2 001;0,0018;
июнь 2022;1 836;0,0018;
июль 2022;1 971;0,0019;
август 2022;1 885;0,0016;
сентябрь 2022;2 022;0,0016;
октябрь 2022;2 209;0,0017;
ноябрь 2022;2 016;0,0015;
декабрь 2022;2 205;0,0017;
январь 2023;1 735;0,0014;
февраль 2023;2 088;0,0016;
март 2023;2 103;0,0017;
апрель 2023;1 759;0,0015;
май 2023;1 600;0,0015;
июнь 2023;1 473;0,0014;
июль 2023;1 489;0,0014;
август 2023;1 745;0,0015;
сентябрь 2023;2 016;0,0016;
октябрь 2023;1 941;0,0015;
ноябрь 2023;1 793;0,0013;
декабрь 2023;1 920;0,0015;
январь 2024;1 946;0,0016;
февраль 2024;1 841;0,0015;
март 2024;1 813;0,0015;
апрель 2024;1 711;0,0014;
май 2024;1 396;0,0014;
июнь 2024;1 311;0,0013;
июль 2024;1 236;0,0012;
август 2024;1 755;0,0016;
сентябрь 2024;2 114;0,0017;
октябрь 2024;2 225;0,0018;
ноябрь 2024;2 201;0,0017;
декабрь 2024;2 320;0,0018;
