Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Пермский край, все устройства
декабрь 2017;3 375;0,0030;
январь 2018;3 255;0,0029;
февраль 2018;2 959;0,0024;
март 2018;2 937;0,0026;
апрель 2018;2 818;0,0026;
май 2018;2 518;0,0025;
июнь 2018;2 665;0,0029;
июль 2018;2 896;0,0030;
август 2018;3 204;0,0029;
сентябрь 2018;3 853;0,0029;
октябрь 2018;3 304;0,0028;
ноябрь 2018;2 604;0,0023;
декабрь 2018;3 165;0,0027;
январь 2019;3 419;0,0029;
февраль 2019;2 923;0,0024;
март 2019;2 873;0,0025;
апрель 2019;2 258;0,0021;
май 2019;2 400;0,0025;
июнь 2019;2 361;0,0025;
июль 2019;1 955;0,0020;
август 2019;2 425;0,0023;
сентябрь 2019;2 833;0,0023;
октябрь 2019;2 774;0,0023;
ноябрь 2019;2 521;0,0020;
декабрь 2019;3 114;0,0025;
январь 2020;2 990;0,0025;
февраль 2020;3 010;0,0023;
март 2020;4 814;0,0028;
апрель 2020;3 648;0,0026;
май 2020;3 526;0,0029;
июнь 2020;2 667;0,0024;
июль 2020;2 477;0,0022;
август 2020;2 904;0,0023;
сентябрь 2020;3 345;0,0023;
октябрь 2020;4 300;0,0028;
ноябрь 2020;4 260;0,0028;
декабрь 2020;4 668;0,0034;
январь 2021;5 184;0,0038;
февраль 2021;4 467;0,0030;
март 2021;4 226;0,0028;
апрель 2021;3 340;0,0022;
май 2021;2 987;0,0021;
июнь 2021;2 440;0,0019;
июль 2021;2 303;0,0018;
август 2021;3 105;0,0020;
сентябрь 2021;3 246;0,0019;
октябрь 2021;4 008;0,0023;
ноябрь 2021;3 430;0,0019;
декабрь 2021;3 763;0,0022;
январь 2022;3 799;0,0022;
февраль 2022;4 042;0,0021;
март 2022;3 752;0,0021;
апрель 2022;3 613;0,0021;
май 2022;3 302;0,0021;
июнь 2022;2 799;0,0019;
июль 2022;3 196;0,0022;
август 2022;3 002;0,0018;
сентябрь 2022;3 163;0,0017;
октябрь 2022;3 228;0,0017;
ноябрь 2022;2 920;0,0015;
декабрь 2022;2 894;0,0016;
январь 2023;3 041;0,0018;
февраль 2023;3 264;0,0017;
март 2023;2 959;0,0017;
апрель 2023;2 904;0,0017;
май 2023;2 614;0,0017;
июнь 2023;2 282;0,0016;
июль 2023;2 181;0,0015;
август 2023;2 546;0,0016;
сентябрь 2023;3 406;0,0019;
октябрь 2023;2 964;0,0017;
ноябрь 2023;2 592;0,0014;
декабрь 2023;2 997;0,0017;
январь 2024;3 025;0,0018;
февраль 2024;2 874;0,0017;
март 2024;2 687;0,0016;
апрель 2024;2 784;0,0017;
май 2024;2 125;0,0016;
июнь 2024;1 894;0,0014;
июль 2024;1 755;0,0013;
август 2024;2 359;0,0016;
сентябрь 2024;3 240;0,0019;
октябрь 2024;3 120;0,0018;
ноябрь 2024;2 970;0,0016;
декабрь 2024;3 143;0,0018;
