Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Республика Башкортостан, все устройства
декабрь 2017;4 755;0,0030;
январь 2018;4 417;0,0028;
февраль 2018;4 427;0,0026;
март 2018;3 876;0,0025;
апрель 2018;3 353;0,0022;
май 2018;2 971;0,0022;
июнь 2018;2 717;0,0021;
июль 2018;2 823;0,0020;
август 2018;4 336;0,0028;
сентябрь 2018;4 461;0,0024;
октябрь 2018;4 113;0,0024;
ноябрь 2018;3 155;0,0019;
декабрь 2018;4 084;0,0024;
январь 2019;4 003;0,0024;
февраль 2019;4 192;0,0024;
март 2019;3 506;0,0021;
апрель 2019;3 145;0,0020;
май 2019;2 941;0,0021;
июнь 2019;3 225;0,0023;
июль 2019;2 891;0,0020;
август 2019;3 869;0,0024;
сентябрь 2019;4 489;0,0024;
октябрь 2019;4 258;0,0023;
ноябрь 2019;3 725;0,0019;
декабрь 2019;4 955;0,0025;
январь 2020;4 624;0,0025;
февраль 2020;4 619;0,0023;
март 2020;8 099;0,0030;
апрель 2020;6 499;0,0028;
май 2020;5 093;0,0028;
июнь 2020;3 990;0,0024;
июль 2020;4 091;0,0023;
август 2020;5 507;0,0027;
сентябрь 2020;5 268;0,0023;
октябрь 2020;7 492;0,0029;
ноябрь 2020;5 567;0,0023;
декабрь 2020;6 179;0,0028;
январь 2021;7 307;0,0034;
февраль 2021;6 891;0,0029;
март 2021;6 100;0,0026;
апрель 2021;4 655;0,0022;
май 2021;5 021;0,0024;
июнь 2021;3 710;0,0018;
июль 2021;3 793;0,0018;
август 2021;4 299;0,0019;
сентябрь 2021;5 652;0,0022;
октябрь 2021;7 649;0,0030;
ноябрь 2021;6 907;0,0026;
декабрь 2021;6 587;0,0026;
январь 2022;7 047;0,0027;
февраль 2022;7 290;0,0026;
март 2022;5 986;0,0023;
апрель 2022;5 157;0,0020;
май 2022;5 076;0,0022;
июнь 2022;4 741;0,0022;
июль 2022;4 664;0,0022;
август 2022;4 690;0,0019;
сентябрь 2022;4 972;0,0018;
октябрь 2022;5 616;0,0020;
ноябрь 2022;4 979;0,0017;
декабрь 2022;5 203;0,0019;
январь 2023;4 089;0,0016;
февраль 2023;4 309;0,0015;
март 2023;3 623;0,0014;
апрель 2023;3 628;0,0014;
май 2023;3 585;0,0016;
июнь 2023;3 191;0,0014;
июль 2023;2 898;0,0013;
август 2023;3 386;0,0014;
сентябрь 2023;4 677;0,0017;
октябрь 2023;4 478;0,0017;
ноябрь 2023;3 844;0,0014;
декабрь 2023;4 306;0,0016;
январь 2024;3 945;0,0016;
февраль 2024;3 963;0,0015;
март 2024;3 500;0,0015;
апрель 2024;3 627;0,0015;
май 2024;2 684;0,0013;
июнь 2024;2 531;0,0012;
июль 2024;2 175;0,0011;
август 2024;3 062;0,0014;
сентябрь 2024;4 328;0,0017;
октябрь 2024;4 474;0,0017;
ноябрь 2024;4 396;0,0016;
декабрь 2024;4 272;0,0016;
