Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Республика Адыгея, все устройства
декабрь 2017;323;0,0043;
январь 2018;383;0,0051;
февраль 2018;266;0,0032;
март 2018;258;0,0035;
апрель 2018;196;0,0025;
май 2018;261;0,0035;
июнь 2018;281;0,0036;
июль 2018;356;0,0046;
август 2018;349;0,0042;
сентябрь 2018;249;0,0026;
октябрь 2018;286;0,0031;
ноябрь 2018;247;0,0026;
декабрь 2018;274;0,0028;
январь 2019;275;0,0028;
февраль 2019;326;0,0030;
март 2019;256;0,0025;
апрель 2019;214;0,0021;
май 2019;219;0,0023;
июнь 2019;306;0,0032;
июль 2019;271;0,0028;
август 2019;285;0,0029;
сентябрь 2019;305;0,0028;
октябрь 2019;314;0,0028;
ноябрь 2019;269;0,0022;
декабрь 2019;360;0,0028;
январь 2020;314;0,0025;
февраль 2020;396;0,0029;
март 2020;482;0,0027;
апрель 2020;645;0,0038;
май 2020;426;0,0032;
июнь 2020;312;0,0025;
июль 2020;290;0,0024;
август 2020;296;0,0023;
сентябрь 2020;313;0,0021;
октябрь 2020;311;0,0020;
ноябрь 2020;321;0,0020;
декабрь 2020;394;0,0025;
январь 2021;375;0,0025;
февраль 2021;387;0,0025;
март 2021;495;0,0029;
апрель 2021;421;0,0024;
май 2021;443;0,0026;
июнь 2021;281;0,0018;
июль 2021;280;0,0018;
август 2021;357;0,0020;
сентябрь 2021;319;0,0016;
октябрь 2021;403;0,0020;
ноябрь 2021;394;0,0019;
декабрь 2021;471;0,0021;
январь 2022;448;0,0021;
февраль 2022;567;0,0024;
март 2022;392;0,0018;
апрель 2022;379;0,0017;
май 2022;383;0,0019;
июнь 2022;445;0,0022;
июль 2022;402;0,0020;
август 2022;308;0,0014;
сентябрь 2022;320;0,0014;
октябрь 2022;376;0,0016;
ноябрь 2022;363;0,0015;
декабрь 2022;385;0,0016;
январь 2023;358;0,0016;
февраль 2023;346;0,0014;
март 2023;353;0,0015;
апрель 2023;286;0,0012;
май 2023;276;0,0013;
июнь 2023;258;0,0012;
июль 2023;277;0,0013;
август 2023;248;0,0012;
сентябрь 2023;297;0,0013;
октябрь 2023;360;0,0015;
ноябрь 2023;356;0,0015;
декабрь 2023;368;0,0015;
январь 2024;321;0,0014;
февраль 2024;281;0,0012;
март 2024;237;0,0011;
апрель 2024;249;0,0011;
май 2024;269;0,0014;
июнь 2024;237;0,0012;
июль 2024;266;0,0014;
август 2024;264;0,0013;
сентябрь 2024;326;0,0015;
октябрь 2024;406;0,0018;
ноябрь 2024;330;0,0014;
декабрь 2024;375;0,0015;
