Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Иркутская область, все устройства
декабрь 2017;2 401;0,0025;
январь 2018;2 228;0,0023;
февраль 2018;2 190;0,0022;
март 2018;2 103;0,0023;
апрель 2018;1 938;0,0021;
май 2018;1 635;0,0020;
июнь 2018;1 511;0,0018;
июль 2018;1 740;0,0021;
август 2018;2 142;0,0022;
сентябрь 2018;2 640;0,0023;
октябрь 2018;2 262;0,0022;
ноябрь 2018;2 005;0,0019;
декабрь 2018;2 383;0,0022;
январь 2019;2 330;0,0022;
февраль 2019;2 426;0,0022;
март 2019;2 230;0,0021;
апрель 2019;1 863;0,0019;
май 2019;1 844;0,0021;
июнь 2019;1 534;0,0018;
июль 2019;1 519;0,0018;
август 2019;1 946;0,0020;
сентябрь 2019;2 489;0,0022;
октябрь 2019;2 235;0,0020;
ноябрь 2019;2 119;0,0018;
декабрь 2019;2 588;0,0021;
январь 2020;2 772;0,0023;
февраль 2020;2 446;0,0019;
март 2020;4 124;0,0025;
апрель 2020;3 686;0,0026;
май 2020;3 004;0,0026;
июнь 2020;2 334;0,0022;
июль 2020;2 069;0,0019;
август 2020;2 430;0,0019;
сентябрь 2020;3 144;0,0022;
октябрь 2020;4 353;0,0027;
ноябрь 2020;3 837;0,0026;
декабрь 2020;3 727;0,0026;
январь 2021;4 539;0,0034;
февраль 2021;3 865;0,0027;
март 2021;3 869;0,0027;
апрель 2021;3 097;0,0022;
май 2021;2 931;0,0023;
июнь 2021;2 031;0,0016;
июль 2021;2 208;0,0017;
август 2021;2 463;0,0018;
сентябрь 2021;4 179;0,0028;
октябрь 2021;3 796;0,0025;
ноябрь 2021;3 678;0,0022;
декабрь 2021;3 043;0,0019;
январь 2022;4 125;0,0026;
февраль 2022;3 623;0,0021;
март 2022;3 289;0,0020;
апрель 2022;2 701;0,0018;
май 2022;2 710;0,0019;
июнь 2022;2 738;0,0020;
июль 2022;2 816;0,0021;
август 2022;2 751;0,0018;
сентябрь 2022;3 311;0,0020;
октябрь 2022;3 353;0,0019;
ноябрь 2022;2 798;0,0016;
декабрь 2022;2 568;0,0015;
январь 2023;3 169;0,0020;
февраль 2023;3 398;0,0020;
март 2023;2 559;0,0015;
апрель 2023;2 873;0,0018;
май 2023;2 068;0,0015;
июнь 2023;1 622;0,0012;
июль 2023;1 997;0,0015;
август 2023;2 127;0,0014;
сентябрь 2023;3 075;0,0019;
октябрь 2023;2 943;0,0018;
ноябрь 2023;2 948;0,0017;
декабрь 2023;2 988;0,0018;
январь 2024;3 220;0,0020;
февраль 2024;2 950;0,0019;
март 2024;2 572;0,0017;
апрель 2024;2 456;0,0017;
май 2024;1 826;0,0015;
июнь 2024;1 781;0,0015;
июль 2024;1 563;0,0013;
август 2024;2 444;0,0018;
сентябрь 2024;3 652;0,0024;
октябрь 2024;3 233;0,0020;
ноябрь 2024;3 699;0,0022;
декабрь 2024;2 961;0,0018;
