Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Волгоградская область, все устройства
декабрь 2017;2 280;0,0024;
январь 2018;1 862;0,0019;
февраль 2018;2 240;0,0021;
март 2018;1 566;0,0017;
апрель 2018;1 602;0,0018;
май 2018;1 473;0,0018;
июнь 2018;1 664;0,0019;
июль 2018;1 515;0,0018;
август 2018;2 075;0,0022;
сентябрь 2018;2 244;0,0020;
октябрь 2018;2 006;0,0020;
ноябрь 2018;1 775;0,0018;
декабрь 2018;2 082;0,0020;
январь 2019;1 910;0,0019;
февраль 2019;2 190;0,0021;
март 2019;1 675;0,0018;
апрель 2019;1 599;0,0018;
май 2019;1 495;0,0018;
июнь 2019;1 493;0,0017;
июль 2019;1 357;0,0016;
август 2019;1 429;0,0015;
сентябрь 2019;1 987;0,0019;
октябрь 2019;2 026;0,0019;
ноябрь 2019;1 846;0,0017;
декабрь 2019;2 156;0,0019;
январь 2020;1 931;0,0018;
февраль 2020;2 016;0,0017;
март 2020;3 439;0,0023;
апрель 2020;2 704;0,0021;
май 2020;2 974;0,0027;
июнь 2020;2 113;0,0021;
июль 2020;1 689;0,0016;
август 2020;1 861;0,0016;
сентябрь 2020;2 423;0,0018;
октябрь 2020;3 143;0,0022;
ноябрь 2020;2 978;0,0022;
декабрь 2020;3 975;0,0030;
январь 2021;3 982;0,0031;
февраль 2021;3 761;0,0026;
март 2021;2 910;0,0022;
апрель 2021;2 438;0,0018;
май 2021;2 824;0,0022;
июнь 2021;1 752;0,0015;
июль 2021;1 882;0,0016;
август 2021;2 437;0,0018;
сентябрь 2021;2 904;0,0020;
октябрь 2021;2 978;0,0019;
ноябрь 2021;2 829;0,0018;
декабрь 2021;3 115;0,0020;
январь 2022;3 231;0,0021;
февраль 2022;3 842;0,0022;
март 2022;3 112;0,0020;
апрель 2022;2 973;0,0019;
май 2022;2 751;0,0019;
июнь 2022;2 426;0,0017;
июль 2022;2 436;0,0017;
август 2022;2 040;0,0013;
сентябрь 2022;2 248;0,0013;
октябрь 2022;2 599;0,0015;
ноябрь 2022;2 383;0,0014;
декабрь 2022;2 521;0,0015;
январь 2023;2 599;0,0017;
февраль 2023;2 317;0,0014;
март 2023;2 287;0,0015;
апрель 2023;2 312;0,0015;
май 2023;2 074;0,0014;
июнь 2023;1 678;0,0012;
июль 2023;1 769;0,0013;
август 2023;1 899;0,0013;
сентябрь 2023;2 286;0,0014;
октябрь 2023;2 131;0,0013;
ноябрь 2023;2 144;0,0013;
декабрь 2023;2 518;0,0015;
январь 2024;2 103;0,0013;
февраль 2024;2 095;0,0013;
март 2024;2 133;0,0015;
апрель 2024;1 908;0,0013;
май 2024;1 786;0,0014;
июнь 2024;1 856;0,0014;
июль 2024;1 440;0,0011;
август 2024;1 962;0,0014;
сентябрь 2024;2 313;0,0015;
октябрь 2024;2 508;0,0015;
ноябрь 2024;2 453;0,0014;
декабрь 2024;2 560;0,0015;
