Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Хабаровский край, все устройства
декабрь 2017;2 620;0,0046;
январь 2018;2 019;0,0035;
февраль 2018;1 900;0,0030;
март 2018;1 590;0,0028;
апрель 2018;1 444;0,0026;
май 2018;1 246;0,0023;
июнь 2018;1 263;0,0025;
июль 2018;1 370;0,0026;
август 2018;1 475;0,0025;
сентябрь 2018;2 146;0,0032;
октябрь 2018;1 690;0,0027;
ноябрь 2018;1 474;0,0025;
декабрь 2018;1 776;0,0033;
январь 2019;1 637;0,0032;
февраль 2019;1 466;0,0028;
март 2019;1 379;0,0027;
апрель 2019;1 156;0,0024;
май 2019;1 129;0,0026;
июнь 2019;966;0,0024;
июль 2019;1 024;0,0026;
август 2019;1 184;0,0027;
сентябрь 2019;1 624;0,0031;
октябрь 2019;1 685;0,0032;
ноябрь 2019;1 499;0,0027;
декабрь 2019;1 935;0,0035;
январь 2020;1 558;0,0029;
февраль 2020;1 671;0,0029;
март 2020;2 459;0,0033;
апрель 2020;2 126;0,0033;
май 2020;1 694;0,0030;
июнь 2020;1 248;0,0025;
июль 2020;1 137;0,0023;
август 2020;1 296;0,0024;
сентябрь 2020;1 811;0,0029;
октябрь 2020;2 135;0,0031;
ноябрь 2020;1 849;0,0028;
декабрь 2020;2 821;0,0045;
январь 2021;2 874;0,0048;
февраль 2021;2 160;0,0033;
март 2021;2 083;0,0032;
апрель 2021;1 668;0,0027;
май 2021;1 789;0,0030;
июнь 2021;1 281;0,0022;
июль 2021;1 286;0,0023;
август 2021;3 845;0,0065;
сентябрь 2021;2 012;0,0031;
октябрь 2021;1 830;0,0027;
ноябрь 2021;1 798;0,0026;
декабрь 2021;1 898;0,0027;
январь 2022;1 776;0,0026;
февраль 2022;1 772;0,0023;
март 2022;1 784;0,0024;
апрель 2022;1 727;0,0024;
май 2022;1 976;0,0030;
июнь 2022;1 560;0,0025;
июль 2022;1 673;0,0027;
август 2022;1 704;0,0024;
сентябрь 2022;1 673;0,0022;
октябрь 2022;1 937;0,0024;
ноябрь 2022;1 440;0,0018;
декабрь 2022;1 489;0,0019;
январь 2023;1 546;0,0021;
февраль 2023;1 761;0,0022;
март 2023;1 704;0,0023;
апрель 2023;1 617;0,0022;
май 2023;1 555;0,0024;
июнь 2023;2 133;0,0035;
июль 2023;1 250;0,0020;
август 2023;1 371;0,0021;
сентябрь 2023;1 761;0,0024;
октябрь 2023;1 623;0,0022;
ноябрь 2023;1 754;0,0023;
декабрь 2023;1 615;0,0022;
январь 2024;2 344;0,0033;
февраль 2024;1 775;0,0025;
март 2024;1 713;0,0025;
апрель 2024;1 537;0,0023;
май 2024;1 200;0,0020;
июнь 2024;1 414;0,0025;
июль 2024;1 522;0,0027;
август 2024;1 287;0,0021;
сентябрь 2024;2 122;0,0030;
октябрь 2024;1 824;0,0026;
ноябрь 2024;1 790;0,0024;
декабрь 2024;1 901;0,0026;
