Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Омская область, все устройства
декабрь 2017;2 422;0,0031;
январь 2018;1 940;0,0026;
февраль 2018;1 581;0,0019;
март 2018;1 762;0,0024;
апрель 2018;1 667;0,0022;
май 2018;1 505;0,0023;
июнь 2018;1 374;0,0022;
июль 2018;1 397;0,0020;
август 2018;1 635;0,0021;
сентябрь 2018;1 868;0,0021;
октябрь 2018;2 228;0,0027;
ноябрь 2018;1 625;0,0020;
декабрь 2018;1 906;0,0023;
январь 2019;1 771;0,0021;
февраль 2019;1 796;0,0021;
март 2019;1 695;0,0021;
апрель 2019;1 478;0,0019;
май 2019;1 523;0,0021;
июнь 2019;1 368;0,0021;
июль 2019;1 266;0,0018;
август 2019;1 552;0,0020;
сентябрь 2019;1 973;0,0022;
октябрь 2019;1 908;0,0021;
ноябрь 2019;1 730;0,0018;
декабрь 2019;2 253;0,0024;
январь 2020;2 164;0,0024;
февраль 2020;1 847;0,0019;
март 2020;2 805;0,0023;
апрель 2020;2 922;0,0027;
май 2020;2 246;0,0024;
июнь 2020;1 747;0,0021;
июль 2020;1 586;0,0019;
август 2020;1 915;0,0020;
сентябрь 2020;2 304;0,0021;
октябрь 2020;3 171;0,0028;
ноябрь 2020;2 311;0,0020;
декабрь 2020;2 642;0,0025;
январь 2021;3 395;0,0033;
февраль 2021;3 107;0,0028;
март 2021;2 900;0,0027;
апрель 2021;2 109;0,0020;
май 2021;2 499;0,0024;
июнь 2021;1 779;0,0018;
июль 2021;1 891;0,0019;
август 2021;2 203;0,0020;
сентябрь 2021;2 420;0,0021;
октябрь 2021;2 607;0,0022;
ноябрь 2021;2 513;0,0020;
декабрь 2021;2 446;0,0020;
январь 2022;3 000;0,0024;
февраль 2022;2 704;0,0020;
март 2022;2 545;0,0021;
апрель 2022;2 160;0,0018;
май 2022;2 312;0,0021;
июнь 2022;1 977;0,0019;
июль 2022;1 964;0,0019;
август 2022;2 166;0,0019;
сентябрь 2022;2 182;0,0017;
октябрь 2022;2 417;0,0018;
ноябрь 2022;2 134;0,0016;
декабрь 2022;2 144;0,0017;
январь 2023;2 133;0,0018;
февраль 2023;2 401;0,0018;
март 2023;2 112;0,0017;
апрель 2023;1 829;0,0015;
май 2023;1 557;0,0014;
июнь 2023;1 319;0,0013;
июль 2023;1 434;0,0014;
август 2023;1 714;0,0015;
сентябрь 2023;2 412;0,0019;
октябрь 2023;2 046;0,0017;
ноябрь 2023;1 737;0,0013;
декабрь 2023;2 034;0,0016;
январь 2024;1 752;0,0015;
февраль 2024;1 987;0,0016;
март 2024;1 931;0,0017;
апрель 2024;1 857;0,0017;
май 2024;1 347;0,0014;
июнь 2024;1 304;0,0014;
июль 2024;1 221;0,0013;
август 2024;1 420;0,0014;
сентябрь 2024;2 169;0,0019;
октябрь 2024;2 742;0,0023;
ноябрь 2024;2 017;0,0016;
декабрь 2024;2 168;0,0018;
