Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Республика Бурятия, все устройства
декабрь 2017;524;0,00207;
январь 2018;411;0,00168;
февраль 2018;404;0,00155;
март 2018;365;0,00153;
апрель 2018;420;0,00173;
май 2018;393;0,00181;
июнь 2018;346;0,00156;
июль 2018;321;0,00147;
август 2018;327;0,00130;
сентябрь 2018;447;0,00152;
октябрь 2018;492;0,00179;
ноябрь 2018;337;0,00124;
декабрь 2018;480;0,00175;
январь 2019;432;0,00161;
февраль 2019;379;0,00136;
март 2019;494;0,00184;
апрель 2019;266;0,00105;
май 2019;324;0,00143;
июнь 2019;326;0,00153;
июль 2019;272;0,00127;
август 2019;323;0,00137;
сентябрь 2019;473;0,00170;
октябрь 2019;401;0,00145;
ноябрь 2019;412;0,00136;
декабрь 2019;488;0,00159;
январь 2020;508;0,00169;
февраль 2020;448;0,00138;
март 2020;996;0,00219;
апрель 2020;825;0,00220;
май 2020;564;0,00189;
июнь 2020;476;0,00179;
июль 2020;369;0,00138;
август 2020;470;0,00151;
сентябрь 2020;738;0,00176;
октябрь 2020;801;0,00191;
ноябрь 2020;743;0,00190;
декабрь 2020;749;0,00208;
январь 2021;762;0,00233;
февраль 2021;668;0,00189;
март 2021;713;0,00188;
апрель 2021;510;0,00129;
май 2021;486;0,00133;
июнь 2021;366;0,00116;
июль 2021;413;0,00134;
август 2021;553;0,00148;
сентябрь 2021;1 165;0,00273;
октябрь 2021;800;0,00182;
ноябрь 2021;866;0,00180;
декабрь 2021;807;0,00173;
январь 2022;928;0,00196;
февраль 2022;709;0,00146;
март 2022;676;0,00145;
апрель 2022;769;0,00173;
май 2022;684;0,00173;
июнь 2022;733;0,00192;
июль 2022;566;0,00149;
август 2022;661;0,00149;
сентябрь 2022;633;0,00131;
октябрь 2022;673;0,00134;
ноябрь 2022;625;0,00122;
декабрь 2022;896;0,00178;
январь 2023;989;0,00218;
февраль 2023;944;0,00188;
март 2023;664;0,00137;
апрель 2023;757;0,00164;
май 2023;502;0,00128;
июнь 2023;395;0,00103;
июль 2023;404;0,00105;
август 2023;499;0,00116;
сентябрь 2023;1 861;0,00389;
октябрь 2023;762;0,00160;
ноябрь 2023;731;0,00145;
декабрь 2023;728;0,00149;
январь 2024;679;0,00148;
февраль 2024;914;0,00199;
март 2024;683;0,00154;
апрель 2024;567;0,00137;
май 2024;505;0,00141;
июнь 2024;364;0,00104;
июль 2024;327;0,00093;
август 2024;588;0,00151;
сентябрь 2024;701;0,00156;
октябрь 2024;804;0,00174;
ноябрь 2024;779;0,00159;
декабрь 2024;833;0,00176;
