Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Республика Карелия, все устройства
декабрь 2017;729;0,0027;
январь 2018;629;0,0023;
февраль 2018;595;0,0021;
март 2018;538;0,0020;
апрель 2018;402;0,0017;
май 2018;350;0,0016;
июнь 2018;381;0,0018;
июль 2018;499;0,0022;
август 2018;564;0,0021;
сентябрь 2018;734;0,0023;
октябрь 2018;697;0,0024;
ноябрь 2018;450;0,0015;
декабрь 2018;602;0,0019;
январь 2019;573;0,0019;
февраль 2019;596;0,0019;
март 2019;522;0,0017;
апрель 2019;505;0,0018;
май 2019;414;0,0017;
июнь 2019;361;0,0015;
июль 2019;441;0,0019;
август 2019;502;0,0020;
сентябрь 2019;610;0,0021;
октябрь 2019;669;0,0023;
ноябрь 2019;531;0,0018;
декабрь 2019;711;0,0023;
январь 2020;703;0,0024;
февраль 2020;599;0,0019;
март 2020;873;0,0021;
апрель 2020;712;0,0021;
май 2020;666;0,0024;
июнь 2020;481;0,0018;
июль 2020;400;0,0015;
август 2020;606;0,0020;
сентябрь 2020;599;0,0017;
октябрь 2020;1 023;0,0026;
ноябрь 2020;1 151;0,0030;
декабрь 2020;1 247;0,0035;
январь 2021;964;0,0030;
февраль 2021;890;0,0026;
март 2021;777;0,0021;
апрель 2021;805;0,0021;
май 2021;779;0,0023;
июнь 2021;580;0,0020;
июль 2021;549;0,0017;
август 2021;755;0,0020;
сентябрь 2021;758;0,0018;
октябрь 2021;954;0,0023;
ноябрь 2021;853;0,0020;
декабрь 2021;850;0,0020;
январь 2022;875;0,0021;
февраль 2022;966;0,0021;
март 2022;744;0,0017;
апрель 2022;706;0,0016;
май 2022;656;0,0017;
июнь 2022;562;0,0015;
июль 2022;616;0,0016;
август 2022;626;0,0015;
сентябрь 2022;869;0,0020;
октябрь 2022;776;0,0017;
ноябрь 2022;596;0,0013;
декабрь 2022;637;0,0014;
январь 2023;747;0,0018;
февраль 2023;785;0,0017;
март 2023;732;0,0017;
апрель 2023;787;0,0019;
май 2023;476;0,0013;
июнь 2023;394;0,0010;
июль 2023;445;0,0012;
август 2023;502;0,0013;
сентябрь 2023;683;0,0016;
октябрь 2023;630;0,0015;
ноябрь 2023;586;0,0014;
декабрь 2023;682;0,0016;
январь 2024;657;0,0016;
февраль 2024;605;0,0014;
март 2024;510;0,0012;
апрель 2024;465;0,0012;
май 2024;414;0,0012;
июнь 2024;389;0,0011;
июль 2024;457;0,0013;
август 2024;580;0,0016;
сентябрь 2024;867;0,0022;
октябрь 2024;782;0,0019;
ноябрь 2024;601;0,0014;
декабрь 2024;681;0,0016;
