Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Кемеровская область (Кузбасс), все устройства
декабрь 2017;2 854;0,0027;
январь 2018;2 982;0,0030;
февраль 2018;2 923;0,0027;
март 2018;2 696;0,0026;
апрель 2018;2 813;0,0026;
май 2018;2 075;0,0024;
июнь 2018;2 211;0,0025;
июль 2018;2 450;0,0027;
август 2018;2 754;0,0027;
сентябрь 2018;3 609;0,0030;
октябрь 2018;3 222;0,0029;
ноябрь 2018;2 488;0,0022;
декабрь 2018;3 005;0,0027;
январь 2019;2 909;0,0026;
февраль 2019;2 948;0,0026;
март 2019;2 817;0,0026;
апрель 2019;2 456;0,0024;
май 2019;2 198;0,0024;
июнь 2019;2 415;0,0027;
июль 2019;2 212;0,0024;
август 2019;2 851;0,0029;
сентябрь 2019;3 995;0,0035;
октябрь 2019;3 836;0,0034;
ноябрь 2019;3 663;0,0030;
декабрь 2019;4 565;0,0037;
январь 2020;4 237;0,0035;
февраль 2020;4 196;0,0031;
март 2020;5 254;0,0032;
апрель 2020;5 925;0,0039;
май 2020;4 144;0,0034;
июнь 2020;3 373;0,0031;
июль 2020;3 086;0,0028;
август 2020;3 607;0,0028;
сентябрь 2020;5 091;0,0033;
октябрь 2020;6 346;0,0037;
ноябрь 2020;4 693;0,0032;
декабрь 2020;5 520;0,0038;
январь 2021;5 056;0,0038;
февраль 2021;4 661;0,0032;
март 2021;4 676;0,0032;
апрель 2021;3 919;0,0028;
май 2021;3 577;0,0027;
июнь 2021;2 674;0,0022;
июль 2021;3 100;0,0025;
август 2021;3 495;0,0025;
сентябрь 2021;6 230;0,0041;
октябрь 2021;4 565;0,0030;
ноябрь 2021;4 101;0,0025;
декабрь 2021;4 489;0,0028;
январь 2022;4 373;0,0027;
февраль 2022;4 823;0,0028;
март 2022;4 063;0,0025;
апрель 2022;3 809;0,0025;
май 2022;3 551;0,0025;
июнь 2022;2 998;0,0022;
июль 2022;3 178;0,0023;
август 2022;3 303;0,0021;
сентябрь 2022;4 049;0,0024;
октябрь 2022;4 228;0,0024;
ноябрь 2022;3 662;0,0020;
декабрь 2022;3 914;0,0022;
январь 2023;3 599;0,0022;
февраль 2023;4 020;0,0023;
март 2023;3 380;0,0020;
апрель 2023;3 331;0,0021;
май 2023;2 367;0,0017;
июнь 2023;2 026;0,0015;
июль 2023;2 249;0,0016;
август 2023;3 156;0,0021;
сентябрь 2023;4 333;0,0026;
октябрь 2023;3 383;0,0021;
ноябрь 2023;3 209;0,0018;
декабрь 2023;3 563;0,0021;
январь 2024;3 187;0,0020;
февраль 2024;3 034;0,0019;
март 2024;3 004;0,0020;
апрель 2024;2 687;0,0018;
май 2024;2 041;0,0016;
июнь 2024;1 784;0,0015;
июль 2024;1 721;0,0014;
август 2024;2 401;0,0018;
сентябрь 2024;3 891;0,0025;
октябрь 2024;3 900;0,0025;
ноябрь 2024;3 629;0,0022;
декабрь 2024;3 932;0,0024;
