Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург и Ленинградская область, кроме Санкт-Петербург, все устройства
декабрь 2017;1 351;0,0025;
январь 2018;1 236;0,0023;
февраль 2018;1 273;0,0021;
март 2018;1 117;0,0020;
апрель 2018;896;0,0016;
май 2018;1 006;0,0018;
июнь 2018;1 075;0,0019;
июль 2018;1 327;0,0022;
август 2018;1 381;0,0022;
сентябрь 2018;1 567;0,0022;
октябрь 2018;1 723;0,0026;
ноябрь 2018;1 327;0,0020;
декабрь 2018;1 654;0,0023;
январь 2019;1 643;0,0023;
февраль 2019;1 708;0,0022;
март 2019;1 473;0,0021;
апрель 2019;1 367;0,0018;
май 2019;1 322;0,0019;
июнь 2019;1 670;0,0023;
июль 2019;1 372;0,0019;
август 2019;1 568;0,0022;
сентябрь 2019;2 119;0,0027;
октябрь 2019;1 958;0,0025;
ноябрь 2019;1 948;0,0023;
декабрь 2019;2 427;0,0027;
январь 2020;2 125;0,0026;
февраль 2020;2 035;0,0022;
март 2020;3 086;0,0025;
апрель 2020;2 529;0,0022;
май 2020;2 600;0,0026;
июнь 2020;2 096;0,0022;
июль 2020;1 836;0,0021;
август 2020;1 810;0,0021;
сентябрь 2020;2 079;0,0021;
октябрь 2020;2 306;0,0022;
ноябрь 2020;2 284;0,0023;
декабрь 2020;2 634;0,0027;
январь 2021;2 737;0,0031;
февраль 2021;2 430;0,0024;
март 2021;2 685;0,0024;
апрель 2021;2 636;0,0020;
май 2021;2 528;0,0020;
июнь 2021;2 112;0,0020;
июль 2021;2 093;0,0019;
август 2021;2 505;0,0020;
сентябрь 2021;2 684;0,0019;
октябрь 2021;3 262;0,0022;
ноябрь 2021;2 999;0,0021;
декабрь 2021;3 212;0,0021;
январь 2022;3 505;0,0023;
февраль 2022;3 485;0,0022;
март 2022;3 445;0,0023;
апрель 2022;3 078;0,0020;
май 2022;3 118;0,0021;
июнь 2022;2 956;0,0019;
июль 2022;3 171;0,0021;
август 2022;3 113;0,0020;
сентябрь 2022;3 212;0,0020;
октябрь 2022;3 150;0,0019;
ноябрь 2022;2 314;0,0014;
декабрь 2022;2 955;0,0018;
январь 2023;2 548;0,0017;
февраль 2023;2 742;0,0017;
март 2023;2 332;0,0015;
апрель 2023;2 252;0,0015;
май 2023;2 046;0,0014;
июнь 2023;2 046;0,0013;
июль 2023;2 295;0,0015;
август 2023;2 378;0,0016;
сентябрь 2023;2 547;0,0016;
октябрь 2023;2 402;0,0016;
ноябрь 2023;2 067;0,0013;
декабрь 2023;2 646;0,0017;
январь 2024;2 355;0,0016;
февраль 2024;2 464;0,0016;
март 2024;2 025;0,0014;
апрель 2024;1 999;0,0013;
май 2024;1 930;0,0013;
июнь 2024;1 876;0,0012;
июль 2024;1 996;0,0013;
август 2024;2 162;0,0015;
сентябрь 2024;2 693;0,0018;
октябрь 2024;2 896;0,0019;
ноябрь 2024;2 533;0,0016;
декабрь 2024;2 808;0,0017;
