Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Новосибирская область, все устройства
декабрь 2017;5 953;0,0032;
январь 2018;5 130;0,0028;
февраль 2018;5 129;0,0025;
март 2018;4 333;0,0023;
апрель 2018;4 012;0,0021;
май 2018;3 327;0,0020;
июнь 2018;3 267;0,0020;
июль 2018;3 493;0,0021;
август 2018;4 742;0,0025;
сентябрь 2018;5 584;0,0025;
октябрь 2018;4 688;0,0023;
ноябрь 2018;4 001;0,0018;
декабрь 2018;6 166;0,0026;
январь 2019;5 354;0,0025;
февраль 2019;5 519;0,0025;
март 2019;4 807;0,0023;
апрель 2019;4 083;0,0020;
май 2019;3 969;0,0021;
июнь 2019;3 644;0,0020;
июль 2019;3 905;0,0022;
август 2019;4 281;0,0022;
сентябрь 2019;5 397;0,0026;
октябрь 2019;4 567;0,0022;
ноябрь 2019;4 628;0,0020;
декабрь 2019;5 436;0,0023;
январь 2020;5 312;0,0024;
февраль 2020;5 247;0,0022;
март 2020;7 215;0,0026;
апрель 2020;6 843;0,0026;
май 2020;4 923;0,0024;
июнь 2020;4 242;0,0021;
июль 2020;4 180;0,0020;
август 2020;6 018;0,0026;
сентябрь 2020;5 938;0,0023;
октябрь 2020;6 987;0,0026;
ноябрь 2020;6 688;0,0024;
декабрь 2020;7 343;0,0029;
январь 2021;7 717;0,0032;
февраль 2021;7 302;0,0028;
март 2021;6 936;0,0027;
апрель 2021;5 542;0,0024;
май 2021;5 146;0,0023;
июнь 2021;4 541;0,0020;
июль 2021;4 419;0,0019;
август 2021;5 197;0,0022;
сентябрь 2021;6 663;0,0027;
октябрь 2021;5 598;0,0023;
ноябрь 2021;4 707;0,0018;
декабрь 2021;5 601;0,0022;
январь 2022;5 946;0,0023;
февраль 2022;6 056;0,0022;
март 2022;5 167;0,0020;
апрель 2022;4 813;0,0019;
май 2022;4 931;0,0021;
июнь 2022;5 459;0,0024;
июль 2022;5 749;0,0024;
август 2022;5 198;0,0020;
сентябрь 2022;5 671;0,0020;
октябрь 2022;5 856;0,0020;
ноябрь 2022;4 807;0,0017;
декабрь 2022;4 616;0,0016;
январь 2023;4 504;0,0017;
февраль 2023;4 989;0,0017;
март 2023;4 767;0,0018;
апрель 2023;4 302;0,0017;
май 2023;3 211;0,0014;
июнь 2023;3 013;0,0013;
июль 2023;3 251;0,0015;
август 2023;3 497;0,0014;
сентябрь 2023;4 669;0,0018;
октябрь 2023;4 163;0,0016;
ноябрь 2023;3 604;0,0013;
декабрь 2023;4 581;0,0017;
январь 2024;4 043;0,0016;
февраль 2024;4 358;0,0017;
март 2024;4 041;0,0017;
апрель 2024;4 072;0,0017;
май 2024;3 244;0,0016;
июнь 2024;3 269;0,0016;
июль 2024;2 890;0,0014;
август 2024;3 640;0,0016;
сентябрь 2024;5 182;0,0020;
октябрь 2024;5 349;0,0020;
ноябрь 2024;4 784;0,0018;
декабрь 2024;5 069;0,0019;
