Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «поиск работы», по месяцам, 31.12.2017 — 30.01.2025, Калининградская область, все устройства
декабрь 2017;940;0,0028;
январь 2018;888;0,0027;
февраль 2018;923;0,0026;
март 2018;707;0,0022;
апрель 2018;709;0,0022;
май 2018;685;0,0022;
июнь 2018;847;0,0026;
июль 2018;956;0,0030;
август 2018;1 016;0,0028;
сентябрь 2018;1 040;0,0026;
октябрь 2018;862;0,0024;
ноябрь 2018;952;0,0026;
декабрь 2018;1 083;0,0029;
январь 2019;979;0,0028;
февраль 2019;920;0,0024;
март 2019;749;0,0021;
апрель 2019;812;0,0023;
май 2019;850;0,0027;
июнь 2019;862;0,0026;
июль 2019;859;0,0026;
август 2019;831;0,0024;
сентябрь 2019;891;0,0023;
октябрь 2019;965;0,0025;
ноябрь 2019;794;0,0020;
декабрь 2019;1 176;0,0029;
январь 2020;987;0,0025;
февраль 2020;1 014;0,0024;
март 2020;1 461;0,0028;
апрель 2020;1 279;0,0027;
май 2020;1 230;0,0031;
июнь 2020;1 030;0,0026;
июль 2020;890;0,0023;
август 2020;817;0,0019;
сентябрь 2020;956;0,0020;
октябрь 2020;1 371;0,0027;
ноябрь 2020;1 374;0,0028;
декабрь 2020;1 432;0,0031;
январь 2021;1 701;0,0039;
февраль 2021;1 398;0,0029;
март 2021;1 162;0,0023;
апрель 2021;1 198;0,0022;
май 2021;1 014;0,0020;
июнь 2021;791;0,0017;
июль 2021;948;0,0019;
август 2021;968;0,0018;
сентябрь 2021;1 160;0,0020;
октябрь 2021;1 329;0,0022;
ноябрь 2021;1 097;0,0018;
декабрь 2021;1 349;0,0022;
январь 2022;1 313;0,0022;
февраль 2022;1 470;0,0024;
март 2022;1 404;0,0023;
апрель 2022;1 446;0,0024;
май 2022;1 451;0,0026;
июнь 2022;1 228;0,0021;
июль 2022;1 209;0,0021;
август 2022;1 051;0,0017;
сентябрь 2022;1 297;0,0020;
октябрь 2022;1 336;0,0020;
ноябрь 2022;1 051;0,0016;
декабрь 2022;1 200;0,0018;
январь 2023;1 334;0,0022;
февраль 2023;1 333;0,0020;
март 2023;1 148;0,0019;
апрель 2023;1 078;0,0018;
май 2023;989;0,0018;
июнь 2023;988;0,0017;
июль 2023;1 019;0,0017;
август 2023;1 020;0,0017;
сентябрь 2023;1 252;0,0020;
октябрь 2023;1 201;0,0019;
ноябрь 2023;1 038;0,0016;
декабрь 2023;1 363;0,0021;
январь 2024;1 145;0,0019;
февраль 2024;962;0,0016;
март 2024;992;0,0017;
апрель 2024;967;0,0017;
май 2024;923;0,0017;
июнь 2024;976;0,0018;
июль 2024;850;0,0015;
август 2024;1 074;0,0019;
сентябрь 2024;1 247;0,0020;
октябрь 2024;1 102;0,0018;
ноябрь 2024;1 180;0,0018;
декабрь 2024;1 156;0,0018;
