Year,Region,Fitted Values,Lower Bound,Upper Bound
2022,Chechen Republic,-36.01175486286297,-2166.5120210302216,2094.4885113044957
2023,Chechen Republic,103.81769982297135,-2026.682566344387,2234.31796599033
2024,Chechen Republic,-219.33852162498602,-2349.838787792344,1911.1617445423724
2019,Chelyabinsk Oblast,631.6953230648162,-1498.8049431025424,2762.195589232175
2020,Chelyabinsk Oblast,728.0905716552384,-1402.40969451212,2858.5908378225968
2021,Chelyabinsk Oblast,1266.4234368275802,-864.0768293397782,3396.9237029949386
2022,Chelyabinsk Oblast,543.553053973371,-1586.9472121939875,2674.0533201407297
2023,Chelyabinsk Oblast,895.0562795535578,-1235.4439866138007,3025.5565457209163
2024,Chelyabinsk Oblast,571.4889424544006,-1559.011323712958,2701.989208621759
2019,Chuvash Republic,-208.50623620037607,-2339.0065023677344,1921.9940299669825
2020,Chuvash Republic,-242.7658878131747,-2373.266153980533,1887.7343783541837
2021,Chuvash Republic,-133.94956408503003,-2264.4498302523884,1996.5507020823284
2022,Chuvash Republic,72.31120068276562,-2058.189065484593,2202.811466850124
2023,Chuvash Republic,36.85003834571273,-2093.650227821646,2167.350304513071
2024,Chuvash Republic,-50.07793367712975,-2180.578199844488,2080.4223324902287
2019,Irkutsk Oblast,2381.6881844149048,251.18791824754658,4512.188450582264
2020,Irkutsk Oblast,2949.651998999284,819.1517328319255,5080.152265166643
2021,Irkutsk Oblast,4275.777885237067,2145.277619069708,6406.2781514044245
2022,Irkutsk Oblast,3301.371619782117,1170.8713536147584,5431.871885949476
2023,Irkutsk Oblast,2143.537599766386,13.037333599027761,4274.037865933745
2024,Irkutsk Oblast,2230.4449863511077,99.94472018374927,4360.945252518466
2019,Ivanovo Oblast,57.73097252558523,-2072.7692936417734,2188.2312386929434
2020,Ivanovo Oblast,147.13124466291868,-1983.3690215044398,2277.631510830277
2021,Ivanovo Oblast,373.719360058234,-1756.7809061091243,2504.2196262255925
2022,Ivanovo Oblast,657.2793224980769,-1473.2209436692815,2787.7795886654353
2023,Ivanovo Oblast,402.63877469686474,-1727.8614914704935,2533.1390408642233
2024,Ivanovo Oblast,202.83683219661862,-1927.6634339707398,2333.337098363977
2019,Jewish Autonomous Oblast,-601.2338119110227,-2731.734078078381,1529.2664542563357
2020,Jewish Autonomous Oblast,-630.4214151052804,-2760.9216812726386,1500.078851062078
2021,Jewish Autonomous Oblast,-161.36649627215047,-2291.8667624395084,1969.133769895208
2022,Jewish Autonomous Oblast,28.77157412373049,-2101.728692043628,2159.2718402910887
2023,Jewish Autonomous Oblast,-20.59602517296537,-2151.096291340324,2109.904240994393
2024,Jewish Autonomous Oblast,-306.1710923242904,-2436.671358491649,1824.329173843068
2019,Kaliningrad Oblast,362.8813191058256,-1767.6189470615327,2493.381585273184
2020,Kaliningrad Oblast,409.9095039335036,-1720.5907622338545,2540.4097701008623
2021,Kaliningrad Oblast,784.6038873705678,-1345.8963787967905,2915.1041535379263
2022,Kaliningrad Oblast,1197.7376194502885,-932.7626467170699,3328.237885617647
2023,Kaliningrad Oblast,1502.5693395333678,-627.9309266339906,3633.0696057007262
2024,Kaliningrad Oblast,1217.9520261733765,-912.548239993982,3348.452292340735
2019,Kaluga Oblast,186.70522233147335,-1943.7950438358853,2317.2054884988315
2020,Kaluga Oblast,393.5795966312233,-1736.920669536135,2524.079862798582
2021,Kaluga Oblast,831.2510594017027,-1299.2492067656558,2961.751325569061
2022,Kaluga Oblast,2499.365646160268,368.86537999290965,4629.865912327627
2023,Kaluga Oblast,1912.4960184210652,-218.00424774629323,4042.9962845884234
2024,Kaluga Oblast,1062.0148973099554,-1068.485368857403,3192.5151634773138
2019,Kamchatka Krai,108.48000001551736,-2022.020266151841,2238.9802661828758
2020,Kamchatka Krai,1009.5605034149689,-1120.9397627523895,3140.0607695823273
2021,Kamchatka Krai,160.97380561897012,-1969.526460548388,2291.4740717863288
2022,Kamchatka Krai,1797.197464629056,-333.30280153830245,3927.6977307964144
2023,Kamchatka Krai,1870.6192449120826,-259.88102125527575,4001.119511079441
2024,Kamchatka Krai,1863.946063374047,-266.55420279331133,3994.4463295414057
2019,Karachay-Cherkess Republic,-514.9737308751082,-2645.4739970424666,1615.5265352922502
2020,Karachay-Cherkess Republic,-429.89661983385554,-2560.3968860012137,1700.6036463335029
2021,Karachay-Cherkess Republic,33.48909719174924,-2097.011168975609,2163.9893633591078
2022,Karachay-Cherkess Republic,39.282722437179245,-2091.2175437301794,2169.7829886045374
2023,Karachay-Cherkess Republic,26.530676573039727,-2103.9695895943187,2157.030942740398
2024,Karachay-Cherkess Republic,-48.81535568582103,-2179.3156218531794,2081.6849104815374
2019,Kemerovo Oblast,724.9483652773453,-1405.5519008900133,2855.4486314447036
2020,Kemerovo Oblast,842.1882509106082,-1288.3120152567503,2972.6885170779665
2021,Kemerovo Oblast,134.33932246966913,-1996.1609436976896,2264.839588637027
2022,Kemerovo Oblast,499.22585014074673,-1631.2744160266116,2629.7261163081052
2023,Kemerovo Oblast,381.34679218220475,-1749.1534739851536,2511.847058349563
2024,Kemerovo Oblast,1597.3952734207169,-533.1049927466418,3727.8955395880753
2019,Khabarovsk Krai,634.8903501235017,-1495.6099160438566,2765.39061629086
2020,Khabarovsk Krai,718.2480693328661,-1412.2521968344922,2848.7483355002246
2021,Khabarovsk Krai,846.8016735612302,-1283.6985926061284,2977.301939728589
2022,Khabarovsk Krai,2367.7507530651196,237.25048689776122,4498.251019232479
2023,Khabarovsk Krai,2112.441165706622,-18.05910046073666,4242.94143187398
2024,Khabarovsk Krai,1564.6320190870533,-565.8682470803053,3695.1322852544117
2019,Khanty-Mansi Autonomous Okrug — Yugra,1559.8101175506945,-570.6901486166641,3690.310383718053
2020,Khanty-Mansi Autonomous Okrug — Yugra,2035.3068194002306,-95.19344676712797,4165.807085567589
2021,Khanty-Mansi Autonomous Okrug — Yugra,1886.4502831332857,-244.04998303407274,4016.950549300644
2022,Khanty-Mansi Autonomous Okrug — Yugra,1830.4655430416246,-300.03472312573376,3960.965809208983
2023,Khanty-Mansi Autonomous Okrug — Yugra,3870.2037489596737,1739.7034827923153,6000.704015127032
2024,Khanty-Mansi Autonomous Okrug — Yugra,5268.962337819428,3138.46207165207,7399.462603986786
2019,Kirov Oblast,-212.54033454446744,-2343.040600711826,1917.959931622891
2020,Kirov Oblast,-283.37156451846795,-2413.8718306858264,1847.1287016488905
2021,Kirov Oblast,12.567041505904626,-2117.9332246614536,2143.067307673263
2022,Kirov Oblast,61.641394265654185,-2068.8588719017043,2192.1416604330125
2023,Kirov Oblast,78.30593563888362,-2052.194330528475,2208.806201806242
2024,Kirov Oblast,-125.03276807029079,-2255.533034237649,2005.4674980970676
2019,Komi Republic,-2.6698713973448776,-2133.1701375647035,2127.8303947700133
2020,Komi Republic,-84.18793122659486,-2214.6881973939535,2046.3123349407635
2021,Komi Republic,173.9539004138611,-1956.546365753497,2304.45416658122
2022,Komi Republic,258.54309942334316,-1871.957166744015,2389.043365590702
2023,Komi Republic,118.20969862372112,-2012.2905675436373,2248.7099647910795
2024,Komi Republic,305.0905802919386,-1825.40968587542,2435.5908464592967
2019,Kostroma Oblast,-378.37141660741213,-2508.8716827747703,1752.1288495599465
2020,Kostroma Oblast,-245.26555993368015,-2375.765826101039,1885.2347062336785
2021,Kostroma Oblast,123.96771738095049,-2006.532548786408,2254.467983548309
2022,Kostroma Oblast,13.665640124841616,-2116.834626042517,2144.1659062922
2023,Kostroma Oblast,83.37544583347062,-2047.1248203338878,2213.8757120008295
2024,Kostroma Oblast,149.6159164325028,-1980.8843497348553,2280.1161825998615
2019,Krasnodar Krai,837.9931054184901,-1292.5071607488685,2968.4933715858488
2020,Krasnodar Krai,678.6234530608936,-1451.8768131064649,2809.123719228252
2021,Krasnodar Krai,786.6704320635437,-1343.8298341038148,2917.1706982309024
2022,Krasnodar Krai,443.269696256049,-1687.2305699113094,2573.7699624234074
2023,Krasnodar Krai,328.20728976186393,-1802.2929764054943,2458.7075559292225
2024,Krasnodar Krai,1425.0743256740557,-705.425940493303,3555.574591841414
2019,Krasnoyarsk Krai,3025.0570732732003,894.5568071058417,5155.557339440559
2020,Krasnoyarsk Krai,2893.346556618397,762.8462904510382,5023.846822785755
2021,Krasnoyarsk Krai,4993.883988509024,2863.3837223416654,7124.384254676382
2022,Krasnoyarsk Krai,4198.57514365776,2068.0748774904014,6329.075409825118
2023,Krasnoyarsk Krai,4135.85602782599,2005.3557616586322,6266.356293993349
2024,Krasnoyarsk Krai,4422.07408339298,2291.573817225622,6552.574349560338
2019,Kurgan Oblast,-110.3781256951105,-2240.878391862469,2020.122140472248
2020,Kurgan Oblast,-12.547648690944357,-2143.0479148583026,2117.952617476414
2021,Kurgan Oblast,182.95707462533835,-1947.54319154202,2313.457340792697
2022,Kurgan Oblast,78.49144488671084,-2052.0088212806477,2208.991711054069
2023,Kurgan Oblast,11.885616557222761,-2118.614649610136,2142.3858827245813
2024,Kurgan Oblast,-229.85673353308505,-2360.3569997004433,1900.6435326342735
2019,Kursk Oblast,-126.07386298265112,-2256.5741291500094,2004.4264031847074
2020,Kursk Oblast,-180.29404265738128,-2310.79430882474,1950.2062235099772
2021,Kursk Oblast,186.85873893045505,-1943.6415272369031,2317.3590050978137
2022,Kursk Oblast,-46.36918654108774,-2176.8694527084463,2084.1310796262705
2023,Kursk Oblast,228.94333579406828,-1901.55693037329,2359.443601961427
2024,Kursk Oblast,-2.214287954184215,-2132.7145541215427,2128.285978213174
2019,Leningrad Oblast,816.4953886595137,-1314.0048775078449,2946.995654826872
2020,Leningrad Oblast,1171.5653712367862,-958.934894930572,3302.065637404145
2021,Leningrad Oblast,1112.1057977921657,-1018.3944683751929,3242.606063959524
2022,Leningrad Oblast,968.8501665142965,-1161.650099653062,3099.350432681655
2023,Leningrad Oblast,447.9819578437158,-1682.5183083236425,2578.4822240110743
2024,Leningrad Oblast,625.1224738619374,-1505.3777923054213,2755.6227400292955
2019,Lipetsk Oblast,316.4090995885711,-1814.0911665787876,2446.9093657559297
2020,Lipetsk Oblast,266.91394146736786,-1863.5863246999902,2397.4142076347266
2021,Lipetsk Oblast,179.81413303264787,-1950.6861331347104,2310.3143992000064
2022,Lipetsk Oblast,236.03093411363432,-1894.4693320537244,2366.5312002809924
2023,Lipetsk Oblast,141.50340132705912,-1988.9968648402992,2272.0036674944176
2024,Lipetsk Oblast,94.16921032509902,-2036.3310558422595,2224.6694764924573
2019,Magadan District,-406.62100418447085,-2537.1212703518295,1723.8792619828876
2020,Magadan District,-145.4604095144589,-2275.9606756818175,1985.0398566528995
2021,Magadan District,90.53991896511354,-2039.960347202245,2221.040185132472
2022,Magadan District,134.68999033529747,-1995.8102758320615,2265.1902565026558
2023,Magadan District,47.20610152550239,-2083.2941646418562,2177.706367692861
