Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш издейм», по месяцам, 31.12.2017 — 30.01.2025, Москва, все устройства
декабрь 2017;1 628;0,00013011;
январь 2018;1 397;0,00010657;
февраль 2018;1 599;0,00011258;
март 2018;1 064;0,00008342;
апрель 2018;670;0,00005289;
май 2018;512;0,00004405;
июнь 2018;462;0,00003865;
июль 2018;474;0,00003991;
август 2018;528;0,00003828;
сентябрь 2018;726;0,00004573;
октябрь 2018;1 020;0,00006867;
ноябрь 2018;1 029;0,00006927;
декабрь 2018;1 522;0,00010137;
январь 2019;1 564;0,00011221;
февраль 2019;1 370;0,00009610;
март 2019;1 362;0,00010088;
апрель 2019;1 113;0,00008695;
май 2019;711;0,00005968;
июнь 2019;683;0,00005440;
июль 2019;578;0,00004920;
август 2019;347;0,00002616;
сентябрь 2019;634;0,00004270;
октябрь 2019;560;0,00003893;
ноябрь 2019;495;0,00003337;
декабрь 2019;545;0,00003633;
январь 2020;508;0,00003428;
февраль 2020;470;0,00003001;
март 2020;362;0,00002129;
апрель 2020;443;0,00002809;
май 2020;369;0,00002642;
июнь 2020;285;0,00002089;
июль 2020;272;0,00002027;
август 2020;180;0,00001161;
сентябрь 2020;137;0,00000795;
октябрь 2020;129;0,00000701;
ноябрь 2020;98;0,00000552;
декабрь 2020;214;0,00001332;
январь 2021;204;0,00001296;
февраль 2021;316;0,00001827;
март 2021;134;0,00000790;
апрель 2021;268;0,00001757;
май 2021;172;0,00001155;
июнь 2021;182;0,00001123;
июль 2021;162;0,00000949;
август 2021;169;0,00000987;
сентябрь 2021;229;0,00001339;
октябрь 2021;348;0,00002112;
ноябрь 2021;302;0,00001781;
декабрь 2021;296;0,00001716;
январь 2022;294;0,00001684;
февраль 2022;208;0,00001151;
март 2022;168;0,00001001;
апрель 2022;260;0,00001464;
май 2022;125;0,00000815;
июнь 2022;98;0,00000685;
июль 2022;104;0,00000671;
август 2022;78;0,00000454;
сентябрь 2022;55;0,00000329;
октябрь 2022;27;0,00000160;
ноябрь 2022;65;0,00000396;
декабрь 2022;47;0,00000305;
январь 2023;59;0,00000406;
февраль 2023;62;0,00000384;
март 2023;77;0,00000534;
апрель 2023;38;0,00000268;
май 2023;16;0,00000123;
июнь 2023;27;0,00000221;
июль 2023;27;0,00000221;
август 2023;18;0,00000131;
сентябрь 2023;64;0,00000408;
октябрь 2023;31;0,00000207;
ноябрь 2023;5;0,00000032;
декабрь 2023;33;0,00000207;
январь 2024;19;0,00000134;
февраль 2024;14;0,00000093;
март 2024;19;0,00000137;
апрель 2024;17;0,00000123;
май 2024;10;0,00000085;
июнь 2024;7;0,00000062;
июль 2024;9;0,00000079;
август 2024;7;0,00000056;
сентябрь 2024;3;0,00000021;
октябрь 2024;11;0,00000072;
ноябрь 2024;8;0,00000052;
декабрь 2024;15;0,00000102;
