"","Estimate","Std. Error","t value","Pr(>|t|)"
"Month01",16.2183650286275,2.28780081520762,7.08906340133273,5.13758154736745e-11
"Month02",16.3072989263337,2.30200111466143,7.08396656390503,5.28071614881236e-11
"Month03",16.4984483511909,2.31056807878947,7.14042944791075,3.89285870489722e-11
"Month04",16.5178213138587,2.30692090497071,7.16011601363004,3.49933251617325e-11
"Month05",16.6753568180001,2.31157214169857,7.21385957080572,2.61422152141382e-11
"Month06",16.7309645681713,2.31147608138838,7.23821661097265,2.28985459822954e-11
"Month07",16.7402956028504,2.31352734089382,7.23583218877494,2.31976512972756e-11
"Month08",16.7229568326793,2.30687918135824,7.24916890655419,2.15729325385497e-11
"Month09",16.7272506961374,2.30516102590001,7.25643480355414,2.07356710937289e-11
"Month10",16.7523720988864,2.30823456315538,7.25765585798429,2.05981558263765e-11
"Month11",16.6058500943605,2.30585552227276,7.20160041856956,2.79426412553734e-11
"Month12",16.5770298290172,2.30813835739256,7.18199139835958,3.10805441887328e-11
"time_trend",0.0142766548771945,0.00216479370199923,6.59492628050871,7.05717967842995e-10
"`log_Consumer_Price_Index_(CPI)_RUS`",-1.992335219122,0.395263592581709,-5.04052297381815,1.33690332998626e-06
"covid",-0.221993571330807,0.094592540315441,-2.34684014818206,0.0202586349370045
"log_mediazona_lag2",0.028083190926049,0.00929906727840241,3.02000083290867,0.00297828865517305
"log_mediazona_lag8",-0.0390817270029396,0.0106970580139879,-3.65350238839826,0.000358441287743165
