"","Estimate","Std. Error","t value","Pr(>|t|)"
"Month01",4.5810527375014,0.0792887637796824,57.7768213189785,2.41936614832964e-105
"Month02",4.66876455096197,0.0597420570145421,78.1487076989251,1.2593477021233e-124
"Month03",4.83625680099999,0.050835404947245,95.1356009855507,2.37754939755958e-137
"Month04",4.88421318629738,0.0770070484183639,63.4255342415206,2.95165230952346e-111
"Month05",5.04488325615616,0.0493796838920924,102.165158999004,5.52453389545201e-142
"Month06",5.09917517467047,0.0526784558638499,96.798113973757,1.78220453887912e-138
"Month07",5.11154343472605,0.0445927024926618,114.627352660835,1.74353972811694e-149
"Month08",5.10386940200891,0.0590046608906643,86.499427756502,3.50679056707298e-131
"Month09",5.11267939764091,0.0511856585849989,99.8849978485827,1.62388734468456e-140
"Month10",5.12716864390047,0.055616098603663,92.1885708028212,2.61936588010825e-135
"Month11",4.97644656773288,0.0465057784993505,107.007058656214,5.33694551900473e-145
"Month12",4.94852452196417,0.0498153932413776,99.337257019861,3.69918441832949e-140
"time_trend",0.00312908327002262,0.000308154252305631,10.154275810282,8.16332267981122e-19
