"","Estimate","Std. Error","t value","Pr(>|t|)"
"Month01",-1.77955513584662,1.74943529430726,-1.01721689372415,0.311777012240927
"Month02",-1.78580662146848,1.72190295595646,-1.03711223404952,0.30246202144783
"Month03",-1.76489909501605,1.69291474138598,-1.04252095623619,0.299962535192909
"Month04",-1.73457948674459,1.7141766980328,-1.01190238365462,0.314297471177078
"Month05",-1.46944553015876,1.7237102615447,-0.852489866157622,0.396205186605177
"Month06",-1.53186487945807,1.72357580476315,-0.888771399102217,0.376495261773604
"Month07",-1.39487929736438,1.71909532093427,-0.811403114404563,0.419274933843837
"Month08",-1.40684329373367,1.71328249337033,-0.821139128647817,0.413736834589801
"Month09",-1.45018636953406,1.72240426788524,-0.841954700515575,0.40204504987915
"Month10",-1.46217836195012,1.72709869408433,-0.846609615859466,0.399458285702714
"Month11",-1.59602713111858,1.72772808821711,-0.92377217341275,0.358075041766371
"Month12",-1.80168406666305,1.76715343068173,-1.0195402591432,0.310679400739503
"log_avg_nominal_gross_wages_RUSmoscowoblast",2.02482176453043,0.967773886948914,2.09224674465443,0.0392322418378755
"log_avg_nominal_gross_wages_RUSsakhalin",-1.34065333038364,0.904709810480982,-1.48186005595639,0.141870461233434
"post_war",-0.00059226775667721,0.00022555067771682,-2.62587442730191,0.0101563631417367
