Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Золотая Корона Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Иркутская область, все устройства
декабрь 2017;1;0,00000104;
январь 2018;0;0;
февраль 2018;2;0,00000202;
март 2018;0;0;
апрель 2018;3;0,00000326;
май 2018;0;0;
июнь 2018;1;0,00000123;
июль 2018;0;0;
август 2018;2;0,00000211;
сентябрь 2018;0;0;
октябрь 2018;2;0,00000195;
ноябрь 2018;2;0,00000193;
декабрь 2018;1;0,00000095;
январь 2019;0;0;
февраль 2019;5;0,00000468;
март 2019;2;0,00000192;
апрель 2019;1;0,00000103;
май 2019;1;0,00000115;
июнь 2019;0;0;
июль 2019;2;0,00000237;
август 2019;1;0,00000104;
сентябрь 2019;2;0,00000183;
октябрь 2019;2;0,00000181;
ноябрь 2019;0;0;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;4;0,00000323;
март 2020;9;0,00000567;
апрель 2020;5;0,00000361;
май 2020;5;0,00000440;
июнь 2020;1;0,00000097;
июль 2020;4;0,00000377;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;1;0,00000063;
ноябрь 2020;1;0,00000068;
декабрь 2020;1;0,00000072;
январь 2021;0;0;
февраль 2021;1;0,00000070;
март 2021;2;0,00000139;
апрель 2021;2;0,00000146;
май 2021;1;0,00000080;
июнь 2021;5;0,00000409;
июль 2021;1;0,00000080;
август 2021;0;0;
сентябрь 2021;4;0,00000272;
октябрь 2021;1;0,00000066;
ноябрь 2021;2;0,00000124;
декабрь 2021;0;0;
январь 2022;1;0,00000064;
февраль 2022;3;0,00000181;
март 2022;10;0,00000629;
апрель 2022;5;0,00000334;
май 2022;3;0,00000221;
июнь 2022;3;0,00000226;
июль 2022;0;0;
август 2022;6;0,00000397;
сентябрь 2022;1;0,00000061;
октябрь 2022;6;0,00000349;
ноябрь 2022;7;0,00000410;
декабрь 2022;2;0,00000118;
январь 2023;0;0;
февраль 2023;2;0,00000118;
март 2023;2;0,00000121;
апрель 2023;2;0,00000129;
май 2023;3;0,00000223;
июнь 2023;0;0;
июль 2023;6;0,00000461;
август 2023;3;0,00000209;
сентябрь 2023;0;0;
октябрь 2023;3;0,00000189;
ноябрь 2023;1;0,00000060;
декабрь 2023;0;0;
январь 2024;1;0,00000065;
февраль 2024;0;0;
март 2024;2;0,00000133;
апрель 2024;2;0,00000143;
май 2024;3;0,00000249;
июнь 2024;3;0,00000254;
июль 2024;1;0,00000084;
август 2024;3;0,00000225;
сентябрь 2024;6;0,00000395;
октябрь 2024;1;0,00000063;
ноябрь 2024;1;0,00000059;
декабрь 2024;1;0,00000062;
